trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,37314,0.0-2.0,pu17hv4r,,,,,,14035.0,67d5d500c236a9a779802e4b,67d5d500c236a9a779802e4b,,,,,,,,,,,,,,,,,,
introduction,3,51717,0.0-3.0,pu17hv4r,,,,,,14398.0,67d5d500c236a9a779802e4b,67d5d500c236a9a779802e4b,,,,,,,,,,,,,,,,,,
introduction,4,64902,0.0-4.0-0.0,pu17hv4r,,,,,,13183.0,,67d5d500c236a9a779802e4b,"[{""page_index"":0,""viewing_time"":1259},{""page_index"":1,""viewing_time"":11000},{""page_index"":2,""viewing_time"":923}]",,,,,,,,,,,,,,,,,
introduction,5,66291,0.0-5.0-0.0,pu17hv4r,,,,,,1384.0,1,67d5d500c236a9a779802e4b,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,67213,0.0-5.0-0.1,pu17hv4r,,,,,,920.0,2,67d5d500c236a9a779802e4b,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,68610,0.0-5.0-0.2,pu17hv4r,,,,,,1395.0,1,67d5d500c236a9a779802e4b,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,69440,0.0-5.0-0.3,pu17hv4r,,,,,,828.0,3,67d5d500c236a9a779802e4b,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,70296,0.0-5.0-0.4,pu17hv4r,,,,,,854.0,2,67d5d500c236a9a779802e4b,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,71122,0.0-5.0-0.5,pu17hv4r,,,,,,823.0,3,67d5d500c236a9a779802e4b,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,71862,0.0-5.0-0.6,pu17hv4r,,,,,,738.0,1,67d5d500c236a9a779802e4b,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,72658,0.0-5.0-0.7,pu17hv4r,,,,,,794.0,2,67d5d500c236a9a779802e4b,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,73480,0.0-5.0-0.8,pu17hv4r,,,,,,820.0,3,67d5d500c236a9a779802e4b,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,74337,0.0-5.0-0.9,pu17hv4r,,,,,,854.0,2,67d5d500c236a9a779802e4b,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,75058,0.0-5.0-0.10,pu17hv4r,,,,,,720.0,1,67d5d500c236a9a779802e4b,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,75842,0.0-5.0-0.11,pu17hv4r,,,,,,781.0,3,67d5d500c236a9a779802e4b,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,114275,0.0-6.0-0.0,pu17hv4r,,,,,,38433.0,,67d5d500c236a9a779802e4b,"[{""page_index"":0,""viewing_time"":1213},{""page_index"":1,""viewing_time"":2359},{""page_index"":2,""viewing_time"":32908},{""page_index"":3,""viewing_time"":1951}]",,,,,,,,,,,,,,,,,
introduction,19,163699,0.0-8.0-0.0,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,img/Red_circle.png,1350.0,calibration,,,,,,,,,,,,,,
introduction,20,169255,0.0-8.0-1.0-0.0,pu17hv4r,,,,,,5515.0,2313,67d5d500c236a9a779802e4b,,2313,,calibration,,,,,,,,,,,,,,
introduction,21,171279,0.0-8.0-2.0,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,172642,0.0-8.0-0.1,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,img/Red_circle.png,2022.0,calibration,,,,,,,,,,,,,,
introduction,23,175530,0.0-8.0-1.1-0.1,pu17hv4r,,,,,,2881.0,3311,67d5d500c236a9a779802e4b,,3311,,calibration,,,,,,,,,,,,,,
introduction,24,175534,0.0-8.0-2.1,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,,,,,,,,,,,,,,,,,
introduction,25,177546,0.0-8.0-0.2,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,<p>CAREFUL. That was too slow.</p>,1344.0,calibration,,,,,,,,,,,,,,
introduction,26,180515,0.0-8.0-1.2-0.2,pu17hv4r,,,,,,2962.0,3211,67d5d500c236a9a779802e4b,,3211,,calibration,,,,,,,,,,,,,,
introduction,27,180516,0.0-8.0-2.2,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,,,,,,,,,,,,,,,,,
introduction,28,181868,0.0-8.0-0.3,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,img/Red_circle.png,2945.0,calibration,,,,,,,,,,,,,,
introduction,29,183540,0.0-8.0-1.3-0.3,pu17hv4r,,,,,,1668.0,12,67d5d500c236a9a779802e4b,,12,,calibration,,,,,,,,,,,,,,
introduction,30,183541,0.0-8.0-2.3,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,,,,,,,,,,,,,,,,,
introduction,31,185551,0.0-8.0-0.4,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,<p>CAREFUL. That was too slow.</p>,2863.0,calibration,,,,,,,,,,,,,,
introduction,32,187823,0.0-8.0-1.4-0.4,pu17hv4r,,,,,,2267.0,1233,67d5d500c236a9a779802e4b,,1233,,calibration,,,,,,,,,,,,,,
introduction,33,187824,0.0-8.0-2.4,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,,,,,,,,,,,,,,,,,
introduction,34,189833,0.0-8.0-0.5,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,<p>CAREFUL. That was too slow.</p>,1750.0,calibration,,,,,,,,,,,,,,
introduction,35,192171,0.0-8.0-1.5-0.5,pu17hv4r,,,,,,2329.0,1113,67d5d500c236a9a779802e4b,,1113,,calibration,,,,,,,,,,,,,,
introduction,36,192171,0.0-8.0-2.5,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,,,,,,,,,,,,,,,,,
introduction,37,193935,0.0-8.0-0.6,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,img/Red_circle.png,1943.0,calibration,,,,,,,,,,,,,,
introduction,38,196303,0.0-8.0-1.6-0.6,pu17hv4r,,,,,,2359.0,132,67d5d500c236a9a779802e4b,,132,,calibration,,,,,,,,,,,,,,
introduction,39,196304,0.0-8.0-2.6,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,,,,,,,,,,,,,,,,,
introduction,40,198254,0.0-8.0-0.7,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,img/Red_circle.png,2466.0,calibration,,,,,,,,,,,,,,
introduction,41,200491,0.0-8.0-1.7-0.7,pu17hv4r,,,,,,2228.0,312,67d5d500c236a9a779802e4b,,312,,calibration,,,,,,,,,,,,,,
introduction,42,200491,0.0-8.0-2.7,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,,,,,,,,,,,,,,,,,
introduction,43,202499,0.0-8.0-0.8,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,<p>CAREFUL. That was too slow.</p>,1243.0,calibration,,,,,,,,,,,,,,
introduction,44,206680,0.0-8.0-1.8-0.8,pu17hv4r,,,,,,4172.0,2311,67d5d500c236a9a779802e4b,,2311,,calibration,,,,,,,,,,,,,,
introduction,45,208684,0.0-8.0-2.8,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,46,209935,0.0-8.0-0.9,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,img/Red_circle.png,3005.0,calibration,,,,,,,,,,,,,,
introduction,47,212387,0.0-8.0-1.9-0.9,pu17hv4r,,,,,,2447.0,1133,67d5d500c236a9a779802e4b,,1133,,calibration,,,,,,,,,,,,,,
introduction,48,212387,0.0-8.0-2.9,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,,,,,,,,,,,,,,,,,
introduction,49,214391,0.0-8.0-0.10,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,<p>CAREFUL. That was too slow.</p>,2994.0,calibration,,,,,,,,,,,,,,
introduction,50,218815,0.0-8.0-1.10-0.10,pu17hv4r,,,,,,4421.0,2313,67d5d500c236a9a779802e4b,,2313,,calibration,,,,,,,,,,,,,,
introduction,51,220825,0.0-8.0-2.10,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,52,223825,0.0-8.0-0.11,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,img/Red_circle.png,2378.0,calibration,,,,,,,,,,,,,,
introduction,53,226288,0.0-8.0-1.11-0.11,pu17hv4r,,,,,,2458.0,1132,67d5d500c236a9a779802e4b,,1132,,calibration,,,,,,,,,,,,,,
introduction,54,226289,0.0-8.0-2.11,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,,,,,,,,,,,,,,,,,
introduction,55,228295,0.0-8.0-0.12,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,<p>CAREFUL. That was too slow.</p>,3088.0,calibration,,,,,,,,,,,,,,
introduction,56,233441,0.0-8.0-1.12-0.12,pu17hv4r,,,,,,5139.0,3223,67d5d500c236a9a779802e4b,,3223,,calibration,,,,,,,,,,,,,,
introduction,57,235442,0.0-8.0-2.12,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,58,238548,0.0-8.0-0.13,pu17hv4r,,,,,,,,67d5d500c236a9a779802e4b,,img/Red_circle.png,1925.0,calibration,,,,,,,,,,,,,,
