trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,60408,0.0-2.0,r5ubwo67,,,,,,40639.0,67d71a019290507d8b21684f,67d71a019290507d8b21684f,,,,,,,,,,,,,,,,,,
introduction,3,70220,0.0-3.0,r5ubwo67,,,,,,9809.0,67d71a019290507d8b21684f,67d71a019290507d8b21684f,,,,,,,,,,,,,,,,,,
introduction,4,82186,0.0-4.0-0.0,r5ubwo67,,,,,,11965.0,,67d71a019290507d8b21684f,"[{""page_index"":0,""viewing_time"":1305},{""page_index"":1,""viewing_time"":9471},{""page_index"":2,""viewing_time"":1188}]",,,,,,,,,,,,,,,,,
introduction,5,83775,0.0-5.0-0.0,r5ubwo67,,,,,,1588.0,1,67d71a019290507d8b21684f,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,84897,0.0-5.0-0.1,r5ubwo67,,,,,,1122.0,2,67d71a019290507d8b21684f,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,85816,0.0-5.0-0.2,r5ubwo67,,,,,,918.0,1,67d71a019290507d8b21684f,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,86899,0.0-5.0-0.3,r5ubwo67,,,,,,1082.0,3,67d71a019290507d8b21684f,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,89300,0.0-5.0-0.4,r5ubwo67,,,,,,2400.0,2,67d71a019290507d8b21684f,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,90585,0.0-5.0-0.5,r5ubwo67,,,,,,1285.0,3,67d71a019290507d8b21684f,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,91258,0.0-5.0-0.6,r5ubwo67,,,,,,672.0,1,67d71a019290507d8b21684f,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,91769,0.0-5.0-0.7,r5ubwo67,,,,,,511.0,2,67d71a019290507d8b21684f,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,92385,0.0-5.0-0.8,r5ubwo67,,,,,,615.0,3,67d71a019290507d8b21684f,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,93098,0.0-5.0-0.9,r5ubwo67,,,,,,713.0,2,67d71a019290507d8b21684f,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,93649,0.0-5.0-0.10,r5ubwo67,,,,,,550.0,1,67d71a019290507d8b21684f,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,94200,0.0-5.0-0.11,r5ubwo67,,,,,,550.0,3,67d71a019290507d8b21684f,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,100623,0.0-6.0-0.0,r5ubwo67,,,,,,6423.0,,67d71a019290507d8b21684f,"[{""page_index"":0,""viewing_time"":1257},{""page_index"":1,""viewing_time"":1236},{""page_index"":2,""viewing_time"":2420},{""page_index"":3,""viewing_time"":1510}]",,,,,,,,,,,,,,,,,
introduction,19,186890,0.0-8.0-0.0,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,img/Red_circle.png,3116.0,calibration,,,,,,,,,,,,,,
introduction,20,193982,0.0-8.0-1.0-0.0,r5ubwo67,,,,,,7086.0,2122,67d71a019290507d8b21684f,,2122,,calibration,,,,,,,,,,,,,,
introduction,21,195984,0.0-8.0-2.0,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,199102,0.0-8.0-0.1,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,img/Red_circle.png,3021.0,calibration,,,,,,,,,,,,,,
introduction,23,201750,0.0-8.0-1.1-0.1,r5ubwo67,,,,,,2644.0,21,67d71a019290507d8b21684f,,21,,calibration,,,,,,,,,,,,,,
introduction,24,201751,0.0-8.0-2.1,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,,,,,,,,,,,,,,,,,
introduction,25,203751,0.0-8.0-0.2,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,<p>CAREFUL. That was too slow.</p>,3387.0,calibration,,,,,,,,,,,,,,
introduction,26,207414,0.0-8.0-1.2-0.2,r5ubwo67,,,,,,3661.0,123,67d71a019290507d8b21684f,,132,,calibration,,,,,,,,,,,,,,
introduction,27,210544,0.0-8.0-1.3-0.3,r5ubwo67,,,,,,3126.0,132,67d71a019290507d8b21684f,,132,,calibration,,,,,,,,,,,,,,
introduction,28,212546,0.0-8.0-2.2,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,29,215934,0.0-8.0-0.3,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,img/Red_circle.png,3121.0,calibration,,,,,,,,,,,,,,
introduction,30,219763,0.0-8.0-1.4-0.4,r5ubwo67,,,,,,3826.0,1133,67d71a019290507d8b21684f,,1133,,calibration,,,,,,,,,,,,,,
introduction,31,221765,0.0-8.0-2.3,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,32,224888,0.0-8.0-0.4,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,img/Red_circle.png,3130.0,calibration,,,,,,,,,,,,,,
introduction,33,227789,0.0-8.0-1.5-0.5,r5ubwo67,,,,,,2899.0,2331,67d71a019290507d8b21684f,,2331,,calibration,,,,,,,,,,,,,,
introduction,34,227790,0.0-8.0-2.4,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,,,,,,,,,,,,,,,,,
introduction,35,229791,0.0-8.0-0.5,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,<p>CAREFUL. That was too slow.</p>,2896.0,calibration,,,,,,,,,,,,,,
introduction,36,233376,0.0-8.0-1.6-0.6,r5ubwo67,,,,,,3582.0,1232,67d71a019290507d8b21684f,,1232,,calibration,,,,,,,,,,,,,,
introduction,37,235377,0.0-8.0-2.5,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,38,238275,0.0-8.0-0.6,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,img/Red_circle.png,2724.0,calibration,,,,,,,,,,,,,,
introduction,39,240628,0.0-8.0-1.7-0.7,r5ubwo67,,,,,,2351.0,1213,67d71a019290507d8b21684f,,1213,,calibration,,,,,,,,,,,,,,
introduction,40,240628,0.0-8.0-2.6,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,,,,,,,,,,,,,,,,,
introduction,41,242629,0.0-8.0-0.7,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,<p>CAREFUL. That was too slow.</p>,1520.0,calibration,,,,,,,,,,,,,,
introduction,42,244467,0.0-8.0-1.8-0.8,r5ubwo67,,,,,,1836.0,122,67d71a019290507d8b21684f,,122,,calibration,,,,,,,,,,,,,,
introduction,43,244469,0.0-8.0-2.7,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,,,,,,,,,,,,,,,,,
introduction,44,245991,0.0-8.0-0.8,r5ubwo67,,,,,,,,67d71a019290507d8b21684f,,img/Red_circle.png,2011.0,calibration,,,,,,,,,,,,,,
