trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,18888,0.0-2.0,vftzensl,,,,,,8364.0,67d865c30ff89ada0c980689,67d865c30ff89ada0c980689,,,,,,,,,,,,,,,,,,
introduction,3,24881,0.0-3.0,vftzensl,,,,,,5990.0,67d865c30ff89ada0c980689,67d865c30ff89ada0c980689,,,,,,,,,,,,,,,,,,
introduction,4,46011,0.0-4.0-0.0,vftzensl,,,,,,21129.0,,67d865c30ff89ada0c980689,"[{""page_index"":0,""viewing_time"":1906},{""page_index"":1,""viewing_time"":17560},{""page_index"":2,""viewing_time"":1661}]",,,,,,,,,,,,,,,,,
introduction,5,48174,0.0-5.0-0.0,vftzensl,,,,,,2161.0,1,67d865c30ff89ada0c980689,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,52235,0.0-5.0-0.1,vftzensl,,,,,,4060.0,2,67d865c30ff89ada0c980689,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,53199,0.0-5.0-0.2,vftzensl,,,,,,963.0,1,67d865c30ff89ada0c980689,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,53992,0.0-5.0-0.3,vftzensl,,,,,,792.0,3,67d865c30ff89ada0c980689,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,54871,0.0-5.0-0.4,vftzensl,,,,,,879.0,2,67d865c30ff89ada0c980689,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,55559,0.0-5.0-0.5,vftzensl,,,,,,687.0,3,67d865c30ff89ada0c980689,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,56281,0.0-5.0-0.6,vftzensl,,,,,,722.0,1,67d865c30ff89ada0c980689,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,56883,0.0-5.0-0.7,vftzensl,,,,,,602.0,2,67d865c30ff89ada0c980689,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,57455,0.0-5.0-0.8,vftzensl,,,,,,571.0,3,67d865c30ff89ada0c980689,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,58232,0.0-5.0-0.9,vftzensl,,,,,,776.0,2,67d865c30ff89ada0c980689,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,58742,0.0-5.0-0.10,vftzensl,,,,,,510.0,1,67d865c30ff89ada0c980689,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,59261,0.0-5.0-0.11,vftzensl,,,,,,518.0,3,67d865c30ff89ada0c980689,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,117349,0.0-6.0-0.0,vftzensl,,,,,,58087.0,,67d865c30ff89ada0c980689,"[{""page_index"":0,""viewing_time"":4365},{""page_index"":1,""viewing_time"":6776},{""page_index"":2,""viewing_time"":44849},{""page_index"":3,""viewing_time"":2097}]",,,,,,,,,,,,,,,,,
introduction,19,169960,0.0-8.0-0.0,vftzensl,,,,,,,,67d865c30ff89ada0c980689,,img/Red_circle.png,3274.0,calibration,,,,,,,,,,,,,,
introduction,20,173748,0.0-8.0-1.0-0.0,vftzensl,,,,,,3785.0,2213,67d865c30ff89ada0c980689,,2213,,calibration,,,,,,,,,,,,,,
introduction,21,175755,0.0-8.0-2.0,vftzensl,,,,,,,,67d865c30ff89ada0c980689,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,179034,0.0-8.0-0.1,vftzensl,,,,,,,,67d865c30ff89ada0c980689,,img/Red_circle.png,1242.0,calibration,,,,,,,,,,,,,,
introduction,23,181710,0.0-8.0-1.1-0.1,vftzensl,,,,,,2674.0,1323,67d865c30ff89ada0c980689,,1323,,calibration,,,,,,,,,,,,,,
introduction,24,181711,0.0-8.0-2.1,vftzensl,,,,,,,,67d865c30ff89ada0c980689,,,,,,,,,,,,,,,,,,
