trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,22239,0.0-2.0,aujohzo2,,,,,,12397.0,67d87d4f0eb4b49d7f595491,67d87d4f0eb4b49d7f595491,,,,,,,,,,,,,,,,,,
introduction,3,27440,0.0-3.0,aujohzo2,,,,,,5198.0,67d87d4f0eb4b49d7f595491,67d87d4f0eb4b49d7f595491,,,,,,,,,,,,,,,,,,
introduction,4,88682,0.0-4.0-0.0,aujohzo2,,,,,,61241.0,,67d87d4f0eb4b49d7f595491,"[{""page_index"":0,""viewing_time"":2882},{""page_index"":1,""viewing_time"":10100},{""page_index"":2,""viewing_time"":48258}]",,,,,,,,,,,,,,,,,
introduction,5,89563,0.0-5.0-0.0,aujohzo2,,,,,,880.0,1,67d87d4f0eb4b49d7f595491,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,90241,0.0-5.0-0.1,aujohzo2,,,,,,678.0,2,67d87d4f0eb4b49d7f595491,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,91347,0.0-5.0-0.2,aujohzo2,,,,,,1105.0,1,67d87d4f0eb4b49d7f595491,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,92354,0.0-5.0-0.3,aujohzo2,,,,,,1006.0,3,67d87d4f0eb4b49d7f595491,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,93218,0.0-5.0-0.4,aujohzo2,,,,,,864.0,2,67d87d4f0eb4b49d7f595491,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,94082,0.0-5.0-0.5,aujohzo2,,,,,,863.0,3,67d87d4f0eb4b49d7f595491,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,94774,0.0-5.0-0.6,aujohzo2,,,,,,691.0,1,67d87d4f0eb4b49d7f595491,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,95422,0.0-5.0-0.7,aujohzo2,,,,,,648.0,2,67d87d4f0eb4b49d7f595491,,Press: 2,,,,,,,,,,,,,,,,
