trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,42181,0.0-2.0,t7vhbxh3,,,,,,31519.0,67d8c68cac0bcd41da7a92d0,67d8c68cac0bcd41da7a92d0,,,,,,,,,,,,,,,,,,
introduction,3,47991,0.0-3.0,t7vhbxh3,,,,,,5806.0,67d8c68cac0bcd41da7a92d0,67d8c68cac0bcd41da7a92d0,,,,,,,,,,,,,,,,,,
introduction,4,145360,0.0-4.0-0.0,t7vhbxh3,,,,,,97368.0,,67d8c68cac0bcd41da7a92d0,"[{""page_index"":0,""viewing_time"":2407},{""page_index"":1,""viewing_time"":93063},{""page_index"":2,""viewing_time"":1897}]",,,,,,,,,,,,,,,,,
introduction,5,147037,0.0-5.0-0.0,t7vhbxh3,,,,,,1675.0,1,67d8c68cac0bcd41da7a92d0,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,148113,0.0-5.0-0.1,t7vhbxh3,,,,,,1076.0,2,67d8c68cac0bcd41da7a92d0,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,149352,0.0-5.0-0.2,t7vhbxh3,,,,,,1239.0,1,67d8c68cac0bcd41da7a92d0,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,150001,0.0-5.0-0.3,t7vhbxh3,,,,,,648.0,3,67d8c68cac0bcd41da7a92d0,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,150995,0.0-5.0-0.4,t7vhbxh3,,,,,,994.0,2,67d8c68cac0bcd41da7a92d0,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,151817,0.0-5.0-0.5,t7vhbxh3,,,,,,821.0,3,67d8c68cac0bcd41da7a92d0,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,152429,0.0-5.0-0.6,t7vhbxh3,,,,,,611.0,1,67d8c68cac0bcd41da7a92d0,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,153194,0.0-5.0-0.7,t7vhbxh3,,,,,,765.0,2,67d8c68cac0bcd41da7a92d0,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,153601,0.0-5.0-0.8,t7vhbxh3,,,,,,406.0,3,67d8c68cac0bcd41da7a92d0,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,154488,0.0-5.0-0.9,t7vhbxh3,,,,,,886.0,2,67d8c68cac0bcd41da7a92d0,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,155185,0.0-5.0-0.10,t7vhbxh3,,,,,,697.0,1,67d8c68cac0bcd41da7a92d0,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,155754,0.0-5.0-0.11,t7vhbxh3,,,,,,568.0,3,67d8c68cac0bcd41da7a92d0,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,201160,0.0-6.0-0.0,t7vhbxh3,,,,,,45406.0,,67d8c68cac0bcd41da7a92d0,"[{""page_index"":0,""viewing_time"":4904},{""page_index"":1,""viewing_time"":4771},{""page_index"":2,""viewing_time"":28167},{""page_index"":3,""viewing_time"":7564}]",,,,,,,,,,,,,,,,,
introduction,19,243811,0.0-8.0-0.0,t7vhbxh3,,,,,,,,67d8c68cac0bcd41da7a92d0,,img/Red_circle.png,2616.0,calibration,,,,,,,,,,,,,,
introduction,20,252421,0.0-8.0-1.0-0.0,t7vhbxh3,,,,,,8606.0,3232,67d8c68cac0bcd41da7a92d0,,3232,,calibration,,,,,,,,,,,,,,
introduction,21,254438,0.0-8.0-2.0,t7vhbxh3,,,,,,,,67d8c68cac0bcd41da7a92d0,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,257070,0.0-8.0-0.1,t7vhbxh3,,,,,,,,67d8c68cac0bcd41da7a92d0,,img/Red_circle.png,3390.0,calibration,,,,,,,,,,,,,,
introduction,23,259573,0.0-8.0-1.1-0.1,t7vhbxh3,,,,,,2499.0,3333,67d8c68cac0bcd41da7a92d0,,3333,,calibration,,,,,,,,,,,,,,
introduction,24,259573,0.0-8.0-2.1,t7vhbxh3,,,,,,,,67d8c68cac0bcd41da7a92d0,,,,,,,,,,,,,,,,,,
introduction,25,261588,0.0-8.0-0.2,t7vhbxh3,,,,,,,,67d8c68cac0bcd41da7a92d0,,<p>CAREFUL. That was too slow.</p>,2750.0,calibration,,,,,,,,,,,,,,
introduction,26,264890,0.0-8.0-1.2-0.2,t7vhbxh3,,,,,,3299.0,3331,67d8c68cac0bcd41da7a92d0,,3331,,calibration,,,,,,,,,,,,,,
introduction,27,264890,0.0-8.0-2.2,t7vhbxh3,,,,,,,,67d8c68cac0bcd41da7a92d0,,,,,,,,,,,,,,,,,,
introduction,28,266902,0.0-8.0-0.3,t7vhbxh3,,,,,,,,67d8c68cac0bcd41da7a92d0,,<p>CAREFUL. That was too slow.</p>,1129.0,calibration,,,,,,,,,,,,,,
introduction,29,272170,0.0-8.0-1.3-0.3,t7vhbxh3,,,,,,5265.0,1112,67d8c68cac0bcd41da7a92d0,,1112,,calibration,,,,,,,,,,,,,,
introduction,30,274179,0.0-8.0-2.3,t7vhbxh3,,,,,,,,67d8c68cac0bcd41da7a92d0,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,31,275312,0.0-8.0-0.4,t7vhbxh3,,,,,,,,67d8c68cac0bcd41da7a92d0,,img/Red_circle.png,2499.0,calibration,,,,,,,,,,,,,,
introduction,32,278554,0.0-8.0-1.4-0.4,t7vhbxh3,,,,,,3239.0,3231,67d8c68cac0bcd41da7a92d0,,3231,,calibration,,,,,,,,,,,,,,
introduction,33,278555,0.0-8.0-2.4,t7vhbxh3,,,,,,,,67d8c68cac0bcd41da7a92d0,,,,,,,,,,,,,,,,,,
