trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,35488,0.0-2.0,qyg73xcn,,,,,,9175.0,67d9e8a1074327b372eb538d,67d9e8a1074327b372eb538d,,,,,,,,,,,,,,,,,,
introduction,3,39334,0.0-3.0,qyg73xcn,,,,,,3843.0,67d9e8a1074327b372eb538d,67d9e8a1074327b372eb538d,,,,,,,,,,,,,,,,,,
introduction,4,53429,0.0-4.0-0.0,qyg73xcn,,,,,,14094.0,,67d9e8a1074327b372eb538d,"[{""page_index"":0,""viewing_time"":1337},{""page_index"":1,""viewing_time"":10475},{""page_index"":2,""viewing_time"":2282}]",,,,,,,,,,,,,,,,,
introduction,5,54355,0.0-5.0-0.0,qyg73xcn,,,,,,923.0,1,67d9e8a1074327b372eb538d,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,55336,0.0-5.0-0.1,qyg73xcn,,,,,,979.0,2,67d9e8a1074327b372eb538d,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,56391,0.0-5.0-0.2,qyg73xcn,,,,,,1054.0,1,67d9e8a1074327b372eb538d,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,57283,0.0-5.0-0.3,qyg73xcn,,,,,,891.0,3,67d9e8a1074327b372eb538d,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,58453,0.0-5.0-0.4,qyg73xcn,,,,,,1168.0,2,67d9e8a1074327b372eb538d,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,59381,0.0-5.0-0.5,qyg73xcn,,,,,,926.0,3,67d9e8a1074327b372eb538d,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,60136,0.0-5.0-0.6,qyg73xcn,,,,,,754.0,1,67d9e8a1074327b372eb538d,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,60865,0.0-5.0-0.7,qyg73xcn,,,,,,728.0,2,67d9e8a1074327b372eb538d,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,61646,0.0-5.0-0.8,qyg73xcn,,,,,,780.0,3,67d9e8a1074327b372eb538d,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,62325,0.0-5.0-0.9,qyg73xcn,,,,,,677.0,2,67d9e8a1074327b372eb538d,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,62974,0.0-5.0-0.10,qyg73xcn,,,,,,648.0,1,67d9e8a1074327b372eb538d,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,64048,0.0-5.0-0.11,qyg73xcn,,,,,,1073.0,3,67d9e8a1074327b372eb538d,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,98334,0.0-6.0-0.0,qyg73xcn,,,,,,34285.0,,67d9e8a1074327b372eb538d,"[{""page_index"":0,""viewing_time"":949},{""page_index"":1,""viewing_time"":4305},{""page_index"":2,""viewing_time"":27710},{""page_index"":3,""viewing_time"":1321}]",,,,,,,,,,,,,,,,,
introduction,19,119573,0.0-8.0-0.0,qyg73xcn,,,,,,,,67d9e8a1074327b372eb538d,,img/Red_circle.png,1901.0,calibration,,,,,,,,,,,,,,
introduction,20,124163,0.0-8.0-1.0-0.0,qyg73xcn,,,,,,4581.0,3212,67d9e8a1074327b372eb538d,,3212,,calibration,,,,,,,,,,,,,,
introduction,21,126170,0.0-8.0-2.0,qyg73xcn,,,,,,,,67d9e8a1074327b372eb538d,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,128082,0.0-8.0-0.1,qyg73xcn,,,,,,,,67d9e8a1074327b372eb538d,,img/Red_circle.png,2838.0,calibration,,,,,,,,,,,,,,
introduction,23,130618,0.0-8.0-1.1-0.1,qyg73xcn,,,,,,2531.0,2111,67d9e8a1074327b372eb538d,,2111,,calibration,,,,,,,,,,,,,,
introduction,24,130619,0.0-8.0-2.1,qyg73xcn,,,,,,,,67d9e8a1074327b372eb538d,,,,,,,,,,,,,,,,,,
introduction,25,132627,0.0-8.0-0.2,qyg73xcn,,,,,,,,67d9e8a1074327b372eb538d,,<p>CAREFUL. That was too slow.</p>,1839.0,calibration,,,,,,,,,,,,,,
