trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,24402,0.0-2.0,3njh212r,,,,,,12541.0,67db07c5dd0ecc4bb5acbcf8,67db07c5dd0ecc4bb5acbcf8,,,,,,,,,,,,,,,,,,
introduction,3,32970,0.0-3.0,3njh212r,,,,,,8564.0,67db07c5dd0ecc4bb5acbcf8,67db07c5dd0ecc4bb5acbcf8,,,,,,,,,,,,,,,,,,
introduction,4,44302,0.0-4.0-0.0,3njh212r,,,,,,11331.0,,67db07c5dd0ecc4bb5acbcf8,"[{""page_index"":0,""viewing_time"":2004},{""page_index"":1,""viewing_time"":7331},{""page_index"":2,""viewing_time"":1995}]",,,,,,,,,,,,,,,,,
introduction,5,45472,0.0-5.0-0.0,3njh212r,,,,,,1168.0,1,67db07c5dd0ecc4bb5acbcf8,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,46182,0.0-5.0-0.1,3njh212r,,,,,,708.0,2,67db07c5dd0ecc4bb5acbcf8,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,48017,0.0-5.0-0.2,3njh212r,,,,,,1834.0,1,67db07c5dd0ecc4bb5acbcf8,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,49532,0.0-5.0-0.3,3njh212r,,,,,,1514.0,3,67db07c5dd0ecc4bb5acbcf8,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,50469,0.0-5.0-0.4,3njh212r,,,,,,935.0,2,67db07c5dd0ecc4bb5acbcf8,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,51627,0.0-5.0-0.5,3njh212r,,,,,,1157.0,3,67db07c5dd0ecc4bb5acbcf8,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,52537,0.0-5.0-0.6,3njh212r,,,,,,909.0,1,67db07c5dd0ecc4bb5acbcf8,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,53252,0.0-5.0-0.7,3njh212r,,,,,,714.0,2,67db07c5dd0ecc4bb5acbcf8,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,53945,0.0-5.0-0.8,3njh212r,,,,,,692.0,3,67db07c5dd0ecc4bb5acbcf8,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,54671,0.0-5.0-0.9,3njh212r,,,,,,726.0,2,67db07c5dd0ecc4bb5acbcf8,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,55393,0.0-5.0-0.10,3njh212r,,,,,,718.0,1,67db07c5dd0ecc4bb5acbcf8,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,56119,0.0-5.0-0.11,3njh212r,,,,,,726.0,3,67db07c5dd0ecc4bb5acbcf8,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,178208,0.0-6.0-0.0,3njh212r,,,,,,122089.0,,67db07c5dd0ecc4bb5acbcf8,"[{""page_index"":0,""viewing_time"":109607},{""page_index"":1,""viewing_time"":2942},{""page_index"":2,""viewing_time"":7466},{""page_index"":3,""viewing_time"":2073}]",,,,,,,,,,,,,,,,,
introduction,19,205984,0.0-8.0-0.0,3njh212r,,,,,,,,67db07c5dd0ecc4bb5acbcf8,,img/Red_circle.png,1952.0,calibration,,,,,,,,,,,,,,
introduction,20,208988,0.0-8.0-1.0-0.0,3njh212r,,,,,,3001.0,121,67db07c5dd0ecc4bb5acbcf8,,121,,calibration,,,,,,,,,,,,,,
introduction,21,208989,0.0-8.0-2.0,3njh212r,,,,,,,,67db07c5dd0ecc4bb5acbcf8,,,,,,,,,,,,,,,,,,
introduction,22,210946,0.0-8.0-0.1,3njh212r,,,,,,,,67db07c5dd0ecc4bb5acbcf8,,img/Red_circle.png,1229.0,calibration,,,,,,,,,,,,,,
introduction,23,213356,0.0-8.0-1.1-0.1,3njh212r,,,,,,2406.0,121,67db07c5dd0ecc4bb5acbcf8,,121,,calibration,,,,,,,,,,,,,,
