trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,41114,0.0-2.0,9fmsoh0o,,,,,,5455.0,67dc7f7857e2fe1375df70fd,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,3,44318,0.0-3.0,9fmsoh0o,,,,,,3201.0,67dc7f7857e2fe1375df70fd,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,4,54959,0.0-4.0-0.0,9fmsoh0o,,,,,,10639.0,,67dc7f7857e2fe1375df70fd,"[{""page_index"":0,""viewing_time"":1957},{""page_index"":1,""viewing_time"":7616},{""page_index"":2,""viewing_time"":1066}]",,,,,,,,,,,,,,,,,
introduction,5,56546,0.0-5.0-0.0,9fmsoh0o,,,,,,1587.0,1,67dc7f7857e2fe1375df70fd,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,57619,0.0-5.0-0.1,9fmsoh0o,,,,,,1072.0,2,67dc7f7857e2fe1375df70fd,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,58339,0.0-5.0-0.2,9fmsoh0o,,,,,,719.0,1,67dc7f7857e2fe1375df70fd,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,59267,0.0-5.0-0.3,9fmsoh0o,,,,,,927.0,3,67dc7f7857e2fe1375df70fd,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,60539,0.0-5.0-0.4,9fmsoh0o,,,,,,1271.0,2,67dc7f7857e2fe1375df70fd,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,61323,0.0-5.0-0.5,9fmsoh0o,,,,,,783.0,3,67dc7f7857e2fe1375df70fd,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,62490,0.0-5.0-0.6,9fmsoh0o,,,,,,1167.0,1,67dc7f7857e2fe1375df70fd,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,63267,0.0-5.0-0.7,9fmsoh0o,,,,,,776.0,2,67dc7f7857e2fe1375df70fd,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,64012,0.0-5.0-0.8,9fmsoh0o,,,,,,744.0,3,67dc7f7857e2fe1375df70fd,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,64675,0.0-5.0-0.9,9fmsoh0o,,,,,,662.0,2,67dc7f7857e2fe1375df70fd,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,65267,0.0-5.0-0.10,9fmsoh0o,,,,,,591.0,1,67dc7f7857e2fe1375df70fd,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,65955,0.0-5.0-0.11,9fmsoh0o,,,,,,687.0,3,67dc7f7857e2fe1375df70fd,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,107407,0.0-6.0-0.0,9fmsoh0o,,,,,,41451.0,,67dc7f7857e2fe1375df70fd,"[{""page_index"":0,""viewing_time"":1113},{""page_index"":1,""viewing_time"":3460},{""page_index"":2,""viewing_time"":34871},{""page_index"":3,""viewing_time"":2008}]",,,,,,,,,,,,,,,,,
introduction,19,131538,0.0-8.0-0.0,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,img/Red_circle.png,1282.0,calibration,,,,,,,,,,,,,,
introduction,20,134637,0.0-8.0-1.0-0.0,9fmsoh0o,,,,,,3091.0,1133,67dc7f7857e2fe1375df70fd,,1133,,calibration,,,,,,,,,,,,,,
introduction,21,134639,0.0-8.0-2.0,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,22,135932,0.0-8.0-0.1,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,img/Red_circle.png,3221.0,calibration,,,,,,,,,,,,,,
introduction,23,138645,0.0-8.0-1.1-0.1,9fmsoh0o,,,,,,2710.0,2333,67dc7f7857e2fe1375df70fd,,2333,,calibration,,,,,,,,,,,,,,
introduction,24,138646,0.0-8.0-2.1,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,25,140661,0.0-8.0-0.2,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,2835.0,calibration,,,,,,,,,,,,,,
introduction,26,142261,0.0-8.0-1.2-0.2,9fmsoh0o,,,,,,1597.0,21,67dc7f7857e2fe1375df70fd,,21,,calibration,,,,,,,,,,,,,,
introduction,27,142262,0.0-8.0-2.2,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,28,144273,0.0-8.0-0.3,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,2554.0,calibration,,,,,,,,,,,,,,
introduction,29,147821,0.0-8.0-1.3-0.3,9fmsoh0o,,,,,,3544.0,3133,67dc7f7857e2fe1375df70fd,,3133,,calibration,,,,,,,,,,,,,,
introduction,30,149832,0.0-8.0-2.3,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,31,152401,0.0-8.0-0.4,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,img/Red_circle.png,1239.0,calibration,,,,,,,,,,,,,,
introduction,32,153821,0.0-8.0-1.4-0.4,9fmsoh0o,,,,,,1416.0,21,67dc7f7857e2fe1375df70fd,,21,,calibration,,,,,,,,,,,,,,
introduction,33,153824,0.0-8.0-2.4,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,34,155065,0.0-8.0-0.5,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,img/Red_circle.png,2929.0,calibration,,,,,,,,,,,,,,
introduction,35,157029,0.0-8.0-1.5-0.5,9fmsoh0o,,,,,,1960.0,3131,67dc7f7857e2fe1375df70fd,,3131,,calibration,,,,,,,,,,,,,,
introduction,36,157031,0.0-8.0-2.5,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,37,159032,0.0-8.0-0.6,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,1734.0,calibration,,,,,,,,,,,,,,
introduction,38,161181,0.0-8.0-1.6-0.6,9fmsoh0o,,,,,,2145.0,2233,67dc7f7857e2fe1375df70fd,,2233,,calibration,,,,,,,,,,,,,,
introduction,39,161184,0.0-8.0-2.6,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,40,162929,0.0-8.0-0.7,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,img/Red_circle.png,1244.0,calibration,,,,,,,,,,,,,,
introduction,41,165117,0.0-8.0-1.7-0.7,9fmsoh0o,,,,,,2184.0,2211,67dc7f7857e2fe1375df70fd,,2211,,calibration,,,,,,,,,,,,,,
introduction,42,165118,0.0-8.0-2.7,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,43,166377,0.0-8.0-0.8,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,img/Red_circle.png,3086.0,calibration,,,,,,,,,,,,,,
introduction,44,173934,0.0-8.0-1.8-0.8,9fmsoh0o,,,,,,7552.0,1311,67dc7f7857e2fe1375df70fd,,1311,,calibration,,,,,,,,,,,,,,
introduction,45,175937,0.0-8.0-2.8,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,46,179039,0.0-8.0-0.9,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,img/Red_circle.png,2965.0,calibration,,,,,,,,,,,,,,
introduction,47,180885,0.0-8.0-1.9-0.9,9fmsoh0o,,,,,,1843.0,1113,67dc7f7857e2fe1375df70fd,,1113,,calibration,,,,,,,,,,,,,,
introduction,48,180886,0.0-8.0-2.9,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,49,182894,0.0-8.0-0.10,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,1209.0,calibration,,,,,,,,,,,,,,
introduction,50,185502,0.0-8.0-1.10-0.10,9fmsoh0o,,,,,,2603.0,2113,67dc7f7857e2fe1375df70fd,,2113,,calibration,,,,,,,,,,,,,,
introduction,51,185502,0.0-8.0-2.10,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,52,186717,0.0-8.0-0.11,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,img/Red_circle.png,2087.0,calibration,,,,,,,,,,,,,,
introduction,53,189094,0.0-8.0-1.11-0.11,9fmsoh0o,,,,,,2374.0,1132,67dc7f7857e2fe1375df70fd,,1132,,calibration,,,,,,,,,,,,,,
introduction,54,189095,0.0-8.0-2.11,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,55,191104,0.0-8.0-0.12,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,1747.0,calibration,,,,,,,,,,,,,,
introduction,56,193373,0.0-8.0-1.12-0.12,9fmsoh0o,,,,,,2265.0,2221,67dc7f7857e2fe1375df70fd,,2221,,calibration,,,,,,,,,,,,,,
introduction,57,193374,0.0-8.0-2.12,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,58,195129,0.0-8.0-0.13,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,img/Red_circle.png,3056.0,calibration,,,,,,,,,,,,,,
introduction,59,197614,0.0-8.0-1.13-0.13,9fmsoh0o,,,,,,2481.0,3322,67dc7f7857e2fe1375df70fd,,3322,,calibration,,,,,,,,,,,,,,
introduction,60,197616,0.0-8.0-2.13,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,61,199626,0.0-8.0-0.14,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,2709.0,calibration,,,,,,,,,,,,,,
introduction,62,202670,0.0-8.0-1.14-0.14,9fmsoh0o,,,,,,3040.0,3123,67dc7f7857e2fe1375df70fd,,1323,,calibration,,,,,,,,,,,,,,
introduction,63,205886,0.0-8.0-1.15-0.15,9fmsoh0o,,,,,,3211.0,1323,67dc7f7857e2fe1375df70fd,,1323,,calibration,,,,,,,,,,,,,,
introduction,64,207902,0.0-8.0-2.14,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,65,210628,0.0-8.0-0.15,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,img/Red_circle.png,3438.0,calibration,,,,,,,,,,,,,,
introduction,66,212910,0.0-8.0-1.16-0.16,9fmsoh0o,,,,,,2278.0,2113,67dc7f7857e2fe1375df70fd,,2113,,calibration,,,,,,,,,,,,,,
introduction,67,212911,0.0-8.0-2.15,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,68,214917,0.0-8.0-0.16,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,2899.0,calibration,,,,,,,,,,,,,,
introduction,69,218750,0.0-8.0-1.17-0.17,9fmsoh0o,,,,,,3830.0,1311,67dc7f7857e2fe1375df70fd,,1311,,calibration,,,,,,,,,,,,,,
introduction,70,220753,0.0-8.0-2.16,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,71,223666,0.0-8.0-0.17,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,img/Red_circle.png,3018.0,calibration,,,,,,,,,,,,,,
introduction,72,226374,0.0-8.0-1.18-0.18,9fmsoh0o,,,,,,2704.0,1222,67dc7f7857e2fe1375df70fd,,1222,,calibration,,,,,,,,,,,,,,
introduction,73,226375,0.0-8.0-2.17,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,74,228389,0.0-8.0-0.18,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,2674.0,calibration,,,,,,,,,,,,,,
introduction,75,230510,0.0-8.0-1.19-0.19,9fmsoh0o,,,,,,2117.0,221,67dc7f7857e2fe1375df70fd,,221,,calibration,,,,,,,,,,,,,,
introduction,76,230511,0.0-8.0-2.18,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,77,232526,0.0-8.0-0.19,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,1338.0,calibration,,,,,,,,,,,,,,
introduction,78,234510,0.0-8.0-1.20-0.20,9fmsoh0o,,,,,,1979.0,313,67dc7f7857e2fe1375df70fd,,313,,calibration,,,,,,,,,,,,,,
introduction,79,234512,0.0-8.0-2.19,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,80,235868,0.0-8.0-0.20,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,img/Red_circle.png,2795.0,calibration,,,,,,,,,,,,,,
introduction,81,239191,0.0-8.0-1.21-0.21,9fmsoh0o,,,,,,3318.0,3123,67dc7f7857e2fe1375df70fd,,3123,,calibration,,,,,,,,,,,,,,
introduction,82,239192,0.0-8.0-2.20,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,83,241201,0.0-8.0-0.21,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,2582.0,calibration,,,,,,,,,,,,,,
introduction,84,243478,0.0-8.0-1.22-0.22,9fmsoh0o,,,,,,2272.0,2113,67dc7f7857e2fe1375df70fd,,2113,,calibration,,,,,,,,,,,,,,
introduction,85,243479,0.0-8.0-2.21,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,86,245481,0.0-8.0-0.22,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,<p>CAREFUL. That was too slow.</p>,1040.0,calibration,,,,,,,,,,,,,,
introduction,87,247551,0.0-8.0-1.23-0.23,9fmsoh0o,,,,,,2063.0,331,67dc7f7857e2fe1375df70fd,,331,,calibration,,,,,,,,,,,,,,
introduction,88,247552,0.0-8.0-2.22,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,89,248606,0.0-8.0-0.23,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,img/Red_circle.png,1207.0,calibration,,,,,,,,,,,,,,
introduction,90,250702,0.0-8.0-1.24-0.24,9fmsoh0o,,,,,,2093.0,131,67dc7f7857e2fe1375df70fd,,131,,calibration,,,,,,,,,,,,,,
introduction,91,250703,0.0-8.0-2.23,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,,,,,,,,,,,,,,,,,
introduction,92,251925,0.0-8.0-0.24,9fmsoh0o,,,,,,,,67dc7f7857e2fe1375df70fd,,img/Red_circle.png,2316.0,calibration,,,,,,,,,,,,,,
