trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,31944,0.0-2.0,f1veqax5,,,,,,10847.0,67dc8a1acb9acfb73224fe59,67dc8a1acb9acfb73224fe59,,,,,,,,,,,,,,,,,,
introduction,3,36096,0.0-3.0,f1veqax5,,,,,,4148.0,67dc8a1acb9acfb73224fe59,67dc8a1acb9acfb73224fe59,,,,,,,,,,,,,,,,,,
introduction,4,56659,0.0-4.0-0.0,f1veqax5,,,,,,20564.0,,67dc8a1acb9acfb73224fe59,"[{""page_index"":0,""viewing_time"":1632},{""page_index"":1,""viewing_time"":17627},{""page_index"":2,""viewing_time"":1306}]",,,,,,,,,,,,,,,,,
introduction,5,57870,0.0-5.0-0.0,f1veqax5,,,,,,1209.0,1,67dc8a1acb9acfb73224fe59,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,58922,0.0-5.0-0.1,f1veqax5,,,,,,1051.0,2,67dc8a1acb9acfb73224fe59,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,60244,0.0-5.0-0.2,f1veqax5,,,,,,1322.0,1,67dc8a1acb9acfb73224fe59,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,61226,0.0-5.0-0.3,f1veqax5,,,,,,982.0,3,67dc8a1acb9acfb73224fe59,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,62191,0.0-5.0-0.4,f1veqax5,,,,,,964.0,2,67dc8a1acb9acfb73224fe59,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,63084,0.0-5.0-0.5,f1veqax5,,,,,,893.0,3,67dc8a1acb9acfb73224fe59,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,63898,0.0-5.0-0.6,f1veqax5,,,,,,813.0,1,67dc8a1acb9acfb73224fe59,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,64645,0.0-5.0-0.7,f1veqax5,,,,,,747.0,2,67dc8a1acb9acfb73224fe59,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,65424,0.0-5.0-0.8,f1veqax5,,,,,,778.0,3,67dc8a1acb9acfb73224fe59,,Press: 3,,,,,,,,,,,,,,,,
