trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,21331,0.0-2.0,0sxw87ox,,,,,,4270.0,67dc8bb6fc5e336cc3dd3895,67dc8bb6fc5e336cc3dd3895,,,,,,,,,,,,,,,,,,
introduction,3,24780,0.0-3.0,0sxw87ox,,,,,,3441.0,67dc8bb6fc5e336cc3dd3895,67dc8bb6fc5e336cc3dd3895,,,,,,,,,,,,,,,,,,
introduction,4,34163,0.0-4.0-0.0,0sxw87ox,,,,,,9380.0,,67dc8bb6fc5e336cc3dd3895,"[{""page_index"":0,""viewing_time"":1190},{""page_index"":1,""viewing_time"":7025},{""page_index"":2,""viewing_time"":1165}]",,,,,,,,,,,,,,,,,
introduction,5,35257,0.0-5.0-0.0,0sxw87ox,,,,,,1092.0,1,67dc8bb6fc5e336cc3dd3895,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,36004,0.0-5.0-0.1,0sxw87ox,,,,,,745.0,2,67dc8bb6fc5e336cc3dd3895,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,36668,0.0-5.0-0.2,0sxw87ox,,,,,,663.0,1,67dc8bb6fc5e336cc3dd3895,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,38595,0.0-5.0-0.3,0sxw87ox,,,,,,1926.0,3,67dc8bb6fc5e336cc3dd3895,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,39281,0.0-5.0-0.4,0sxw87ox,,,,,,684.0,2,67dc8bb6fc5e336cc3dd3895,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,39840,0.0-5.0-0.5,0sxw87ox,,,,,,558.0,3,67dc8bb6fc5e336cc3dd3895,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,40537,0.0-5.0-0.6,0sxw87ox,,,,,,696.0,1,67dc8bb6fc5e336cc3dd3895,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,41117,0.0-5.0-0.7,0sxw87ox,,,,,,579.0,2,67dc8bb6fc5e336cc3dd3895,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,41965,0.0-5.0-0.8,0sxw87ox,,,,,,847.0,3,67dc8bb6fc5e336cc3dd3895,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,42661,0.0-5.0-0.9,0sxw87ox,,,,,,695.0,2,67dc8bb6fc5e336cc3dd3895,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,43292,0.0-5.0-0.10,0sxw87ox,,,,,,631.0,1,67dc8bb6fc5e336cc3dd3895,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,44914,0.0-5.0-0.11,0sxw87ox,,,,,,1621.0,3,67dc8bb6fc5e336cc3dd3895,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,60310,0.0-6.0-0.0,0sxw87ox,,,,,,15395.0,,67dc8bb6fc5e336cc3dd3895,"[{""page_index"":0,""viewing_time"":1468},{""page_index"":1,""viewing_time"":5561},{""page_index"":2,""viewing_time"":7354},{""page_index"":3,""viewing_time"":1011}]",,,,,,,,,,,,,,,,,
introduction,19,72676,0.0-8.0-0.0,0sxw87ox,,,,,,,,67dc8bb6fc5e336cc3dd3895,,img/Red_circle.png,2488.0,calibration,,,,,,,,,,,,,,
introduction,20,74493,0.0-8.0-1.0-0.0,0sxw87ox,,,,,,1810.0,21,67dc8bb6fc5e336cc3dd3895,,21,,calibration,,,,,,,,,,,,,,
introduction,21,74497,0.0-8.0-2.0,0sxw87ox,,,,,,,,67dc8bb6fc5e336cc3dd3895,,,,,,,,,,,,,,,,,,
