trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,16629,0.0-2.0,f2atsxz5,,,,,,7400.0,67dc9b211ced592998fb6d17,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,3,23160,0.0-3.0,f2atsxz5,,,,,,6528.0,67dc9b211ced592998fb6d17,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,4,984677,0.0-4.0-0.0,f2atsxz5,,,,,,961515.0,,67dc9b211ced592998fb6d17,"[{""page_index"":0,""viewing_time"":1149},{""page_index"":1,""viewing_time"":958903},{""page_index"":2,""viewing_time"":1456}]",,,,,,,,,,,,,,,,,
introduction,5,985938,0.0-5.0-0.0,f2atsxz5,,,,,,1258.0,1,67dc9b211ced592998fb6d17,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,986872,0.0-5.0-0.1,f2atsxz5,,,,,,933.0,2,67dc9b211ced592998fb6d17,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,988198,0.0-5.0-0.2,f2atsxz5,,,,,,1326.0,1,67dc9b211ced592998fb6d17,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,989142,0.0-5.0-0.3,f2atsxz5,,,,,,943.0,3,67dc9b211ced592998fb6d17,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,990363,0.0-5.0-0.4,f2atsxz5,,,,,,1221.0,2,67dc9b211ced592998fb6d17,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,991249,0.0-5.0-0.5,f2atsxz5,,,,,,885.0,3,67dc9b211ced592998fb6d17,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,991979,0.0-5.0-0.6,f2atsxz5,,,,,,730.0,1,67dc9b211ced592998fb6d17,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,992600,0.0-5.0-0.7,f2atsxz5,,,,,,621.0,2,67dc9b211ced592998fb6d17,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,993332,0.0-5.0-0.8,f2atsxz5,,,,,,731.0,3,67dc9b211ced592998fb6d17,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,994194,0.0-5.0-0.9,f2atsxz5,,,,,,862.0,2,67dc9b211ced592998fb6d17,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,994833,0.0-5.0-0.10,f2atsxz5,,,,,,638.0,1,67dc9b211ced592998fb6d17,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,995501,0.0-5.0-0.11,f2atsxz5,,,,,,667.0,3,67dc9b211ced592998fb6d17,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,1035469,0.0-6.0-0.0,f2atsxz5,,,,,,39968.0,,67dc9b211ced592998fb6d17,"[{""page_index"":0,""viewing_time"":1624},{""page_index"":1,""viewing_time"":4624},{""page_index"":2,""viewing_time"":31270},{""page_index"":3,""viewing_time"":2450}]",,,,,,,,,,,,,,,,,
introduction,19,1070663,0.0-8.0-0.0,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,img/Red_circle.png,1672.0,calibration,,,,,,,,,,,,,,
introduction,20,1078366,0.0-8.0-1.0-0.0,f2atsxz5,,,,,,7698.0,1322,67dc9b211ced592998fb6d17,,1322,,calibration,,,,,,,,,,,,,,
introduction,21,1080369,0.0-8.0-2.0,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,1082043,0.0-8.0-0.1,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,img/Red_circle.png,3281.0,calibration,,,,,,,,,,,,,,
introduction,23,1085403,0.0-8.0-1.1-0.1,f2atsxz5,,,,,,3358.0,3132,67dc9b211ced592998fb6d17,,3132,,calibration,,,,,,,,,,,,,,
introduction,24,1085404,0.0-8.0-2.1,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,25,1087406,0.0-8.0-0.2,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,<p>CAREFUL. That was too slow.</p>,3026.0,calibration,,,,,,,,,,,,,,
introduction,26,1090021,0.0-8.0-1.2-0.2,f2atsxz5,,,,,,2612.0,2221,67dc9b211ced592998fb6d17,,2221,,calibration,,,,,,,,,,,,,,
introduction,27,1090021,0.0-8.0-2.2,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,28,1092022,0.0-8.0-0.3,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,<p>CAREFUL. That was too slow.</p>,3180.0,calibration,,,,,,,,,,,,,,
introduction,29,1094625,0.0-8.0-1.3-0.3,f2atsxz5,,,,,,2601.0,1231,67dc9b211ced592998fb6d17,,1231,,calibration,,,,,,,,,,,,,,
introduction,30,1094626,0.0-8.0-2.3,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,31,1096627,0.0-8.0-0.4,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,<p>CAREFUL. That was too slow.</p>,1357.0,calibration,,,,,,,,,,,,,,
introduction,32,1100490,0.0-8.0-1.4-0.4,f2atsxz5,,,,,,3862.0,2323,67dc9b211ced592998fb6d17,,2323,,calibration,,,,,,,,,,,,,,
introduction,33,1102492,0.0-8.0-2.4,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,34,1103852,0.0-8.0-0.5,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,img/Red_circle.png,1620.0,calibration,,,,,,,,,,,,,,
introduction,35,1106503,0.0-8.0-1.5-0.5,f2atsxz5,,,,,,2650.0,3122,67dc9b211ced592998fb6d17,,3122,,calibration,,,,,,,,,,,,,,
introduction,36,1106504,0.0-8.0-2.5,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,37,1108127,0.0-8.0-0.6,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,img/Red_circle.png,3408.0,calibration,,,,,,,,,,,,,,
introduction,38,1109995,0.0-8.0-1.6-0.6,f2atsxz5,,,,,,1866.0,122,67dc9b211ced592998fb6d17,,122,,calibration,,,,,,,,,,,,,,
introduction,39,1109997,0.0-8.0-2.6,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,40,1111998,0.0-8.0-0.7,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,<p>CAREFUL. That was too slow.</p>,1982.0,calibration,,,,,,,,,,,,,,
introduction,41,1115392,0.0-8.0-1.7-0.7,f2atsxz5,,,,,,3391.0,1311,67dc9b211ced592998fb6d17,,1311,,calibration,,,,,,,,,,,,,,
introduction,42,1115393,0.0-8.0-2.7,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,43,1117377,0.0-8.0-0.8,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,img/Red_circle.png,3046.0,calibration,,,,,,,,,,,,,,
introduction,44,1119723,0.0-8.0-1.8-0.8,f2atsxz5,,,,,,2344.0,3211,67dc9b211ced592998fb6d17,,3211,,calibration,,,,,,,,,,,,,,
introduction,45,1119723,0.0-8.0-2.8,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,46,1121724,0.0-8.0-0.9,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,<p>CAREFUL. That was too slow.</p>,2001.0,calibration,,,,,,,,,,,,,,
introduction,47,1125638,0.0-8.0-1.9-0.9,f2atsxz5,,,,,,3913.0,2321,67dc9b211ced592998fb6d17,,2321,,calibration,,,,,,,,,,,,,,
introduction,48,1127640,0.0-8.0-2.9,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,49,1129643,0.0-8.0-0.10,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,img/Red_circle.png,2699.0,calibration,,,,,,,,,,,,,,
introduction,50,1131787,0.0-8.0-1.10-0.10,f2atsxz5,,,,,,2143.0,2333,67dc9b211ced592998fb6d17,,2333,,calibration,,,,,,,,,,,,,,
introduction,51,1131788,0.0-8.0-2.10,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,52,1133789,0.0-8.0-0.11,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,<p>CAREFUL. That was too slow.</p>,1273.0,calibration,,,,,,,,,,,,,,
introduction,53,1136669,0.0-8.0-1.11-0.11,f2atsxz5,,,,,,2877.0,1312,67dc9b211ced592998fb6d17,,1312,,calibration,,,,,,,,,,,,,,
introduction,54,1136669,0.0-8.0-2.11,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,55,1137944,0.0-8.0-0.12,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,img/Red_circle.png,2509.0,calibration,,,,,,,,,,,,,,
introduction,56,1140641,0.0-8.0-1.12-0.12,f2atsxz5,,,,,,2695.0,2323,67dc9b211ced592998fb6d17,,2323,,calibration,,,,,,,,,,,,,,
introduction,57,1140641,0.0-8.0-2.12,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,58,1142642,0.0-8.0-0.13,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,<p>CAREFUL. That was too slow.</p>,2021.0,calibration,,,,,,,,,,,,,,
introduction,59,1145760,0.0-8.0-1.13-0.13,f2atsxz5,,,,,,3115.0,2131,67dc9b211ced592998fb6d17,,2131,,calibration,,,,,,,,,,,,,,
introduction,60,1145761,0.0-8.0-2.13,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,61,1147763,0.0-8.0-0.14,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,<p>CAREFUL. That was too slow.</p>,1981.0,calibration,,,,,,,,,,,,,,
introduction,62,1149780,0.0-8.0-1.14-0.14,f2atsxz5,,,,,,2015.0,223,67dc9b211ced592998fb6d17,,223,,calibration,,,,,,,,,,,,,,
introduction,63,1149781,0.0-8.0-2.14,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,64,1151764,0.0-8.0-0.15,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,img/Red_circle.png,1711.0,calibration,,,,,,,,,,,,,,
introduction,65,1154479,0.0-8.0-1.15-0.15,f2atsxz5,,,,,,2713.0,1313,67dc9b211ced592998fb6d17,,1313,,calibration,,,,,,,,,,,,,,
introduction,66,1154480,0.0-8.0-2.15,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,67,1156193,0.0-8.0-0.16,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,img/Red_circle.png,2056.0,calibration,,,,,,,,,,,,,,
introduction,68,1158832,0.0-8.0-1.16-0.16,f2atsxz5,,,,,,2637.0,1231,67dc9b211ced592998fb6d17,,1231,,calibration,,,,,,,,,,,,,,
introduction,69,1158833,0.0-8.0-2.16,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,70,1160834,0.0-8.0-0.17,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,<p>CAREFUL. That was too slow.</p>,1200.0,calibration,,,,,,,,,,,,,,
introduction,71,1163356,0.0-8.0-1.17-0.17,f2atsxz5,,,,,,2521.0,1333,67dc9b211ced592998fb6d17,,1333,,calibration,,,,,,,,,,,,,,
introduction,72,1163357,0.0-8.0-2.17,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,73,1164559,0.0-8.0-0.18,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,img/Red_circle.png,1190.0,calibration,,,,,,,,,,,,,,
introduction,74,1166737,0.0-8.0-1.18-0.18,f2atsxz5,,,,,,2176.0,21,67dc9b211ced592998fb6d17,,21,,calibration,,,,,,,,,,,,,,
introduction,75,1166738,0.0-8.0-2.18,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,76,1167931,0.0-8.0-0.19,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,img/Red_circle.png,2352.0,calibration,,,,,,,,,,,,,,
introduction,77,1170279,0.0-8.0-1.19-0.19,f2atsxz5,,,,,,2346.0,1213,67dc9b211ced592998fb6d17,,1213,,calibration,,,,,,,,,,,,,,
introduction,78,1170280,0.0-8.0-2.19,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
introduction,79,1172281,0.0-8.0-0.20,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,<p>CAREFUL. That was too slow.</p>,2528.0,calibration,,,,,,,,,,,,,,
introduction,80,1175285,0.0-8.0-1.20-0.20,f2atsxz5,,,,,,3002.0,2123,67dc9b211ced592998fb6d17,,2123,,calibration,,,,,,,,,,,,,,
introduction,81,1175286,0.0-8.0-2.20,f2atsxz5,,,,,,,,67dc9b211ced592998fb6d17,,,,,,,,,,,,,,,,,,
