trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,67075,0.0-2.0,hb3wbono,,,,,,55269.0,67dda0e71db471d2d21376a9,67dda0e71db471d2d21376a9,,,,,,,,,,,,,,,,,,
introduction,3,76111,0.0-3.0,hb3wbono,,,,,,9031.0,67dda0e71db471d2d21376a9,67dda0e71db471d2d21376a9,,,,,,,,,,,,,,,,,,
introduction,4,312760,0.0-4.0-0.0,hb3wbono,,,,,,236648.0,,67dda0e71db471d2d21376a9,"[{""page_index"":0,""viewing_time"":226655},{""page_index"":1,""viewing_time"":8522},{""page_index"":2,""viewing_time"":1468}]",,,,,,,,,,,,,,,,,
introduction,5,313794,0.0-5.0-0.0,hb3wbono,,,,,,1031.0,1,67dda0e71db471d2d21376a9,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,314583,0.0-5.0-0.1,hb3wbono,,,,,,788.0,2,67dda0e71db471d2d21376a9,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,316343,0.0-5.0-0.2,hb3wbono,,,,,,1759.0,1,67dda0e71db471d2d21376a9,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,317692,0.0-5.0-0.3,hb3wbono,,,,,,1349.0,3,67dda0e71db471d2d21376a9,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,318996,0.0-5.0-0.4,hb3wbono,,,,,,1302.0,2,67dda0e71db471d2d21376a9,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,319906,0.0-5.0-0.5,hb3wbono,,,,,,910.0,3,67dda0e71db471d2d21376a9,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,320655,0.0-5.0-0.6,hb3wbono,,,,,,748.0,1,67dda0e71db471d2d21376a9,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,321284,0.0-5.0-0.7,hb3wbono,,,,,,628.0,2,67dda0e71db471d2d21376a9,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,321984,0.0-5.0-0.8,hb3wbono,,,,,,700.0,3,67dda0e71db471d2d21376a9,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,322699,0.0-5.0-0.9,hb3wbono,,,,,,713.0,2,67dda0e71db471d2d21376a9,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,323373,0.0-5.0-0.10,hb3wbono,,,,,,673.0,1,67dda0e71db471d2d21376a9,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,324174,0.0-5.0-0.11,hb3wbono,,,,,,801.0,3,67dda0e71db471d2d21376a9,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,486802,0.0-6.0-0.0,hb3wbono,,,,,,162627.0,,67dda0e71db471d2d21376a9,"[{""page_index"":0,""viewing_time"":81578},{""page_index"":1,""viewing_time"":43896},{""page_index"":2,""viewing_time"":34850},{""page_index"":3,""viewing_time"":2304}]",,,,,,,,,,,,,,,,,
introduction,19,501302,0.0-8.0-0.0,hb3wbono,,,,,,,,67dda0e71db471d2d21376a9,,img/Red_circle.png,2041.0,calibration,,,,,,,,,,,,,,
introduction,20,503948,0.0-8.0-1.0-0.0,hb3wbono,,,,,,2640.0,2222,67dda0e71db471d2d21376a9,,2222,,calibration,,,,,,,,,,,,,,
introduction,21,503951,0.0-8.0-2.0,hb3wbono,,,,,,,,67dda0e71db471d2d21376a9,,,,,,,,,,,,,,,,,,
introduction,22,505952,0.0-8.0-0.1,hb3wbono,,,,,,,,67dda0e71db471d2d21376a9,,<p>CAREFUL. That was too slow.</p>,1817.0,calibration,,,,,,,,,,,,,,
introduction,23,508117,0.0-8.0-1.1-0.1,hb3wbono,,,,,,2160.0,1133,67dda0e71db471d2d21376a9,,1133,,calibration,,,,,,,,,,,,,,
