trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,50604,0.0-2.0,nkvms05t,,,,,,30172.0,67de65fdf778e5f68a7f3555,67de65fdf778e5f68a7f3555,,,,,,,,,,,,,,,,,,
introduction,3,56740,0.0-3.0,nkvms05t,,,,,,6132.0,67de65fdf778e5f68a7f3555,67de65fdf778e5f68a7f3555,,,,,,,,,,,,,,,,,,
introduction,4,59886,0.0-4.0-0.0,nkvms05t,,,,,,3145.0,,67de65fdf778e5f68a7f3555,"[{""page_index"":0,""viewing_time"":1201},{""page_index"":1,""viewing_time"":1179},{""page_index"":2,""viewing_time"":764}]",,,,,,,,,,,,,,,,,
introduction,5,61259,0.0-5.0-0.0,nkvms05t,,,,,,1371.0,1,67de65fdf778e5f68a7f3555,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,61797,0.0-5.0-0.1,nkvms05t,,,,,,536.0,2,67de65fdf778e5f68a7f3555,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,62575,0.0-5.0-0.2,nkvms05t,,,,,,777.0,1,67de65fdf778e5f68a7f3555,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,63187,0.0-5.0-0.3,nkvms05t,,,,,,612.0,3,67de65fdf778e5f68a7f3555,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,63937,0.0-5.0-0.4,nkvms05t,,,,,,749.0,2,67de65fdf778e5f68a7f3555,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,64527,0.0-5.0-0.5,nkvms05t,,,,,,589.0,3,67de65fdf778e5f68a7f3555,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,65290,0.0-5.0-0.6,nkvms05t,,,,,,763.0,1,67de65fdf778e5f68a7f3555,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,65924,0.0-5.0-0.7,nkvms05t,,,,,,633.0,2,67de65fdf778e5f68a7f3555,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,66622,0.0-5.0-0.8,nkvms05t,,,,,,697.0,3,67de65fdf778e5f68a7f3555,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,67260,0.0-5.0-0.9,nkvms05t,,,,,,636.0,2,67de65fdf778e5f68a7f3555,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,67784,0.0-5.0-0.10,nkvms05t,,,,,,524.0,1,67de65fdf778e5f68a7f3555,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,68368,0.0-5.0-0.11,nkvms05t,,,,,,583.0,3,67de65fdf778e5f68a7f3555,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,72503,0.0-6.0-0.0,nkvms05t,,,,,,4135.0,,67de65fdf778e5f68a7f3555,"[{""page_index"":0,""viewing_time"":1059},{""page_index"":1,""viewing_time"":606},{""page_index"":2,""viewing_time"":1083},{""page_index"":3,""viewing_time"":1386}]",,,,,,,,,,,,,,,,,
introduction,19,79968,0.0-8.0-0.0,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,img/Red_circle.png,2562.0,calibration,,,,,,,,,,,,,,
introduction,20,82163,0.0-8.0-1.0-0.0,nkvms05t,,,,,,2190.0,3223,67de65fdf778e5f68a7f3555,,3223,,calibration,,,,,,,,,,,,,,
introduction,21,82165,0.0-8.0-2.0,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,,,,,,,,,,,,,,,,,
introduction,22,84166,0.0-8.0-0.1,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,<p>CAREFUL. That was too slow.</p>,2363.0,calibration,,,,,,,,,,,,,,
introduction,23,86249,0.0-8.0-1.1-0.1,nkvms05t,,,,,,2079.0,1131,67de65fdf778e5f68a7f3555,,1131,,calibration,,,,,,,,,,,,,,
introduction,24,86251,0.0-8.0-2.1,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,,,,,,,,,,,,,,,,,
introduction,25,88252,0.0-8.0-0.2,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,<p>CAREFUL. That was too slow.</p>,1283.0,calibration,,,,,,,,,,,,,,
introduction,26,89470,0.0-8.0-1.2-0.2,nkvms05t,,,,,,1215.0,23,67de65fdf778e5f68a7f3555,,23,,calibration,,,,,,,,,,,,,,
introduction,27,89471,0.0-8.0-2.2,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,,,,,,,,,,,,,,,,,
introduction,28,90756,0.0-8.0-0.3,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,img/Red_circle.png,2757.0,calibration,,,,,,,,,,,,,,
introduction,29,92887,0.0-8.0-1.3-0.3,nkvms05t,,,,,,2128.0,1333,67de65fdf778e5f68a7f3555,,1333,,calibration,,,,,,,,,,,,,,
introduction,30,92888,0.0-8.0-2.3,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,,,,,,,,,,,,,,,,,
introduction,31,94890,0.0-8.0-0.4,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,<p>CAREFUL. That was too slow.</p>,2276.0,calibration,,,,,,,,,,,,,,
introduction,32,96398,0.0-8.0-1.4-0.4,nkvms05t,,,,,,1504.0,1221,67de65fdf778e5f68a7f3555,,1221,,calibration,,,,,,,,,,,,,,
introduction,33,96399,0.0-8.0-2.4,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,,,,,,,,,,,,,,,,,
introduction,34,98400,0.0-8.0-0.5,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,<p>CAREFUL. That was too slow.</p>,1808.0,calibration,,,,,,,,,,,,,,
introduction,35,99673,0.0-8.0-1.5-0.5,nkvms05t,,,,,,1269.0,333,67de65fdf778e5f68a7f3555,,333,,calibration,,,,,,,,,,,,,,
introduction,36,99674,0.0-8.0-2.5,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,,,,,,,,,,,,,,,,,
introduction,37,101485,0.0-8.0-0.6,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,img/Red_circle.png,2765.0,calibration,,,,,,,,,,,,,,
introduction,38,103335,0.0-8.0-1.6-0.6,nkvms05t,,,,,,1847.0,3112,67de65fdf778e5f68a7f3555,,3112,,calibration,,,,,,,,,,,,,,
introduction,39,103336,0.0-8.0-2.6,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,,,,,,,,,,,,,,,,,
introduction,40,105338,0.0-8.0-0.7,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,<p>CAREFUL. That was too slow.</p>,2113.0,calibration,,,,,,,,,,,,,,
introduction,41,107337,0.0-8.0-1.7-0.7,nkvms05t,,,,,,1996.0,3222,67de65fdf778e5f68a7f3555,,3222,,calibration,,,,,,,,,,,,,,
introduction,42,107338,0.0-8.0-2.7,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,,,,,,,,,,,,,,,,,
introduction,43,109338,0.0-8.0-0.8,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,<p>CAREFUL. That was too slow.</p>,2448.0,calibration,,,,,,,,,,,,,,
introduction,44,111008,0.0-8.0-1.8-0.8,nkvms05t,,,,,,1667.0,323,67de65fdf778e5f68a7f3555,,323,,calibration,,,,,,,,,,,,,,
introduction,45,111009,0.0-8.0-2.8,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,,,,,,,,,,,,,,,,,
introduction,46,113010,0.0-8.0-0.9,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,<p>CAREFUL. That was too slow.</p>,1427.0,calibration,,,,,,,,,,,,,,
introduction,47,114756,0.0-8.0-1.9-0.9,nkvms05t,,,,,,1743.0,123,67de65fdf778e5f68a7f3555,,123,,calibration,,,,,,,,,,,,,,
introduction,48,114757,0.0-8.0-2.9,nkvms05t,,,,,,,,67de65fdf778e5f68a7f3555,,,,,,,,,,,,,,,,,,
