trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,78225,0.0-2.0,oa4h2xs0,,,,,,67763.0,67deb8dc47348a9074e0f2f8,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,3,83595,0.0-3.0,oa4h2xs0,,,,,,5367.0,67deb8dc47348a9074e0f2f8,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,4,93725,0.0-4.0-0.0,oa4h2xs0,,,,,,10129.0,,67deb8dc47348a9074e0f2f8,"[{""page_index"":0,""viewing_time"":1974},{""page_index"":1,""viewing_time"":6833},{""page_index"":2,""viewing_time"":1322}]",,,,,,,,,,,,,,,,,
introduction,5,95949,0.0-5.0-0.0,oa4h2xs0,,,,,,2222.0,1,67deb8dc47348a9074e0f2f8,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,97076,0.0-5.0-0.1,oa4h2xs0,,,,,,1127.0,2,67deb8dc47348a9074e0f2f8,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,98846,0.0-5.0-0.2,oa4h2xs0,,,,,,1769.0,1,67deb8dc47348a9074e0f2f8,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,99818,0.0-5.0-0.3,oa4h2xs0,,,,,,972.0,3,67deb8dc47348a9074e0f2f8,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,100920,0.0-5.0-0.4,oa4h2xs0,,,,,,1102.0,2,67deb8dc47348a9074e0f2f8,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,102038,0.0-5.0-0.5,oa4h2xs0,,,,,,1117.0,3,67deb8dc47348a9074e0f2f8,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,102890,0.0-5.0-0.6,oa4h2xs0,,,,,,852.0,1,67deb8dc47348a9074e0f2f8,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,103714,0.0-5.0-0.7,oa4h2xs0,,,,,,823.0,2,67deb8dc47348a9074e0f2f8,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,104622,0.0-5.0-0.8,oa4h2xs0,,,,,,908.0,3,67deb8dc47348a9074e0f2f8,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,105597,0.0-5.0-0.9,oa4h2xs0,,,,,,974.0,2,67deb8dc47348a9074e0f2f8,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,106465,0.0-5.0-0.10,oa4h2xs0,,,,,,867.0,1,67deb8dc47348a9074e0f2f8,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,107546,0.0-5.0-0.11,oa4h2xs0,,,,,,1081.0,3,67deb8dc47348a9074e0f2f8,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,177441,0.0-6.0-0.0,oa4h2xs0,,,,,,69895.0,,67deb8dc47348a9074e0f2f8,"[{""page_index"":0,""viewing_time"":1008},{""page_index"":1,""viewing_time"":1119},{""page_index"":2,""viewing_time"":66658},{""page_index"":3,""viewing_time"":1110}]",,,,,,,,,,,,,,,,,
introduction,19,219484,0.0-8.0-0.0,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,2772.0,calibration,,,,,,,,,,,,,,
introduction,20,228402,0.0-8.0-1.0-0.0,oa4h2xs0,,,,,,8912.0,1313,67deb8dc47348a9074e0f2f8,,1313,,calibration,,,,,,,,,,,,,,
introduction,21,230414,0.0-8.0-2.0,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,233189,0.0-8.0-0.1,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,2907.0,calibration,,,,,,,,,,,,,,
introduction,23,236284,0.0-8.0-1.1-0.1,oa4h2xs0,,,,,,3092.0,3222,67deb8dc47348a9074e0f2f8,,3222,,calibration,,,,,,,,,,,,,,
introduction,24,236285,0.0-8.0-2.1,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,25,238300,0.0-8.0-0.2,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,2207.0,calibration,,,,,,,,,,,,,,
introduction,26,243740,0.0-8.0-1.2-0.2,oa4h2xs0,,,,,,5437.0,1133,67deb8dc47348a9074e0f2f8,,1133,,calibration,,,,,,,,,,,,,,
introduction,27,245754,0.0-8.0-2.2,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,28,247968,0.0-8.0-0.3,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,1012.0,calibration,,,,,,,,,,,,,,
introduction,29,250984,0.0-8.0-1.3-0.3,oa4h2xs0,,,,,,3014.0,2313,67deb8dc47348a9074e0f2f8,,2313,,calibration,,,,,,,,,,,,,,
introduction,30,250985,0.0-8.0-2.3,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,31,252003,0.0-8.0-0.4,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,2110.0,calibration,,,,,,,,,,,,,,
introduction,32,254326,0.0-8.0-1.4-0.4,oa4h2xs0,,,,,,2320.0,3322,67deb8dc47348a9074e0f2f8,,3322,,calibration,,,,,,,,,,,,,,
introduction,33,254327,0.0-8.0-2.4,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,34,256339,0.0-8.0-0.5,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,3072.0,calibration,,,,,,,,,,,,,,
introduction,35,257792,0.0-8.0-1.5-0.5,oa4h2xs0,,,,,,1451.0,12,67deb8dc47348a9074e0f2f8,,12,,calibration,,,,,,,,,,,,,,
introduction,36,257793,0.0-8.0-2.5,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,37,259806,0.0-8.0-0.6,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,2951.0,calibration,,,,,,,,,,,,,,
introduction,38,261712,0.0-8.0-1.6-0.6,oa4h2xs0,,,,,,1903.0,2221,67deb8dc47348a9074e0f2f8,,2221,,calibration,,,,,,,,,,,,,,
introduction,39,261712,0.0-8.0-2.6,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,40,263721,0.0-8.0-0.7,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,2178.0,calibration,,,,,,,,,,,,,,
introduction,41,266311,0.0-8.0-1.7-0.7,oa4h2xs0,,,,,,2585.0,3133,67deb8dc47348a9074e0f2f8,,3133,,calibration,,,,,,,,,,,,,,
introduction,42,266312,0.0-8.0-2.7,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,43,268326,0.0-8.0-0.8,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,2366.0,calibration,,,,,,,,,,,,,,
introduction,44,271153,0.0-8.0-1.8-0.8,oa4h2xs0,,,,,,2824.0,1323,67deb8dc47348a9074e0f2f8,,1323,,calibration,,,,,,,,,,,,,,
introduction,45,271153,0.0-8.0-2.8,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,46,273163,0.0-8.0-0.9,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,1810.0,calibration,,,,,,,,,,,,,,
introduction,47,275423,0.0-8.0-1.9-0.9,oa4h2xs0,,,,,,2257.0,2312,67deb8dc47348a9074e0f2f8,,2312,,calibration,,,,,,,,,,,,,,
introduction,48,275424,0.0-8.0-2.9,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,49,277247,0.0-8.0-0.10,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,1165.0,calibration,,,,,,,,,,,,,,
introduction,50,278813,0.0-8.0-1.10-0.10,oa4h2xs0,,,,,,1564.0,333,67deb8dc47348a9074e0f2f8,,333,,calibration,,,,,,,,,,,,,,
introduction,51,278813,0.0-8.0-2.10,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,52,279985,0.0-8.0-0.11,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,1758.0,calibration,,,,,,,,,,,,,,
introduction,53,281628,0.0-8.0-1.11-0.11,oa4h2xs0,,,,,,1641.0,133,67deb8dc47348a9074e0f2f8,,133,,calibration,,,,,,,,,,,,,,
introduction,54,281629,0.0-8.0-2.11,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,55,283390,0.0-8.0-0.12,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,3416.0,calibration,,,,,,,,,,,,,,
introduction,56,285749,0.0-8.0-1.12-0.12,oa4h2xs0,,,,,,2357.0,3232,67deb8dc47348a9074e0f2f8,,3232,,calibration,,,,,,,,,,,,,,
introduction,57,285750,0.0-8.0-2.12,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,58,287759,0.0-8.0-0.13,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,2792.0,calibration,,,,,,,,,,,,,,
introduction,59,289532,0.0-8.0-1.13-0.13,oa4h2xs0,,,,,,1771.0,32,67deb8dc47348a9074e0f2f8,,32,,calibration,,,,,,,,,,,,,,
introduction,60,289533,0.0-8.0-2.13,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,61,291542,0.0-8.0-0.14,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,1055.0,calibration,,,,,,,,,,,,,,
introduction,62,293349,0.0-8.0-1.14-0.14,oa4h2xs0,,,,,,1805.0,1222,67deb8dc47348a9074e0f2f8,,1222,,calibration,,,,,,,,,,,,,,
introduction,63,293349,0.0-8.0-2.14,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,64,294407,0.0-8.0-0.15,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,1662.0,calibration,,,,,,,,,,,,,,
introduction,65,296565,0.0-8.0-1.15-0.15,oa4h2xs0,,,,,,2157.0,3312,67deb8dc47348a9074e0f2f8,,3312,,calibration,,,,,,,,,,,,,,
introduction,66,296566,0.0-8.0-2.15,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,67,298240,0.0-8.0-0.16,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,3452.0,calibration,,,,,,,,,,,,,,
introduction,68,301448,0.0-8.0-1.16-0.16,oa4h2xs0,,,,,,3205.0,3121,67deb8dc47348a9074e0f2f8,,3121,,calibration,,,,,,,,,,,,,,
introduction,69,301448,0.0-8.0-2.16,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,70,303456,0.0-8.0-0.17,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,1978.0,calibration,,,,,,,,,,,,,,
introduction,71,305659,0.0-8.0-1.17-0.17,oa4h2xs0,,,,,,2201.0,2133,67deb8dc47348a9074e0f2f8,,2133,,calibration,,,,,,,,,,,,,,
introduction,72,305660,0.0-8.0-2.17,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,73,307649,0.0-8.0-0.18,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,3003.0,calibration,,,,,,,,,,,,,,
introduction,74,309615,0.0-8.0-1.18-0.18,oa4h2xs0,,,,,,1963.0,1222,67deb8dc47348a9074e0f2f8,,1222,,calibration,,,,,,,,,,,,,,
introduction,75,309615,0.0-8.0-2.18,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,76,311627,0.0-8.0-0.19,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,2068.0,calibration,,,,,,,,,,,,,,
introduction,77,313399,0.0-8.0-1.19-0.19,oa4h2xs0,,,,,,1770.0,211,67deb8dc47348a9074e0f2f8,,211,,calibration,,,,,,,,,,,,,,
introduction,78,313400,0.0-8.0-2.19,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,79,315402,0.0-8.0-0.20,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,2474.0,calibration,,,,,,,,,,,,,,
introduction,80,317711,0.0-8.0-1.20-0.20,oa4h2xs0,,,,,,2307.0,3313,67deb8dc47348a9074e0f2f8,,3313,,calibration,,,,,,,,,,,,,,
introduction,81,317712,0.0-8.0-2.20,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,82,319731,0.0-8.0-0.21,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,2046.0,calibration,,,,,,,,,,,,,,
introduction,83,322106,0.0-8.0-1.21-0.21,oa4h2xs0,,,,,,2373.0,212,67deb8dc47348a9074e0f2f8,,212,,calibration,,,,,,,,,,,,,,
introduction,84,322107,0.0-8.0-2.21,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,85,324108,0.0-8.0-0.22,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,1609.0,calibration,,,,,,,,,,,,,,
introduction,86,327017,0.0-8.0-1.22-0.22,oa4h2xs0,,,,,,2907.0,1232,67deb8dc47348a9074e0f2f8,,1232,,calibration,,,,,,,,,,,,,,
introduction,87,327018,0.0-8.0-2.22,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,88,328642,0.0-8.0-0.23,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,1272.0,calibration,,,,,,,,,,,,,,
introduction,89,330751,0.0-8.0-1.23-0.23,oa4h2xs0,,,,,,2107.0,2223,67deb8dc47348a9074e0f2f8,,2223,,calibration,,,,,,,,,,,,,,
introduction,90,330752,0.0-8.0-2.23,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,91,332026,0.0-8.0-0.24,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,1391.0,calibration,,,,,,,,,,,,,,
introduction,92,334411,0.0-8.0-1.24-0.24,oa4h2xs0,,,,,,2382.0,1331,67deb8dc47348a9074e0f2f8,,1331,,calibration,,,,,,,,,,,,,,
introduction,93,334411,0.0-8.0-2.24,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,94,335806,0.0-8.0-0.25,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,2906.0,calibration,,,,,,,,,,,,,,
introduction,95,337734,0.0-8.0-1.25-0.25,oa4h2xs0,,,,,,1926.0,1132,67deb8dc47348a9074e0f2f8,,1132,,calibration,,,,,,,,,,,,,,
introduction,96,337734,0.0-8.0-2.25,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,97,339745,0.0-8.0-0.26,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,1082.0,calibration,,,,,,,,,,,,,,
introduction,98,341780,0.0-8.0-1.26-0.26,oa4h2xs0,,,,,,2034.0,1232,67deb8dc47348a9074e0f2f8,,1232,,calibration,,,,,,,,,,,,,,
introduction,99,341781,0.0-8.0-2.26,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,100,342872,0.0-8.0-0.27,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,1579.0,calibration,,,,,,,,,,,,,,
introduction,101,344892,0.0-8.0-1.27-0.27,oa4h2xs0,,,,,,2018.0,2221,67deb8dc47348a9074e0f2f8,,2221,,calibration,,,,,,,,,,,,,,
introduction,102,344893,0.0-8.0-2.27,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,103,346488,0.0-8.0-0.28,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,2072.0,calibration,,,,,,,,,,,,,,
introduction,104,348034,0.0-8.0-1.28-0.28,oa4h2xs0,,,,,,1545.0,21,67deb8dc47348a9074e0f2f8,,21,,calibration,,,,,,,,,,,,,,
introduction,105,348035,0.0-8.0-2.28,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,106,350049,0.0-8.0-0.29,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,2901.0,calibration,,,,,,,,,,,,,,
introduction,107,352124,0.0-8.0-1.29-0.29,oa4h2xs0,,,,,,2073.0,2233,67deb8dc47348a9074e0f2f8,,2233,,calibration,,,,,,,,,,,,,,
introduction,108,352124,0.0-8.0-2.29,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,109,354135,0.0-8.0-0.30,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,<p>CAREFUL. That was too slow.</p>,3318.0,calibration,,,,,,,,,,,,,,
introduction,110,356213,0.0-8.0-1.30-0.30,oa4h2xs0,,,,,,2075.0,3311,67deb8dc47348a9074e0f2f8,,3311,,calibration,,,,,,,,,,,,,,
introduction,111,356213,0.0-8.0-2.30,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
introduction,113,371783,0.0-10.0,oa4h2xs0,,,,,,14554.0,,67deb8dc47348a9074e0f2f8,"[{""page_index"":0,""viewing_time"":1716},{""page_index"":1,""viewing_time"":1661},{""page_index"":2,""viewing_time"":2116},{""page_index"":3,""viewing_time"":1838},{""page_index"":4,""viewing_time"":1163},{""page_index"":5,""viewing_time"":980},{""page_index"":6,""viewing_time"":928},{""page_index"":7,""viewing_time"":3229},{""page_index"":8,""viewing_time"":925}]",,,,,,,,,,,,,,,,,
Red,114,375110,0.0-11.0-0.0,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,2506.0,,,,,,,,,,,,,,,
Green,115,378263,0.0-11.0-1.0-0.0,oa4h2xs0,,,,,,3151.0,2331,67deb8dc47348a9074e0f2f8,,2331,,PR,performance,,,,,,,,,,,,,
introduction,116,378265,0.0-11.0-2.0,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
Feedback,117,378274,0.0-11.0-3.0,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,PR,performance,-3.0,,,,,,,,,,,,
introduction,118,378275,0.0-11.0-4.0,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
Red,119,380297,0.0-11.0-0.1,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,"<span style=""font-size: larger; color: black;"">Trial 0:  </span><br><span style=""font-size: larger; color: red;""> -3 points</span>",1492.0,,,,,,,,,,,,,,,
Green,120,382543,0.0-11.0-1.1-0.1,oa4h2xs0,,,,,,2243.0,3122,67deb8dc47348a9074e0f2f8,,3122,,PR,performance,,,,,,,,,,,,,
introduction,121,382549,0.0-11.0-2.1,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
Feedback,122,384563,0.0-11.0-3.1,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,"<span style=""font-size: larger; color: black;"">Trial 1:  </span><br><span style=""font-size: larger; color: green;""> 1 points</span>",,PR,performance,1.0,,,,,,,,,,,,
introduction,123,384563,0.0-11.0-4.1,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
Red,124,386058,0.0-11.0-0.2,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,2232.0,,,,,,,,,,,,,,,
Green,125,388333,0.0-11.0-1.2-0.2,oa4h2xs0,,,,,,2273.0,1123,67deb8dc47348a9074e0f2f8,,1123,,PR,performance,,,,,,,,,,,,,
Performance_tracking,126,390939,0.0-11.0-2.2,oa4h2xs0,,,,,,2604.0,4,67deb8dc47348a9074e0f2f8,,"<span style=""font-size: larger; color: black;""> How many points do you expect to receive in the last Trial (Trial 2), based on your speed? </span>",,,performance,,0.0,4.0,2347.860016682736,1451.0,461.4766017723469,,,,,,,
Feedback,127,392945,0.0-11.0-3.2,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,"<span style=""font-size: larger; color: black;"">Trial 2:  </span><br><span style=""font-size: larger; color: green;""> 1 points</span>",,PR,performance,1.0,,,,,,,,,,,,
introduction,128,392945,0.0-11.0-4.2,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
Red,129,395181,0.0-11.0-0.3,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,2506.0,,,,,,,,,,,,,,,
Green,130,397098,0.0-11.0-1.3-0.3,oa4h2xs0,,,,,,1915.0,3311,67deb8dc47348a9074e0f2f8,,3311,,PR,performance,,,,,,,,,,,,,
introduction,131,397100,0.0-11.0-2.3,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
Feedback,132,399114,0.0-11.0-3.3,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,"<span style=""font-size: larger; color: black;"">Trial 3:  </span><br><span style=""font-size: larger; color: green;""> 3 points</span>",,PR,performance,3.0,,,,,,,,,,,,
introduction,133,399115,0.0-11.0-4.3,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
Red,134,401623,0.0-11.0-0.4,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,2205.0,,,,,,,,,,,,,,,
Green,135,404433,0.0-11.0-1.4-0.4,oa4h2xs0,,,,,,2808.0,3123,67deb8dc47348a9074e0f2f8,,3123,,PR,performance,,,,,,,,,,,,,
Performance_tracking,136,408550,0.0-11.0-2.4,oa4h2xs0,,,,,,4115.0,4,67deb8dc47348a9074e0f2f8,,"<span style=""font-size: larger; color: black;""> How many points do you expect to receive in the last Trial (Trial 4), based on your speed? </span>",,,performance,,0.0,4.0,2347.860016682736,1451.0,461.4766017723469,,,,,,,
Feedback,137,410569,0.0-11.0-3.4,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,"<span style=""font-size: larger; color: black;"">Trial 4:  </span><br><span style=""font-size: larger; color: red;""> -2 points</span>",,PR,performance,-2.0,,,,,,,,,,,,
introduction,138,410570,0.0-11.0-4.4,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
Red,139,412780,0.0-11.0-0.5,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,1444.0,,,,,,,,,,,,,,,
Green,140,416133,0.0-11.0-1.5-0.5,oa4h2xs0,,,,,,3352.0,321,67deb8dc47348a9074e0f2f8,,321,,PR,performance,,,,,,,,,,,,,
introduction,141,416135,0.0-11.0-2.5,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
Feedback,142,418146,0.0-11.0-3.5,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,"<span style=""font-size: larger; color: black;"">Trial 5:  </span><br><span style=""font-size: larger; color: red;""> -4 points</span>",,PR,performance,-4.0,,,,,,,,,,,,
introduction,143,418147,0.0-11.0-4.5,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
Red,144,419597,0.0-11.0-0.6,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,1122.0,,,,,,,,,,,,,,,
Green,145,422467,0.0-11.0-1.6-0.6,oa4h2xs0,,,,,,2869.0,3313,67deb8dc47348a9074e0f2f8,,3313,,PR,performance,,,,,,,,,,,,,
introduction,146,422469,0.0-11.0-2.6,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
Feedback,147,424482,0.0-11.0-3.6,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,"<span style=""font-size: larger; color: black;"">Trial 6:  </span><br><span style=""font-size: larger; color: red;""> -2 points</span>",,PR,performance,-2.0,,,,,,,,,,,,
introduction,148,424482,0.0-11.0-4.6,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,,,,,,,,,,,,,,,,,
Red,149,425615,0.0-11.0-0.7,oa4h2xs0,,,,,,,,67deb8dc47348a9074e0f2f8,,img/Red_circle.png,2101.0,,,,,,,,,,,,,,,
Green,150,428130,0.0-11.0-1.7-0.7,oa4h2xs0,,,,,,2513.0,1331,67deb8dc47348a9074e0f2f8,,1331,,PR,performance,,,,,,,,,,,,,
