trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,19987,0.0-2.0,oeqobojj,,,,,,9181.0,67df1a194678068a1749267e,67df1a194678068a1749267e,,,,,,,,,,,,,,,,,,
introduction,3,20099,0.0-3.0,oeqobojj,,,,,,110.0,,67df1a194678068a1749267e,,,,,,,,,,,,,,,,,,
introduction,4,31408,0.0-4.0-0.0,oeqobojj,,,,,,11308.0,,67df1a194678068a1749267e,"[{""page_index"":0,""viewing_time"":1859},{""page_index"":1,""viewing_time"":8047},{""page_index"":2,""viewing_time"":1402}]",,,,,,,,,,,,,,,,,
introduction,5,33014,0.0-5.0-0.0,oeqobojj,,,,,,1605.0,1,67df1a194678068a1749267e,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,33603,0.0-5.0-0.1,oeqobojj,,,,,,586.0,2,67df1a194678068a1749267e,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,34631,0.0-5.0-0.2,oeqobojj,,,,,,1028.0,1,67df1a194678068a1749267e,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,35600,0.0-5.0-0.3,oeqobojj,,,,,,968.0,3,67df1a194678068a1749267e,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,36524,0.0-5.0-0.4,oeqobojj,,,,,,923.0,2,67df1a194678068a1749267e,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,37281,0.0-5.0-0.5,oeqobojj,,,,,,756.0,3,67df1a194678068a1749267e,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,37947,0.0-5.0-0.6,oeqobojj,,,,,,665.0,1,67df1a194678068a1749267e,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,38564,0.0-5.0-0.7,oeqobojj,,,,,,615.0,2,67df1a194678068a1749267e,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,39020,0.0-5.0-0.8,oeqobojj,,,,,,453.0,3,67df1a194678068a1749267e,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,39864,0.0-5.0-0.9,oeqobojj,,,,,,843.0,2,67df1a194678068a1749267e,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,40692,0.0-5.0-0.10,oeqobojj,,,,,,828.0,1,67df1a194678068a1749267e,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,41413,0.0-5.0-0.11,oeqobojj,,,,,,720.0,3,67df1a194678068a1749267e,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,68084,0.0-6.0-0.0,oeqobojj,,,,,,26669.0,,67df1a194678068a1749267e,"[{""page_index"":0,""viewing_time"":3806},{""page_index"":1,""viewing_time"":5916},{""page_index"":2,""viewing_time"":15423},{""page_index"":3,""viewing_time"":1524}]",,,,,,,,,,,,,,,,,
introduction,18,146099,0.0-7.0,oeqobojj,,,,,,78013.0,0,67df1a194678068a1749267e,,"[""img/Instructions.mp4""]",,,,,,,,,,,,,,,,
introduction,19,148161,0.0-8.0-0.0,oeqobojj,,,,,,,,67df1a194678068a1749267e,,img/Red_circle.png,1147.0,calibration,,,,,,,,,,,,,,
introduction,20,152672,0.0-8.0-1.0-0.0,oeqobojj,,,,,,4509.0,1321,67df1a194678068a1749267e,,1321,,calibration,,,,,,,,,,,,,,
introduction,21,154689,0.0-8.0-2.0,oeqobojj,,,,,,,,67df1a194678068a1749267e,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
