trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,62418,0.0-2.0,9f3ap6k8,,,,,,36199.0,67dfc7953881052b94892d8b,67dfc7953881052b94892d8b,,,,,,,,,,,,,,,,,,
introduction,3,69025,0.0-3.0,9f3ap6k8,,,,,,6605.0,67dfc7953881052b94892d8b,67dfc7953881052b94892d8b,,,,,,,,,,,,,,,,,,
introduction,4,72784,0.0-4.0-0.0,9f3ap6k8,,,,,,3758.0,,67dfc7953881052b94892d8b,"[{""page_index"":0,""viewing_time"":1287},{""page_index"":1,""viewing_time"":1439},{""page_index"":2,""viewing_time"":1032}]",,,,,,,,,,,,,,,,,
introduction,5,75142,0.0-5.0-0.0,9f3ap6k8,,,,,,2357.0,1,67dfc7953881052b94892d8b,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,76617,0.0-5.0-0.1,9f3ap6k8,,,,,,1473.0,2,67dfc7953881052b94892d8b,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,77490,0.0-5.0-0.2,9f3ap6k8,,,,,,871.0,1,67dfc7953881052b94892d8b,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,78589,0.0-5.0-0.3,9f3ap6k8,,,,,,1097.0,3,67dfc7953881052b94892d8b,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,79499,0.0-5.0-0.4,9f3ap6k8,,,,,,909.0,2,67dfc7953881052b94892d8b,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,80335,0.0-5.0-0.5,9f3ap6k8,,,,,,834.0,3,67dfc7953881052b94892d8b,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,81157,0.0-5.0-0.6,9f3ap6k8,,,,,,820.0,1,67dfc7953881052b94892d8b,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,81963,0.0-5.0-0.7,9f3ap6k8,,,,,,804.0,2,67dfc7953881052b94892d8b,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,82798,0.0-5.0-0.8,9f3ap6k8,,,,,,833.0,3,67dfc7953881052b94892d8b,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,83589,0.0-5.0-0.9,9f3ap6k8,,,,,,789.0,2,67dfc7953881052b94892d8b,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,84408,0.0-5.0-0.10,9f3ap6k8,,,,,,817.0,1,67dfc7953881052b94892d8b,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,85188,0.0-5.0-0.11,9f3ap6k8,,,,,,779.0,3,67dfc7953881052b94892d8b,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,136060,0.0-6.0-0.0,9f3ap6k8,,,,,,50870.0,,67dfc7953881052b94892d8b,"[{""page_index"":0,""viewing_time"":965},{""page_index"":1,""viewing_time"":30586},{""page_index"":2,""viewing_time"":17880},{""page_index"":3,""viewing_time"":1439}]",,,,,,,,,,,,,,,,,
introduction,19,187989,0.0-8.0-0.0,9f3ap6k8,,,,,,,,67dfc7953881052b94892d8b,,img/Red_circle.png,2540.0,calibration,,,,,,,,,,,,,,
introduction,20,192909,0.0-8.0-1.0-0.0,9f3ap6k8,,,,,,4908.0,3112,67dfc7953881052b94892d8b,,3112,,calibration,,,,,,,,,,,,,,
introduction,21,194923,0.0-8.0-2.0,9f3ap6k8,,,,,,,,67dfc7953881052b94892d8b,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
