trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,43962,0.0-2.0,ey1fryj9,,,,,,22024.0,67e0977dda2e47eafce0f06a,67e0977dda2e47eafce0f06a,,,,,,,,,,,,,,,,,,
introduction,3,47488,0.0-3.0,ey1fryj9,,,,,,3520.0,67e0977dda2e47eafce0f06a,67e0977dda2e47eafce0f06a,,,,,,,,,,,,,,,,,,
introduction,4,133493,0.0-4.0-0.0,ey1fryj9,,,,,,86002.0,,67e0977dda2e47eafce0f06a,"[{""page_index"":0,""viewing_time"":3292},{""page_index"":1,""viewing_time"":81559},{""page_index"":2,""viewing_time"":1150}]",,,,,,,,,,,,,,,,,
introduction,5,135325,0.0-5.0-0.0,ey1fryj9,,,,,,1829.0,1,67e0977dda2e47eafce0f06a,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,136116,0.0-5.0-0.1,ey1fryj9,,,,,,788.0,2,67e0977dda2e47eafce0f06a,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,137016,0.0-5.0-0.2,ey1fryj9,,,,,,899.0,1,67e0977dda2e47eafce0f06a,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,137731,0.0-5.0-0.3,ey1fryj9,,,,,,713.0,3,67e0977dda2e47eafce0f06a,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,138634,0.0-5.0-0.4,ey1fryj9,,,,,,902.0,2,67e0977dda2e47eafce0f06a,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,139319,0.0-5.0-0.5,ey1fryj9,,,,,,684.0,3,67e0977dda2e47eafce0f06a,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,140052,0.0-5.0-0.6,ey1fryj9,,,,,,733.0,1,67e0977dda2e47eafce0f06a,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,141421,0.0-5.0-0.7,ey1fryj9,,,,,,1368.0,2,67e0977dda2e47eafce0f06a,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,141937,0.0-5.0-0.8,ey1fryj9,,,,,,515.0,3,67e0977dda2e47eafce0f06a,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,142698,0.0-5.0-0.9,ey1fryj9,,,,,,760.0,2,67e0977dda2e47eafce0f06a,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,143320,0.0-5.0-0.10,ey1fryj9,,,,,,621.0,1,67e0977dda2e47eafce0f06a,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,144034,0.0-5.0-0.11,ey1fryj9,,,,,,713.0,3,67e0977dda2e47eafce0f06a,,Press: 3,,,,,,,,,,,,,,,,
