trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,57462,0.0-2.0,930o9myy,,,,,,11424.0,67e0b1008a5ea7d9897f40ee,67e0b1008a5ea7d9897f40ee,,,,,,,,,,,,,,,,,,
introduction,3,61854,0.0-3.0,930o9myy,,,,,,4390.0,67e0b1008a5ea7d9897f40ee,67e0b1008a5ea7d9897f40ee,,,,,,,,,,,,,,,,,,
introduction,4,63942,0.0-4.0-0.0,930o9myy,,,,,,2088.0,,67e0b1008a5ea7d9897f40ee,"[{""page_index"":0,""viewing_time"":953},{""page_index"":1,""viewing_time"":535},{""page_index"":2,""viewing_time"":600}]",,,,,,,,,,,,,,,,,
introduction,5,71406,0.0-5.0-0.0,930o9myy,,,,,,7462.0,1,67e0b1008a5ea7d9897f40ee,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,72382,0.0-5.0-0.1,930o9myy,,,,,,976.0,2,67e0b1008a5ea7d9897f40ee,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,73310,0.0-5.0-0.2,930o9myy,,,,,,926.0,1,67e0b1008a5ea7d9897f40ee,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,73926,0.0-5.0-0.3,930o9myy,,,,,,615.0,3,67e0b1008a5ea7d9897f40ee,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,74814,0.0-5.0-0.4,930o9myy,,,,,,888.0,2,67e0b1008a5ea7d9897f40ee,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,75855,0.0-5.0-0.5,930o9myy,,,,,,1040.0,3,67e0b1008a5ea7d9897f40ee,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,77998,0.0-5.0-0.6,930o9myy,,,,,,2143.0,1,67e0b1008a5ea7d9897f40ee,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,78022,0.0-5.0-0.7,930o9myy,,,,,,23.0,2,67e0b1008a5ea7d9897f40ee,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,79965,0.0-5.0-0.8,930o9myy,,,,,,1942.0,3,67e0b1008a5ea7d9897f40ee,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,80701,0.0-5.0-0.9,930o9myy,,,,,,736.0,2,67e0b1008a5ea7d9897f40ee,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,81261,0.0-5.0-0.10,930o9myy,,,,,,560.0,1,67e0b1008a5ea7d9897f40ee,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,81982,0.0-5.0-0.11,930o9myy,,,,,,721.0,3,67e0b1008a5ea7d9897f40ee,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,85519,0.0-6.0-0.0,930o9myy,,,,,,3536.0,,67e0b1008a5ea7d9897f40ee,"[{""page_index"":0,""viewing_time"":1302},{""page_index"":1,""viewing_time"":472},{""page_index"":2,""viewing_time"":976},{""page_index"":3,""viewing_time"":786}]",,,,,,,,,,,,,,,,,
introduction,19,88946,0.0-8.0-0.0,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,img/Red_circle.png,2300.0,calibration,,,,,,,,,,,,,,
introduction,20,94862,0.0-8.0-1.0-0.0,930o9myy,,,,,,5907.0,331,67e0b1008a5ea7d9897f40ee,,331,,calibration,,,,,,,,,,,,,,
introduction,21,96872,0.0-8.0-2.0,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,99186,0.0-8.0-0.1,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,img/Red_circle.png,1105.0,calibration,,,,,,,,,,,,,,
introduction,23,102448,0.0-8.0-1.1-0.1,930o9myy,,,,,,3257.0,2133,67e0b1008a5ea7d9897f40ee,,2133,,calibration,,,,,,,,,,,,,,
introduction,24,102449,0.0-8.0-2.1,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,,,,,,,,,,,,,,,,,
introduction,25,103556,0.0-8.0-0.2,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,img/Red_circle.png,2985.0,calibration,,,,,,,,,,,,,,
introduction,26,106958,0.0-8.0-1.2-0.2,930o9myy,,,,,,3396.0,233,67e0b1008a5ea7d9897f40ee,,233,,calibration,,,,,,,,,,,,,,
introduction,27,106958,0.0-8.0-2.2,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,,,,,,,,,,,,,,,,,
introduction,28,108960,0.0-8.0-0.3,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,<p>CAREFUL. That was too slow.</p>,1999.0,calibration,,,,,,,,,,,,,,
introduction,29,112878,0.0-8.0-1.3-0.3,930o9myy,,,,,,3917.0,1322,67e0b1008a5ea7d9897f40ee,,1322,,calibration,,,,,,,,,,,,,,
introduction,30,114880,0.0-8.0-2.3,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,31,116882,0.0-8.0-0.4,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,img/Red_circle.png,1720.0,calibration,,,,,,,,,,,,,,
introduction,32,120561,0.0-8.0-1.4-0.4,930o9myy,,,,,,3676.0,2333,67e0b1008a5ea7d9897f40ee,,2333,,calibration,,,,,,,,,,,,,,
introduction,33,122563,0.0-8.0-2.4,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,34,124286,0.0-8.0-0.5,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,img/Red_circle.png,1626.0,calibration,,,,,,,,,,,,,,
introduction,35,128200,0.0-8.0-1.5-0.5,930o9myy,,,,,,3912.0,2332,67e0b1008a5ea7d9897f40ee,,2332,,calibration,,,,,,,,,,,,,,
introduction,36,130201,0.0-8.0-2.5,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,37,131830,0.0-8.0-0.6,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,img/Red_circle.png,1290.0,calibration,,,,,,,,,,,,,,
introduction,38,138246,0.0-8.0-1.6-0.6,930o9myy,,,,,,6413.0,3221,67e0b1008a5ea7d9897f40ee,,3221,,calibration,,,,,,,,,,,,,,
introduction,39,140248,0.0-8.0-2.6,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,40,141540,0.0-8.0-0.7,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,img/Red_circle.png,1902.0,calibration,,,,,,,,,,,,,,
introduction,41,147248,0.0-8.0-1.7-0.7,930o9myy,,,,,,5705.0,123,67e0b1008a5ea7d9897f40ee,,123,,calibration,,,,,,,,,,,,,,
introduction,42,149252,0.0-8.0-2.7,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,43,151155,0.0-8.0-0.8,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,img/Red_circle.png,2879.0,calibration,,,,,,,,,,,,,,
introduction,44,154152,0.0-8.0-1.8-0.8,930o9myy,,,,,,2991.0,2111,67e0b1008a5ea7d9897f40ee,,2111,,calibration,,,,,,,,,,,,,,
introduction,45,154154,0.0-8.0-2.8,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,,,,,,,,,,,,,,,,,
introduction,46,156154,0.0-8.0-0.9,930o9myy,,,,,,,,67e0b1008a5ea7d9897f40ee,,<p>CAREFUL. That was too slow.</p>,2962.0,calibration,,,,,,,,,,,,,,
introduction,47,158831,0.0-8.0-1.9-0.9,930o9myy,,,,,,2673.0,3333,67e0b1008a5ea7d9897f40ee,,3333,,calibration,,,,,,,,,,,,,,
