trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,40330,0.0-2.0,ux9ojcfh,,,,,,30694.0,67e23f61d6642c6710f62686,67e23f61d6642c6710f62686,,,,,,,,,,,,,,,,,,
introduction,3,44361,0.0-3.0,ux9ojcfh,,,,,,4025.0,67e23f61d6642c6710f62686,67e23f61d6642c6710f62686,,,,,,,,,,,,,,,,,,
introduction,4,69392,0.0-4.0-0.0,ux9ojcfh,,,,,,25029.0,,67e23f61d6642c6710f62686,"[{""page_index"":0,""viewing_time"":1797},{""page_index"":1,""viewing_time"":16647},{""page_index"":2,""viewing_time"":6584}]",,,,,,,,,,,,,,,,,
introduction,5,69990,0.0-5.0-0.0,ux9ojcfh,,,,,,596.0,1,67e23f61d6642c6710f62686,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,70571,0.0-5.0-0.1,ux9ojcfh,,,,,,580.0,2,67e23f61d6642c6710f62686,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,71613,0.0-5.0-0.2,ux9ojcfh,,,,,,1040.0,1,67e23f61d6642c6710f62686,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,72663,0.0-5.0-0.3,ux9ojcfh,,,,,,1050.0,3,67e23f61d6642c6710f62686,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,73778,0.0-5.0-0.4,ux9ojcfh,,,,,,1114.0,2,67e23f61d6642c6710f62686,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,74501,0.0-5.0-0.5,ux9ojcfh,,,,,,722.0,3,67e23f61d6642c6710f62686,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,75407,0.0-5.0-0.6,ux9ojcfh,,,,,,905.0,1,67e23f61d6642c6710f62686,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,76050,0.0-5.0-0.7,ux9ojcfh,,,,,,642.0,2,67e23f61d6642c6710f62686,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,76437,0.0-5.0-0.8,ux9ojcfh,,,,,,386.0,3,67e23f61d6642c6710f62686,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,77478,0.0-5.0-0.9,ux9ojcfh,,,,,,1041.0,2,67e23f61d6642c6710f62686,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,78058,0.0-5.0-0.10,ux9ojcfh,,,,,,580.0,1,67e23f61d6642c6710f62686,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,78374,0.0-5.0-0.11,ux9ojcfh,,,,,,315.0,3,67e23f61d6642c6710f62686,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,118096,0.0-6.0-0.0,ux9ojcfh,,,,,,39721.0,,67e23f61d6642c6710f62686,"[{""page_index"":0,""viewing_time"":2969},{""page_index"":1,""viewing_time"":10688},{""page_index"":2,""viewing_time"":22448},{""page_index"":3,""viewing_time"":3616}]",,,,,,,,,,,,,,,,,
introduction,19,141823,0.0-8.0-0.0,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,img/Red_circle.png,2040.0,calibration,,,,,,,,,,,,,,
introduction,20,144103,0.0-8.0-1.0-0.0,ux9ojcfh,,,,,,2275.0,23,67e23f61d6642c6710f62686,,23,,calibration,,,,,,,,,,,,,,
introduction,21,144106,0.0-8.0-2.0,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,,,,,,,,,,,,,,,,,
introduction,22,146111,0.0-8.0-0.1,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,<p>CAREFUL. That was too slow.</p>,1359.0,calibration,,,,,,,,,,,,,,
introduction,23,149103,0.0-8.0-1.1-0.1,ux9ojcfh,,,,,,2988.0,3222,67e23f61d6642c6710f62686,,3222,,calibration,,,,,,,,,,,,,,
introduction,24,149104,0.0-8.0-2.1,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,,,,,,,,,,,,,,,,,
introduction,25,150465,0.0-8.0-0.2,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,img/Red_circle.png,3353.0,calibration,,,,,,,,,,,,,,
introduction,26,153729,0.0-8.0-1.2-0.2,ux9ojcfh,,,,,,3259.0,2132,67e23f61d6642c6710f62686,,2132,,calibration,,,,,,,,,,,,,,
introduction,27,153730,0.0-8.0-2.2,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,,,,,,,,,,,,,,,,,
introduction,28,155735,0.0-8.0-0.3,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,<p>CAREFUL. That was too slow.</p>,1491.0,calibration,,,,,,,,,,,,,,
introduction,29,157965,0.0-8.0-1.3-0.3,ux9ojcfh,,,,,,2225.0,312,67e23f61d6642c6710f62686,,312,,calibration,,,,,,,,,,,,,,
introduction,30,157966,0.0-8.0-2.3,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,,,,,,,,,,,,,,,,,
introduction,31,159465,0.0-8.0-0.4,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,img/Red_circle.png,3147.0,calibration,,,,,,,,,,,,,,
introduction,32,161621,0.0-8.0-1.4-0.4,ux9ojcfh,,,,,,2151.0,2223,67e23f61d6642c6710f62686,,2223,,calibration,,,,,,,,,,,,,,
introduction,33,161622,0.0-8.0-2.4,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,,,,,,,,,,,,,,,,,
introduction,34,163629,0.0-8.0-0.5,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,<p>CAREFUL. That was too slow.</p>,1687.0,calibration,,,,,,,,,,,,,,
introduction,35,166093,0.0-8.0-1.5-0.5,ux9ojcfh,,,,,,2460.0,2332,67e23f61d6642c6710f62686,,2332,,calibration,,,,,,,,,,,,,,
introduction,36,166094,0.0-8.0-2.5,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,,,,,,,,,,,,,,,,,
introduction,37,167794,0.0-8.0-0.6,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,img/Red_circle.png,1732.0,calibration,,,,,,,,,,,,,,
introduction,38,169877,0.0-8.0-1.6-0.6,ux9ojcfh,,,,,,2079.0,1132,67e23f61d6642c6710f62686,,1132,,calibration,,,,,,,,,,,,,,
introduction,39,169878,0.0-8.0-2.6,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,,,,,,,,,,,,,,,,,
introduction,40,171621,0.0-8.0-0.7,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,img/Red_circle.png,1253.0,calibration,,,,,,,,,,,,,,
introduction,41,173956,0.0-8.0-1.7-0.7,ux9ojcfh,,,,,,2330.0,2311,67e23f61d6642c6710f62686,,2311,,calibration,,,,,,,,,,,,,,
introduction,42,173957,0.0-8.0-2.7,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,,,,,,,,,,,,,,,,,
introduction,43,175218,0.0-8.0-0.8,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,img/Red_circle.png,1013.0,calibration,,,,,,,,,,,,,,
introduction,44,177023,0.0-8.0-1.8-0.8,ux9ojcfh,,,,,,1801.0,32,67e23f61d6642c6710f62686,,32,,calibration,,,,,,,,,,,,,,
introduction,45,177024,0.0-8.0-2.8,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,,,,,,,,,,,,,,,,,
introduction,46,178046,0.0-8.0-0.9,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,img/Red_circle.png,2710.0,calibration,,,,,,,,,,,,,,
introduction,47,180450,0.0-8.0-1.9-0.9,ux9ojcfh,,,,,,2400.0,3311,67e23f61d6642c6710f62686,,3311,,calibration,,,,,,,,,,,,,,
introduction,48,180452,0.0-8.0-2.9,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,,,,,,,,,,,,,,,,,
introduction,49,182461,0.0-8.0-0.10,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,<p>CAREFUL. That was too slow.</p>,3019.0,calibration,,,,,,,,,,,,,,
introduction,50,184232,0.0-8.0-1.10-0.10,ux9ojcfh,,,,,,1767.0,333,67e23f61d6642c6710f62686,,333,,calibration,,,,,,,,,,,,,,
introduction,51,184234,0.0-8.0-2.10,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,,,,,,,,,,,,,,,,,
introduction,52,186241,0.0-8.0-0.11,ux9ojcfh,,,,,,,,67e23f61d6642c6710f62686,,<p>CAREFUL. That was too slow.</p>,2766.0,calibration,,,,,,,,,,,,,,
