trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,27484,0.0-2.0,tvus7vtg,,,,,,16939.0,67e30b11068eb41ced29cf7e,67e30b11068eb41ced29cf7e,,,,,,,,,,,,,,,,,,
introduction,3,33941,0.0-3.0,tvus7vtg,,,,,,6455.0,67e30b11068eb41ced29cf7e,67e30b11068eb41ced29cf7e,,,,,,,,,,,,,,,,,,
introduction,4,63251,0.0-4.0-0.0,tvus7vtg,,,,,,29309.0,,67e30b11068eb41ced29cf7e,"[{""page_index"":0,""viewing_time"":4070},{""page_index"":1,""viewing_time"":23344},{""page_index"":2,""viewing_time"":1895}]",,,,,,,,,,,,,,,,,
introduction,5,64175,0.0-5.0-0.0,tvus7vtg,,,,,,923.0,1,67e30b11068eb41ced29cf7e,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,65044,0.0-5.0-0.1,tvus7vtg,,,,,,869.0,2,67e30b11068eb41ced29cf7e,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,67123,0.0-5.0-0.2,tvus7vtg,,,,,,2078.0,1,67e30b11068eb41ced29cf7e,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,68359,0.0-5.0-0.3,tvus7vtg,,,,,,1236.0,3,67e30b11068eb41ced29cf7e,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,69456,0.0-5.0-0.4,tvus7vtg,,,,,,1096.0,2,67e30b11068eb41ced29cf7e,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,70692,0.0-5.0-0.5,tvus7vtg,,,,,,1235.0,3,67e30b11068eb41ced29cf7e,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,71432,0.0-5.0-0.6,tvus7vtg,,,,,,740.0,1,67e30b11068eb41ced29cf7e,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,74416,0.0-5.0-0.7,tvus7vtg,,,,,,2984.0,2,67e30b11068eb41ced29cf7e,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,75069,0.0-5.0-0.8,tvus7vtg,,,,,,652.0,3,67e30b11068eb41ced29cf7e,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,76003,0.0-5.0-0.9,tvus7vtg,,,,,,934.0,2,67e30b11068eb41ced29cf7e,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,76702,0.0-5.0-0.10,tvus7vtg,,,,,,698.0,1,67e30b11068eb41ced29cf7e,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,77449,0.0-5.0-0.11,tvus7vtg,,,,,,746.0,3,67e30b11068eb41ced29cf7e,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,120963,0.0-6.0-0.0,tvus7vtg,,,,,,43514.0,,67e30b11068eb41ced29cf7e,"[{""page_index"":0,""viewing_time"":2138},{""page_index"":1,""viewing_time"":2960},{""page_index"":2,""viewing_time"":35473},{""page_index"":3,""viewing_time"":2943}]",,,,,,,,,,,,,,,,,
introduction,19,145616,0.0-8.0-0.0,tvus7vtg,,,,,,,,67e30b11068eb41ced29cf7e,,img/Red_circle.png,2254.0,calibration,,,,,,,,,,,,,,
introduction,20,147740,0.0-8.0-1.0-0.0,tvus7vtg,,,,,,2120.0,31,67e30b11068eb41ced29cf7e,,31,,calibration,,,,,,,,,,,,,,
introduction,21,147741,0.0-8.0-2.0,tvus7vtg,,,,,,,,67e30b11068eb41ced29cf7e,,,,,,,,,,,,,,,,,,
introduction,22,149750,0.0-8.0-0.1,tvus7vtg,,,,,,,,67e30b11068eb41ced29cf7e,,<p>CAREFUL. That was too slow.</p>,1370.0,calibration,,,,,,,,,,,,,,
introduction,23,152604,0.0-8.0-1.1-0.1,tvus7vtg,,,,,,2853.0,3332,67e30b11068eb41ced29cf7e,,3332,,calibration,,,,,,,,,,,,,,
introduction,24,152604,0.0-8.0-2.1,tvus7vtg,,,,,,,,67e30b11068eb41ced29cf7e,,,,,,,,,,,,,,,,,,
introduction,25,153990,0.0-8.0-0.2,tvus7vtg,,,,,,,,67e30b11068eb41ced29cf7e,,img/Red_circle.png,3397.0,calibration,,,,,,,,,,,,,,
introduction,26,156338,0.0-8.0-1.2-0.2,tvus7vtg,,,,,,2346.0,123,67e30b11068eb41ced29cf7e,,123,,calibration,,,,,,,,,,,,,,
introduction,27,156339,0.0-8.0-2.2,tvus7vtg,,,,,,,,67e30b11068eb41ced29cf7e,,,,,,,,,,,,,,,,,,
introduction,28,158339,0.0-8.0-0.3,tvus7vtg,,,,,,,,67e30b11068eb41ced29cf7e,,<p>CAREFUL. That was too slow.</p>,2187.0,calibration,,,,,,,,,,,,,,
introduction,29,161976,0.0-8.0-1.3-0.3,tvus7vtg,,,,,,3634.0,3131,67e30b11068eb41ced29cf7e,,3131,,calibration,,,,,,,,,,,,,,
introduction,30,163988,0.0-8.0-2.3,tvus7vtg,,,,,,,,67e30b11068eb41ced29cf7e,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,31,166178,0.0-8.0-0.4,tvus7vtg,,,,,,,,67e30b11068eb41ced29cf7e,,img/Red_circle.png,2808.0,calibration,,,,,,,,,,,,,,
introduction,32,168343,0.0-8.0-1.4-0.4,tvus7vtg,,,,,,2162.0,131,67e30b11068eb41ced29cf7e,,131,,calibration,,,,,,,,,,,,,,
