trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,19631,0.0-2.0,vno041dc,,,,,,9550.0,67e31ded6444217c29279afa,67e31ded6444217c29279afa,,,,,,,,,,,,,,,,,,
introduction,3,28887,0.0-3.0,vno041dc,,,,,,9255.0,67e31ded6444217c29279afa,67e31ded6444217c29279afa,,,,,,,,,,,,,,,,,,
introduction,4,185079,0.0-4.0-0.0,vno041dc,,,,,,156191.0,,67e31ded6444217c29279afa,"[{""page_index"":0,""viewing_time"":2207},{""page_index"":1,""viewing_time"":152663},{""page_index"":2,""viewing_time"":1321}]",,,,,,,,,,,,,,,,,
introduction,5,186534,0.0-5.0-0.0,vno041dc,,,,,,1454.0,1,67e31ded6444217c29279afa,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,187606,0.0-5.0-0.1,vno041dc,,,,,,1071.0,2,67e31ded6444217c29279afa,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,189030,0.0-5.0-0.2,vno041dc,,,,,,1424.0,1,67e31ded6444217c29279afa,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,190760,0.0-5.0-0.3,vno041dc,,,,,,1729.0,3,67e31ded6444217c29279afa,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,192279,0.0-5.0-0.4,vno041dc,,,,,,1518.0,2,67e31ded6444217c29279afa,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,193383,0.0-5.0-0.5,vno041dc,,,,,,1104.0,3,67e31ded6444217c29279afa,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,193985,0.0-5.0-0.6,vno041dc,,,,,,601.0,1,67e31ded6444217c29279afa,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,194831,0.0-5.0-0.7,vno041dc,,,,,,845.0,2,67e31ded6444217c29279afa,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,195334,0.0-5.0-0.8,vno041dc,,,,,,503.0,3,67e31ded6444217c29279afa,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,196320,0.0-5.0-0.9,vno041dc,,,,,,985.0,2,67e31ded6444217c29279afa,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,197407,0.0-5.0-0.10,vno041dc,,,,,,1086.0,1,67e31ded6444217c29279afa,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,198375,0.0-5.0-0.11,vno041dc,,,,,,968.0,3,67e31ded6444217c29279afa,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,277774,0.0-6.0-0.0,vno041dc,,,,,,79399.0,,67e31ded6444217c29279afa,"[{""page_index"":0,""viewing_time"":2831},{""page_index"":1,""viewing_time"":1936},{""page_index"":2,""viewing_time"":73689},{""page_index"":3,""viewing_time"":943}]",,,,,,,,,,,,,,,,,
introduction,19,299573,0.0-8.0-0.0,vno041dc,,,,,,,,67e31ded6444217c29279afa,,img/Red_circle.png,3226.0,calibration,,,,,,,,,,,,,,
introduction,20,307552,0.0-8.0-1.0-0.0,vno041dc,,,,,,7974.0,3121,67e31ded6444217c29279afa,,3121,,calibration,,,,,,,,,,,,,,
introduction,21,309557,0.0-8.0-2.0,vno041dc,,,,,,,,67e31ded6444217c29279afa,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,312788,0.0-8.0-0.1,vno041dc,,,,,,,,67e31ded6444217c29279afa,,img/Red_circle.png,2971.0,calibration,,,,,,,,,,,,,,
introduction,23,315623,0.0-8.0-1.1-0.1,vno041dc,,,,,,2834.0,3211,67e31ded6444217c29279afa,,3211,,calibration,,,,,,,,,,,,,,
introduction,24,315624,0.0-8.0-2.1,vno041dc,,,,,,,,67e31ded6444217c29279afa,,,,,,,,,,,,,,,,,,
introduction,25,317634,0.0-8.0-0.2,vno041dc,,,,,,,,67e31ded6444217c29279afa,,<p>CAREFUL. That was too slow.</p>,1672.0,calibration,,,,,,,,,,,,,,
introduction,26,319927,0.0-8.0-1.2-0.2,vno041dc,,,,,,2291.0,12,67e31ded6444217c29279afa,,12,,calibration,,,,,,,,,,,,,,
introduction,27,319927,0.0-8.0-2.2,vno041dc,,,,,,,,67e31ded6444217c29279afa,,,,,,,,,,,,,,,,,,
introduction,28,321607,0.0-8.0-0.3,vno041dc,,,,,,,,67e31ded6444217c29279afa,,img/Red_circle.png,2512.0,calibration,,,,,,,,,,,,,,
introduction,29,324968,0.0-8.0-1.3-0.3,vno041dc,,,,,,3358.0,2233,67e31ded6444217c29279afa,,2233,,calibration,,,,,,,,,,,,,,
introduction,30,324969,0.0-8.0-2.3,vno041dc,,,,,,,,67e31ded6444217c29279afa,,,,,,,,,,,,,,,,,,
introduction,31,326972,0.0-8.0-0.4,vno041dc,,,,,,,,67e31ded6444217c29279afa,,<p>CAREFUL. That was too slow.</p>,3035.0,calibration,,,,,,,,,,,,,,
introduction,32,330119,0.0-8.0-1.4-0.4,vno041dc,,,,,,3145.0,113,67e31ded6444217c29279afa,,113,,calibration,,,,,,,,,,,,,,
introduction,33,330120,0.0-8.0-2.4,vno041dc,,,,,,,,67e31ded6444217c29279afa,,,,,,,,,,,,,,,,,,
introduction,34,332136,0.0-8.0-0.5,vno041dc,,,,,,,,67e31ded6444217c29279afa,,<p>CAREFUL. That was too slow.</p>,2678.0,calibration,,,,,,,,,,,,,,
introduction,35,335655,0.0-8.0-1.5-0.5,vno041dc,,,,,,3518.0,2131,67e31ded6444217c29279afa,,2131,,calibration,,,,,,,,,,,,,,
introduction,36,337665,0.0-8.0-2.5,vno041dc,,,,,,,,67e31ded6444217c29279afa,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,37,340351,0.0-8.0-0.6,vno041dc,,,,,,,,67e31ded6444217c29279afa,,img/Red_circle.png,2870.0,calibration,,,,,,,,,,,,,,
introduction,38,342639,0.0-8.0-1.6-0.6,vno041dc,,,,,,2286.0,3313,67e31ded6444217c29279afa,,3313,,calibration,,,,,,,,,,,,,,
introduction,39,342640,0.0-8.0-2.6,vno041dc,,,,,,,,67e31ded6444217c29279afa,,,,,,,,,,,,,,,,,,
introduction,40,344654,0.0-8.0-0.7,vno041dc,,,,,,,,67e31ded6444217c29279afa,,<p>CAREFUL. That was too slow.</p>,3399.0,calibration,,,,,,,,,,,,,,
introduction,41,351231,0.0-8.0-1.7-0.7,vno041dc,,,,,,6575.0,1312,67e31ded6444217c29279afa,,1312,,calibration,,,,,,,,,,,,,,
introduction,42,353246,0.0-8.0-2.7,vno041dc,,,,,,,,67e31ded6444217c29279afa,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,43,356650,0.0-8.0-0.8,vno041dc,,,,,,,,67e31ded6444217c29279afa,,img/Red_circle.png,3190.0,calibration,,,,,,,,,,,,,,
introduction,44,362511,0.0-8.0-1.8-0.8,vno041dc,,,,,,5859.0,1231,67e31ded6444217c29279afa,,1323,,calibration,,,,,,,,,,,,,,
introduction,45,365991,0.0-8.0-1.9-0.9,vno041dc,,,,,,3477.0,1323,67e31ded6444217c29279afa,,1323,,calibration,,,,,,,,,,,,,,
introduction,46,368004,0.0-8.0-2.8,vno041dc,,,,,,,,67e31ded6444217c29279afa,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,47,371202,0.0-8.0-0.9,vno041dc,,,,,,,,67e31ded6444217c29279afa,,img/Red_circle.png,3195.0,calibration,,,,,,,,,,,,,,
introduction,48,373478,0.0-8.0-1.10-0.10,vno041dc,,,,,,2274.0,123,67e31ded6444217c29279afa,,123,,calibration,,,,,,,,,,,,,,
introduction,49,373479,0.0-8.0-2.9,vno041dc,,,,,,,,67e31ded6444217c29279afa,,,,,,,,,,,,,,,,,,
introduction,50,375490,0.0-8.0-0.10,vno041dc,,,,,,,,67e31ded6444217c29279afa,,<p>CAREFUL. That was too slow.</p>,3064.0,calibration,,,,,,,,,,,,,,
introduction,51,377247,0.0-8.0-1.11-0.11,vno041dc,,,,,,1754.0,12,67e31ded6444217c29279afa,,12,,calibration,,,,,,,,,,,,,,
introduction,52,377248,0.0-8.0-2.10,vno041dc,,,,,,,,67e31ded6444217c29279afa,,,,,,,,,,,,,,,,,,
introduction,53,379252,0.0-8.0-0.11,vno041dc,,,,,,,,67e31ded6444217c29279afa,,<p>CAREFUL. That was too slow.</p>,3332.0,calibration,,,,,,,,,,,,,,
