trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,19846,0.0-2.0,xvcmhen2,,,,,,6978.0,67e438db8ade268b6cb84c14,67e438db8ade268b6cb84c14,,,,,,,,,,,,,,,,,,
introduction,3,27913,0.0-3.0,xvcmhen2,,,,,,8061.0,67e438db8ade268b6cb84c14,67e438db8ade268b6cb84c14,,,,,,,,,,,,,,,,,,
introduction,4,37080,0.0-4.0-0.0,xvcmhen2,,,,,,9166.0,,67e438db8ade268b6cb84c14,"[{""page_index"":0,""viewing_time"":1925},{""page_index"":1,""viewing_time"":6088},{""page_index"":2,""viewing_time"":1152}]",,,,,,,,,,,,,,,,,
introduction,5,37920,0.0-5.0-0.0,xvcmhen2,,,,,,837.0,1,67e438db8ade268b6cb84c14,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,38375,0.0-5.0-0.1,xvcmhen2,,,,,,453.0,2,67e438db8ade268b6cb84c14,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,39522,0.0-5.0-0.2,xvcmhen2,,,,,,1146.0,1,67e438db8ade268b6cb84c14,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,40422,0.0-5.0-0.3,xvcmhen2,,,,,,899.0,3,67e438db8ade268b6cb84c14,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,41161,0.0-5.0-0.4,xvcmhen2,,,,,,738.0,2,67e438db8ade268b6cb84c14,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,41969,0.0-5.0-0.5,xvcmhen2,,,,,,807.0,3,67e438db8ade268b6cb84c14,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,42714,0.0-5.0-0.6,xvcmhen2,,,,,,745.0,1,67e438db8ade268b6cb84c14,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,43323,0.0-5.0-0.7,xvcmhen2,,,,,,608.0,2,67e438db8ade268b6cb84c14,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,44089,0.0-5.0-0.8,xvcmhen2,,,,,,765.0,3,67e438db8ade268b6cb84c14,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,44742,0.0-5.0-0.9,xvcmhen2,,,,,,652.0,2,67e438db8ade268b6cb84c14,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,45381,0.0-5.0-0.10,xvcmhen2,,,,,,638.0,1,67e438db8ade268b6cb84c14,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,46209,0.0-5.0-0.11,xvcmhen2,,,,,,826.0,3,67e438db8ade268b6cb84c14,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,73671,0.0-6.0-0.0,xvcmhen2,,,,,,27461.0,,67e438db8ade268b6cb84c14,"[{""page_index"":0,""viewing_time"":1410},{""page_index"":1,""viewing_time"":2889},{""page_index"":2,""viewing_time"":21595},{""page_index"":3,""viewing_time"":1567}]",,,,,,,,,,,,,,,,,
introduction,19,101295,0.0-8.0-0.0,xvcmhen2,,,,,,,,67e438db8ade268b6cb84c14,,img/Red_circle.png,2659.0,calibration,,,,,,,,,,,,,,
introduction,20,104245,0.0-8.0-1.0-0.0,xvcmhen2,,,,,,2944.0,1333,67e438db8ade268b6cb84c14,,1333,,calibration,,,,,,,,,,,,,,
introduction,21,104247,0.0-8.0-2.0,xvcmhen2,,,,,,,,67e438db8ade268b6cb84c14,,,,,,,,,,,,,,,,,,
introduction,22,106247,0.0-8.0-0.1,xvcmhen2,,,,,,,,67e438db8ade268b6cb84c14,,<p>CAREFUL. That was too slow.</p>,1066.0,calibration,,,,,,,,,,,,,,
introduction,23,108779,0.0-8.0-1.1-0.1,xvcmhen2,,,,,,2528.0,3222,67e438db8ade268b6cb84c14,,3222,,calibration,,,,,,,,,,,,,,
introduction,24,108780,0.0-8.0-2.1,xvcmhen2,,,,,,,,67e438db8ade268b6cb84c14,,,,,,,,,,,,,,,,,,
introduction,25,109854,0.0-8.0-0.2,xvcmhen2,,,,,,,,67e438db8ade268b6cb84c14,,img/Red_circle.png,2967.0,calibration,,,,,,,,,,,,,,
introduction,26,112405,0.0-8.0-1.2-0.2,xvcmhen2,,,,,,2547.0,313,67e438db8ade268b6cb84c14,,313,,calibration,,,,,,,,,,,,,,
introduction,27,112405,0.0-8.0-2.2,xvcmhen2,,,,,,,,67e438db8ade268b6cb84c14,,,,,,,,,,,,,,,,,,
introduction,28,114413,0.0-8.0-0.3,xvcmhen2,,,,,,,,67e438db8ade268b6cb84c14,,<p>CAREFUL. That was too slow.</p>,2917.0,calibration,,,,,,,,,,,,,,
introduction,29,117047,0.0-8.0-1.3-0.3,xvcmhen2,,,,,,2630.0,213,67e438db8ade268b6cb84c14,,213,,calibration,,,,,,,,,,,,,,
introduction,30,117048,0.0-8.0-2.3,xvcmhen2,,,,,,,,67e438db8ade268b6cb84c14,,,,,,,,,,,,,,,,,,
