trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,135848,0.0-2.0,ggez46cs,,,,,,28628.0,67e5332fd4a2fce36b985eea,67e5332fd4a2fce36b985eea,,,,,,,,,,,,,,,,,,
introduction,3,141562,0.0-3.0,ggez46cs,,,,,,5712.0,67e5332fd4a2fce36b985eea,67e5332fd4a2fce36b985eea,,,,,,,,,,,,,,,,,,
introduction,4,516641,0.0-4.0-0.0,ggez46cs,,,,,,375079.0,,67e5332fd4a2fce36b985eea,"[{""page_index"":0,""viewing_time"":46291},{""page_index"":1,""viewing_time"":168372},{""page_index"":2,""viewing_time"":160415}]",,,,,,,,,,,,,,,,,
introduction,5,518066,0.0-5.0-0.0,ggez46cs,,,,,,1424.0,1,67e5332fd4a2fce36b985eea,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,518834,0.0-5.0-0.1,ggez46cs,,,,,,768.0,2,67e5332fd4a2fce36b985eea,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,519570,0.0-5.0-0.2,ggez46cs,,,,,,736.0,1,67e5332fd4a2fce36b985eea,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,520699,0.0-5.0-0.3,ggez46cs,,,,,,1129.0,3,67e5332fd4a2fce36b985eea,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,521490,0.0-5.0-0.4,ggez46cs,,,,,,791.0,2,67e5332fd4a2fce36b985eea,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,522178,0.0-5.0-0.5,ggez46cs,,,,,,687.0,3,67e5332fd4a2fce36b985eea,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,522729,0.0-5.0-0.6,ggez46cs,,,,,,551.0,1,67e5332fd4a2fce36b985eea,,Press: 1,,,,,,,,,,,,,,,,
