trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,17250,0.0-2.0,rvwc5w53,,,,,,3779.0,67e59d366762ffbb87a9776a,67e59d366762ffbb87a9776a,,,,,,,,,,,,,,,,,,
introduction,3,22056,0.0-3.0,rvwc5w53,,,,,,4803.0,67e59d366762ffbb87a9776a,67e59d366762ffbb87a9776a,,,,,,,,,,,,,,,,,,
introduction,4,34416,0.0-4.0-0.0,rvwc5w53,,,,,,12358.0,,67e59d366762ffbb87a9776a,"[{""page_index"":0,""viewing_time"":3100},{""page_index"":1,""viewing_time"":7820},{""page_index"":2,""viewing_time"":1437}]",,,,,,,,,,,,,,,,,
introduction,5,35225,0.0-5.0-0.0,rvwc5w53,,,,,,807.0,1,67e59d366762ffbb87a9776a,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,35896,0.0-5.0-0.1,rvwc5w53,,,,,,670.0,2,67e59d366762ffbb87a9776a,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,36990,0.0-5.0-0.2,rvwc5w53,,,,,,1093.0,1,67e59d366762ffbb87a9776a,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,38498,0.0-5.0-0.3,rvwc5w53,,,,,,1507.0,3,67e59d366762ffbb87a9776a,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,39252,0.0-5.0-0.4,rvwc5w53,,,,,,753.0,2,67e59d366762ffbb87a9776a,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,39964,0.0-5.0-0.5,rvwc5w53,,,,,,711.0,3,67e59d366762ffbb87a9776a,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,40507,0.0-5.0-0.6,rvwc5w53,,,,,,542.0,1,67e59d366762ffbb87a9776a,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,41172,0.0-5.0-0.7,rvwc5w53,,,,,,663.0,2,67e59d366762ffbb87a9776a,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,41743,0.0-5.0-0.8,rvwc5w53,,,,,,571.0,3,67e59d366762ffbb87a9776a,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,42395,0.0-5.0-0.9,rvwc5w53,,,,,,651.0,2,67e59d366762ffbb87a9776a,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,42869,0.0-5.0-0.10,rvwc5w53,,,,,,473.0,1,67e59d366762ffbb87a9776a,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,43492,0.0-5.0-0.11,rvwc5w53,,,,,,622.0,3,67e59d366762ffbb87a9776a,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,66084,0.0-6.0-0.0,rvwc5w53,,,,,,22591.0,,67e59d366762ffbb87a9776a,"[{""page_index"":0,""viewing_time"":1143},{""page_index"":1,""viewing_time"":2182},{""page_index"":2,""viewing_time"":17506},{""page_index"":3,""viewing_time"":1760}]",,,,,,,,,,,,,,,,,
introduction,19,82594,0.0-8.0-0.0,rvwc5w53,,,,,,,,67e59d366762ffbb87a9776a,,img/Red_circle.png,3083.0,calibration,,,,,,,,,,,,,,
