trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,43825,0.0-2.0,35mr76ab,,,,,,10448.0,67e648c4f5eba87a78ae3523,67e648c4f5eba87a78ae3523,,,,,,,,,,,,,,,,,,
introduction,3,51585,0.0-3.0,35mr76ab,,,,,,7757.0,67e648c4f5eba87a78ae3523,67e648c4f5eba87a78ae3523,,,,,,,,,,,,,,,,,,
introduction,4,64104,0.0-4.0-0.0,35mr76ab,,,,,,12518.0,,67e648c4f5eba87a78ae3523,"[{""page_index"":0,""viewing_time"":1382},{""page_index"":1,""viewing_time"":9984},{""page_index"":2,""viewing_time"":1152}]",,,,,,,,,,,,,,,,,
introduction,5,65340,0.0-5.0-0.0,35mr76ab,,,,,,1234.0,1,67e648c4f5eba87a78ae3523,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,66206,0.0-5.0-0.1,35mr76ab,,,,,,865.0,2,67e648c4f5eba87a78ae3523,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,67397,0.0-5.0-0.2,35mr76ab,,,,,,1189.0,1,67e648c4f5eba87a78ae3523,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,68173,0.0-5.0-0.3,35mr76ab,,,,,,775.0,3,67e648c4f5eba87a78ae3523,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,68951,0.0-5.0-0.4,35mr76ab,,,,,,776.0,2,67e648c4f5eba87a78ae3523,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,69636,0.0-5.0-0.5,35mr76ab,,,,,,684.0,3,67e648c4f5eba87a78ae3523,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,70211,0.0-5.0-0.6,35mr76ab,,,,,,574.0,1,67e648c4f5eba87a78ae3523,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,70847,0.0-5.0-0.7,35mr76ab,,,,,,635.0,2,67e648c4f5eba87a78ae3523,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,71402,0.0-5.0-0.8,35mr76ab,,,,,,553.0,3,67e648c4f5eba87a78ae3523,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,71988,0.0-5.0-0.9,35mr76ab,,,,,,585.0,2,67e648c4f5eba87a78ae3523,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,72472,0.0-5.0-0.10,35mr76ab,,,,,,483.0,1,67e648c4f5eba87a78ae3523,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,73007,0.0-5.0-0.11,35mr76ab,,,,,,534.0,3,67e648c4f5eba87a78ae3523,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,110408,0.0-6.0-0.0,35mr76ab,,,,,,37400.0,,67e648c4f5eba87a78ae3523,"[{""page_index"":0,""viewing_time"":1208},{""page_index"":1,""viewing_time"":5032},{""page_index"":2,""viewing_time"":29936},{""page_index"":3,""viewing_time"":1224}]",,,,,,,,,,,,,,,,,
introduction,19,146831,0.0-8.0-0.0,35mr76ab,,,,,,,,67e648c4f5eba87a78ae3523,,img/Red_circle.png,1916.0,calibration,,,,,,,,,,,,,,
introduction,20,149757,0.0-8.0-1.0-0.0,35mr76ab,,,,,,2919.0,3312,67e648c4f5eba87a78ae3523,,3312,,calibration,,,,,,,,,,,,,,
introduction,21,149758,0.0-8.0-2.0,35mr76ab,,,,,,,,67e648c4f5eba87a78ae3523,,,,,,,,,,,,,,,,,,
introduction,22,151682,0.0-8.0-0.1,35mr76ab,,,,,,,,67e648c4f5eba87a78ae3523,,img/Red_circle.png,2737.0,calibration,,,,,,,,,,,,,,
introduction,23,153804,0.0-8.0-1.1-0.1,35mr76ab,,,,,,2117.0,1312,67e648c4f5eba87a78ae3523,,1312,,calibration,,,,,,,,,,,,,,
introduction,24,153805,0.0-8.0-2.1,35mr76ab,,,,,,,,67e648c4f5eba87a78ae3523,,,,,,,,,,,,,,,,,,
