trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,251088,0.0-2.0,ucct1roo,,,,,,237867.0,67e668ddac4fbafcd08ae073,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,3,255280,0.0-3.0,ucct1roo,,,,,,4189.0,67e668ddac4fbafcd08ae073,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,4,344469,0.0-4.0-0.0,ucct1roo,,,,,,89189.0,,67e668ddac4fbafcd08ae073,"[{""page_index"":0,""viewing_time"":1397},{""page_index"":1,""viewing_time"":86368},{""page_index"":2,""viewing_time"":1425}]",,,,,,,,,,,,,,,,,
introduction,5,346474,0.0-5.0-0.0,ucct1roo,,,,,,2003.0,1,67e668ddac4fbafcd08ae073,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,347452,0.0-5.0-0.1,ucct1roo,,,,,,977.0,2,67e668ddac4fbafcd08ae073,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,348513,0.0-5.0-0.2,ucct1roo,,,,,,1061.0,1,67e668ddac4fbafcd08ae073,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,349502,0.0-5.0-0.3,ucct1roo,,,,,,988.0,3,67e668ddac4fbafcd08ae073,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,350894,0.0-5.0-0.4,ucct1roo,,,,,,1392.0,2,67e668ddac4fbafcd08ae073,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,352073,0.0-5.0-0.5,ucct1roo,,,,,,1179.0,3,67e668ddac4fbafcd08ae073,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,352889,0.0-5.0-0.6,ucct1roo,,,,,,815.0,1,67e668ddac4fbafcd08ae073,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,353808,0.0-5.0-0.7,ucct1roo,,,,,,918.0,2,67e668ddac4fbafcd08ae073,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,354666,0.0-5.0-0.8,ucct1roo,,,,,,858.0,3,67e668ddac4fbafcd08ae073,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,355247,0.0-5.0-0.9,ucct1roo,,,,,,580.0,2,67e668ddac4fbafcd08ae073,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,355957,0.0-5.0-0.10,ucct1roo,,,,,,709.0,1,67e668ddac4fbafcd08ae073,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,356806,0.0-5.0-0.11,ucct1roo,,,,,,849.0,3,67e668ddac4fbafcd08ae073,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,612181,0.0-6.0-0.0,ucct1roo,,,,,,255375.0,,67e668ddac4fbafcd08ae073,"[{""page_index"":0,""viewing_time"":1247},{""page_index"":1,""viewing_time"":5162},{""page_index"":2,""viewing_time"":166438},{""page_index"":3,""viewing_time"":82528}]",,,,,,,,,,,,,,,,,
introduction,19,642795,0.0-8.0-0.0,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,img/Red_circle.png,3333.0,calibration,,,,,,,,,,,,,,
introduction,20,645461,0.0-8.0-1.0-0.0,ucct1roo,,,,,,2663.0,321,67e668ddac4fbafcd08ae073,,321,,calibration,,,,,,,,,,,,,,
introduction,21,645463,0.0-8.0-2.0,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,22,647475,0.0-8.0-0.1,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,<p>CAREFUL. That was too slow.</p>,2020.0,calibration,,,,,,,,,,,,,,
introduction,23,648935,0.0-8.0-1.1-0.1,ucct1roo,,,,,,1459.0,12,67e668ddac4fbafcd08ae073,,12,,calibration,,,,,,,,,,,,,,
introduction,24,648936,0.0-8.0-2.1,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,25,650945,0.0-8.0-0.2,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,<p>CAREFUL. That was too slow.</p>,1881.0,calibration,,,,,,,,,,,,,,
introduction,26,653094,0.0-8.0-1.2-0.2,ucct1roo,,,,,,2147.0,1331,67e668ddac4fbafcd08ae073,,1331,,calibration,,,,,,,,,,,,,,
introduction,27,653095,0.0-8.0-2.2,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,28,654982,0.0-8.0-0.3,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,img/Red_circle.png,1144.0,calibration,,,,,,,,,,,,,,
introduction,29,657622,0.0-8.0-1.3-0.3,ucct1roo,,,,,,2637.0,3123,67e668ddac4fbafcd08ae073,,3123,,calibration,,,,,,,,,,,,,,
introduction,30,657623,0.0-8.0-2.3,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,31,658769,0.0-8.0-0.4,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,img/Red_circle.png,1236.0,calibration,,,,,,,,,,,,,,
introduction,32,660435,0.0-8.0-1.4-0.4,ucct1roo,,,,,,1662.0,211,67e668ddac4fbafcd08ae073,,211,,calibration,,,,,,,,,,,,,,
introduction,33,660437,0.0-8.0-2.4,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,34,661681,0.0-8.0-0.5,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,img/Red_circle.png,1080.0,calibration,,,,,,,,,,,,,,
introduction,35,664158,0.0-8.0-1.5-0.5,ucct1roo,,,,,,2475.0,1312,67e668ddac4fbafcd08ae073,,1312,,calibration,,,,,,,,,,,,,,
introduction,36,664159,0.0-8.0-2.5,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,37,665248,0.0-8.0-0.6,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,img/Red_circle.png,2154.0,calibration,,,,,,,,,,,,,,
introduction,38,668024,0.0-8.0-1.6-0.6,ucct1roo,,,,,,2773.0,3133,67e668ddac4fbafcd08ae073,,3133,,calibration,,,,,,,,,,,,,,
introduction,39,668025,0.0-8.0-2.6,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,40,670033,0.0-8.0-0.7,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,<p>CAREFUL. That was too slow.</p>,1320.0,calibration,,,,,,,,,,,,,,
introduction,41,672579,0.0-8.0-1.7-0.7,ucct1roo,,,,,,2544.0,2313,67e668ddac4fbafcd08ae073,,2313,,calibration,,,,,,,,,,,,,,
introduction,42,672580,0.0-8.0-2.7,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,43,673907,0.0-8.0-0.8,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,img/Red_circle.png,1125.0,calibration,,,,,,,,,,,,,,
introduction,44,675792,0.0-8.0-1.8-0.8,ucct1roo,,,,,,1883.0,2121,67e668ddac4fbafcd08ae073,,2121,,calibration,,,,,,,,,,,,,,
introduction,45,675794,0.0-8.0-2.8,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,46,676931,0.0-8.0-0.9,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,img/Red_circle.png,2042.0,calibration,,,,,,,,,,,,,,
introduction,47,680123,0.0-8.0-1.9-0.9,ucct1roo,,,,,,3190.0,3133,67e668ddac4fbafcd08ae073,,3133,,calibration,,,,,,,,,,,,,,
introduction,48,680124,0.0-8.0-2.9,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,49,682137,0.0-8.0-0.10,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,<p>CAREFUL. That was too slow.</p>,2181.0,calibration,,,,,,,,,,,,,,
introduction,50,684003,0.0-8.0-1.10-0.10,ucct1roo,,,,,,1864.0,1211,67e668ddac4fbafcd08ae073,,1211,,calibration,,,,,,,,,,,,,,
introduction,51,684004,0.0-8.0-2.10,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,52,686014,0.0-8.0-0.11,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,<p>CAREFUL. That was too slow.</p>,1492.0,calibration,,,,,,,,,,,,,,
introduction,53,687552,0.0-8.0-1.11-0.11,ucct1roo,,,,,,1536.0,133,67e668ddac4fbafcd08ae073,,133,,calibration,,,,,,,,,,,,,,
introduction,54,687553,0.0-8.0-2.11,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,55,689055,0.0-8.0-0.12,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,img/Red_circle.png,2765.0,calibration,,,,,,,,,,,,,,
introduction,56,691040,0.0-8.0-1.12-0.12,ucct1roo,,,,,,1983.0,2232,67e668ddac4fbafcd08ae073,,2232,,calibration,,,,,,,,,,,,,,
introduction,57,691041,0.0-8.0-2.12,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,58,693049,0.0-8.0-0.13,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,<p>CAREFUL. That was too slow.</p>,2455.0,calibration,,,,,,,,,,,,,,
introduction,59,695423,0.0-8.0-1.13-0.13,ucct1roo,,,,,,2372.0,2321,67e668ddac4fbafcd08ae073,,2321,,calibration,,,,,,,,,,,,,,
introduction,60,695424,0.0-8.0-2.13,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
introduction,61,697438,0.0-8.0-0.14,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,<p>CAREFUL. That was too slow.</p>,2603.0,calibration,,,,,,,,,,,,,,
introduction,62,700040,0.0-8.0-1.14-0.14,ucct1roo,,,,,,2600.0,2113,67e668ddac4fbafcd08ae073,,2113,,calibration,,,,,,,,,,,,,,
introduction,63,700040,0.0-8.0-2.14,ucct1roo,,,,,,,,67e668ddac4fbafcd08ae073,,,,,,,,,,,,,,,,,,
