trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,86425,0.0-2.0,cas81jmr,,,,,,33789.0,67e9719ef2477e3cbdb7f1af,67e9719ef2477e3cbdb7f1af,,,,,,,,,,,,,,,,,,
introduction,3,90576,0.0-3.0,cas81jmr,,,,,,4148.0,67e9719ef2477e3cbdb7f1af,67e9719ef2477e3cbdb7f1af,,,,,,,,,,,,,,,,,,
introduction,4,98825,0.0-4.0-0.0,cas81jmr,,,,,,8247.0,,67e9719ef2477e3cbdb7f1af,"[{""page_index"":0,""viewing_time"":1382},{""page_index"":1,""viewing_time"":4192},{""page_index"":2,""viewing_time"":2672}]",,,,,,,,,,,,,,,,,
introduction,5,100414,0.0-5.0-0.0,cas81jmr,,,,,,1587.0,1,67e9719ef2477e3cbdb7f1af,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,101357,0.0-5.0-0.1,cas81jmr,,,,,,941.0,2,67e9719ef2477e3cbdb7f1af,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,102248,0.0-5.0-0.2,cas81jmr,,,,,,890.0,1,67e9719ef2477e3cbdb7f1af,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,103525,0.0-5.0-0.3,cas81jmr,,,,,,1276.0,3,67e9719ef2477e3cbdb7f1af,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,104397,0.0-5.0-0.4,cas81jmr,,,,,,871.0,2,67e9719ef2477e3cbdb7f1af,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,105176,0.0-5.0-0.5,cas81jmr,,,,,,778.0,3,67e9719ef2477e3cbdb7f1af,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,105848,0.0-5.0-0.6,cas81jmr,,,,,,672.0,1,67e9719ef2477e3cbdb7f1af,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,106454,0.0-5.0-0.7,cas81jmr,,,,,,606.0,2,67e9719ef2477e3cbdb7f1af,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,107117,0.0-5.0-0.8,cas81jmr,,,,,,662.0,3,67e9719ef2477e3cbdb7f1af,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,107783,0.0-5.0-0.9,cas81jmr,,,,,,664.0,2,67e9719ef2477e3cbdb7f1af,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,108347,0.0-5.0-0.10,cas81jmr,,,,,,564.0,1,67e9719ef2477e3cbdb7f1af,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,108993,0.0-5.0-0.11,cas81jmr,,,,,,645.0,3,67e9719ef2477e3cbdb7f1af,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,121689,0.0-6.0-0.0,cas81jmr,,,,,,12695.0,,67e9719ef2477e3cbdb7f1af,"[{""page_index"":0,""viewing_time"":902},{""page_index"":1,""viewing_time"":1865},{""page_index"":2,""viewing_time"":8520},{""page_index"":3,""viewing_time"":1408}]",,,,,,,,,,,,,,,,,
introduction,19,131017,0.0-8.0-0.0,cas81jmr,,,,,,,,67e9719ef2477e3cbdb7f1af,,img/Red_circle.png,3072.0,calibration,,,,,,,,,,,,,,
introduction,20,133551,0.0-8.0-1.0-0.0,cas81jmr,,,,,,2526.0,1131,67e9719ef2477e3cbdb7f1af,,1131,,calibration,,,,,,,,,,,,,,
introduction,21,133553,0.0-8.0-2.0,cas81jmr,,,,,,,,67e9719ef2477e3cbdb7f1af,,,,,,,,,,,,,,,,,,
introduction,22,135557,0.0-8.0-0.1,cas81jmr,,,,,,,,67e9719ef2477e3cbdb7f1af,,<p>CAREFUL. That was too slow.</p>,1823.0,calibration,,,,,,,,,,,,,,
introduction,23,137616,0.0-8.0-1.1-0.1,cas81jmr,,,,,,2053.0,1221,67e9719ef2477e3cbdb7f1af,,1221,,calibration,,,,,,,,,,,,,,
introduction,24,137618,0.0-8.0-2.1,cas81jmr,,,,,,,,67e9719ef2477e3cbdb7f1af,,,,,,,,,,,,,,,,,,
introduction,25,139456,0.0-8.0-0.2,cas81jmr,,,,,,,,67e9719ef2477e3cbdb7f1af,,img/Red_circle.png,2406.0,calibration,,,,,,,,,,,,,,
introduction,26,141778,0.0-8.0-1.2-0.2,cas81jmr,,,,,,2315.0,3332,67e9719ef2477e3cbdb7f1af,,3332,,calibration,,,,,,,,,,,,,,
introduction,27,141779,0.0-8.0-2.2,cas81jmr,,,,,,,,67e9719ef2477e3cbdb7f1af,,,,,,,,,,,,,,,,,,
introduction,28,143787,0.0-8.0-0.3,cas81jmr,,,,,,,,67e9719ef2477e3cbdb7f1af,,<p>CAREFUL. That was too slow.</p>,3360.0,calibration,,,,,,,,,,,,,,
introduction,29,145608,0.0-8.0-1.3-0.3,cas81jmr,,,,,,1817.0,322,67e9719ef2477e3cbdb7f1af,,322,,calibration,,,,,,,,,,,,,,
introduction,30,145609,0.0-8.0-2.3,cas81jmr,,,,,,,,67e9719ef2477e3cbdb7f1af,,,,,,,,,,,,,,,,,,
introduction,31,147617,0.0-8.0-0.4,cas81jmr,,,,,,,,67e9719ef2477e3cbdb7f1af,,<p>CAREFUL. That was too slow.</p>,2953.0,calibration,,,,,,,,,,,,,,
introduction,32,149593,0.0-8.0-1.4-0.4,cas81jmr,,,,,,1971.0,1221,67e9719ef2477e3cbdb7f1af,,1221,,calibration,,,,,,,,,,,,,,
introduction,33,149594,0.0-8.0-2.4,cas81jmr,,,,,,,,67e9719ef2477e3cbdb7f1af,,,,,,,,,,,,,,,,,,
