trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,31427,0.0-2.0,lw3wz95l,,,,,,19047.0,67eade9122bddfb4cd165d09,67eade9122bddfb4cd165d09,,,,,,,,,,,,,,,,,,
introduction,3,36411,0.0-3.0,lw3wz95l,,,,,,4980.0,67eade9122bddfb4cd165d09,67eade9122bddfb4cd165d09,,,,,,,,,,,,,,,,,,
introduction,4,62823,0.0-4.0-0.0,lw3wz95l,,,,,,26414.0,,67eade9122bddfb4cd165d09,"[{""page_index"":0,""viewing_time"":3023},{""page_index"":1,""viewing_time"":21759},{""page_index"":2,""viewing_time"":1632}]",,,,,,,,,,,,,,,,,
introduction,5,64914,0.0-5.0-0.0,lw3wz95l,,,,,,2090.0,1,67eade9122bddfb4cd165d09,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,66668,0.0-5.0-0.1,lw3wz95l,,,,,,1753.0,2,67eade9122bddfb4cd165d09,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,69155,0.0-5.0-0.2,lw3wz95l,,,,,,2486.0,1,67eade9122bddfb4cd165d09,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,70883,0.0-5.0-0.3,lw3wz95l,,,,,,1727.0,3,67eade9122bddfb4cd165d09,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,72180,0.0-5.0-0.4,lw3wz95l,,,,,,1296.0,2,67eade9122bddfb4cd165d09,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,73212,0.0-5.0-0.5,lw3wz95l,,,,,,1032.0,3,67eade9122bddfb4cd165d09,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,74247,0.0-5.0-0.6,lw3wz95l,,,,,,1034.0,1,67eade9122bddfb4cd165d09,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,75170,0.0-5.0-0.7,lw3wz95l,,,,,,922.0,2,67eade9122bddfb4cd165d09,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,76104,0.0-5.0-0.8,lw3wz95l,,,,,,933.0,3,67eade9122bddfb4cd165d09,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,77218,0.0-5.0-0.9,lw3wz95l,,,,,,1114.0,2,67eade9122bddfb4cd165d09,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,78050,0.0-5.0-0.10,lw3wz95l,,,,,,831.0,1,67eade9122bddfb4cd165d09,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,78928,0.0-5.0-0.11,lw3wz95l,,,,,,878.0,3,67eade9122bddfb4cd165d09,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,127406,0.0-6.0-0.0,lw3wz95l,,,,,,48478.0,,67eade9122bddfb4cd165d09,"[{""page_index"":0,""viewing_time"":1941},{""page_index"":1,""viewing_time"":5704},{""page_index"":2,""viewing_time"":38696},{""page_index"":3,""viewing_time"":2136}]",,,,,,,,,,,,,,,,,
introduction,19,172785,0.0-8.0-0.0,lw3wz95l,,,,,,,,67eade9122bddfb4cd165d09,,img/Red_circle.png,2539.0,calibration,,,,,,,,,,,,,,
introduction,20,175233,0.0-8.0-1.0-0.0,lw3wz95l,,,,,,2439.0,333,67eade9122bddfb4cd165d09,,333,,calibration,,,,,,,,,,,,,,
introduction,21,175235,0.0-8.0-2.0,lw3wz95l,,,,,,,,67eade9122bddfb4cd165d09,,,,,,,,,,,,,,,,,,
introduction,22,177236,0.0-8.0-0.1,lw3wz95l,,,,,,,,67eade9122bddfb4cd165d09,,<p>CAREFUL. That was too slow.</p>,2145.0,calibration,,,,,,,,,,,,,,
introduction,23,179276,0.0-8.0-1.1-0.1,lw3wz95l,,,,,,2037.0,331,67eade9122bddfb4cd165d09,,331,,calibration,,,,,,,,,,,,,,
introduction,24,179277,0.0-8.0-2.1,lw3wz95l,,,,,,,,67eade9122bddfb4cd165d09,,,,,,,,,,,,,,,,,,
introduction,25,181285,0.0-8.0-0.2,lw3wz95l,,,,,,,,67eade9122bddfb4cd165d09,,<p>CAREFUL. That was too slow.</p>,3129.0,calibration,,,,,,,,,,,,,,
introduction,26,183291,0.0-8.0-1.2-0.2,lw3wz95l,,,,,,2003.0,1121,67eade9122bddfb4cd165d09,,1121,,calibration,,,,,,,,,,,,,,
introduction,27,183292,0.0-8.0-2.2,lw3wz95l,,,,,,,,67eade9122bddfb4cd165d09,,,,,,,,,,,,,,,,,,
introduction,28,185301,0.0-8.0-0.3,lw3wz95l,,,,,,,,67eade9122bddfb4cd165d09,,<p>CAREFUL. That was too slow.</p>,2339.0,calibration,,,,,,,,,,,,,,
introduction,29,187155,0.0-8.0-1.3-0.3,lw3wz95l,,,,,,1852.0,131,67eade9122bddfb4cd165d09,,131,,calibration,,,,,,,,,,,,,,
