trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,19464,0.0-2.0,594zrp2o,,,,,,8291.0,67ed92225fbfdc86ed561cfc,67ed92225fbfdc86ed561cfc,,,,,,,,,,,,,,,,,,
introduction,3,26811,0.0-3.0,594zrp2o,,,,,,7340.0,67ed92225fbfdc86ed561cfc,67ed92225fbfdc86ed561cfc,,,,,,,,,,,,,,,,,,
introduction,4,39986,0.0-4.0-0.0,594zrp2o,,,,,,13173.0,,67ed92225fbfdc86ed561cfc,"[{""page_index"":0,""viewing_time"":1411},{""page_index"":1,""viewing_time"":10318},{""page_index"":2,""viewing_time"":1443}]",,,,,,,,,,,,,,,,,
introduction,5,40717,0.0-5.0-0.0,594zrp2o,,,,,,727.0,1,67ed92225fbfdc86ed561cfc,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,41523,0.0-5.0-0.1,594zrp2o,,,,,,804.0,2,67ed92225fbfdc86ed561cfc,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,43875,0.0-5.0-0.2,594zrp2o,,,,,,2351.0,1,67ed92225fbfdc86ed561cfc,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,44814,0.0-5.0-0.3,594zrp2o,,,,,,938.0,3,67ed92225fbfdc86ed561cfc,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,45634,0.0-5.0-0.4,594zrp2o,,,,,,818.0,2,67ed92225fbfdc86ed561cfc,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,47092,0.0-5.0-0.5,594zrp2o,,,,,,1458.0,3,67ed92225fbfdc86ed561cfc,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,47850,0.0-5.0-0.6,594zrp2o,,,,,,757.0,1,67ed92225fbfdc86ed561cfc,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,48454,0.0-5.0-0.7,594zrp2o,,,,,,602.0,2,67ed92225fbfdc86ed561cfc,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,49235,0.0-5.0-0.8,594zrp2o,,,,,,780.0,3,67ed92225fbfdc86ed561cfc,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,49933,0.0-5.0-0.9,594zrp2o,,,,,,697.0,2,67ed92225fbfdc86ed561cfc,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,50567,0.0-5.0-0.10,594zrp2o,,,,,,633.0,1,67ed92225fbfdc86ed561cfc,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,51250,0.0-5.0-0.11,594zrp2o,,,,,,681.0,3,67ed92225fbfdc86ed561cfc,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,75977,0.0-6.0-0.0,594zrp2o,,,,,,24727.0,,67ed92225fbfdc86ed561cfc,"[{""page_index"":0,""viewing_time"":1109},{""page_index"":1,""viewing_time"":2019},{""page_index"":2,""viewing_time"":19916},{""page_index"":3,""viewing_time"":1683}]",,,,,,,,,,,,,,,,,
introduction,19,96485,0.0-8.0-0.0,594zrp2o,,,,,,,,67ed92225fbfdc86ed561cfc,,img/Red_circle.png,1925.0,calibration,,,,,,,,,,,,,,
introduction,20,101181,0.0-8.0-1.0-0.0,594zrp2o,,,,,,4692.0,3333,67ed92225fbfdc86ed561cfc,,3333,,calibration,,,,,,,,,,,,,,
