trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,204225,0.0-2.0,gjc65qp2,,,,,,21938.0,67edb75b0744561f1cf6ff9d,67edb75b0744561f1cf6ff9d,,,,,,,,,,,,,,,,,,
introduction,3,208386,0.0-3.0,gjc65qp2,,,,,,4158.0,67edb75b0744561f1cf6ff9d,67edb75b0744561f1cf6ff9d,,,,,,,,,,,,,,,,,,
introduction,4,222711,0.0-4.0-0.0,gjc65qp2,,,,,,14323.0,,67edb75b0744561f1cf6ff9d,"[{""page_index"":0,""viewing_time"":1688},{""page_index"":1,""viewing_time"":10167},{""page_index"":2,""viewing_time"":2467}]",,,,,,,,,,,,,,,,,
introduction,5,223640,0.0-5.0-0.0,gjc65qp2,,,,,,927.0,1,67edb75b0744561f1cf6ff9d,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,224564,0.0-5.0-0.1,gjc65qp2,,,,,,923.0,2,67edb75b0744561f1cf6ff9d,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,225551,0.0-5.0-0.2,gjc65qp2,,,,,,987.0,1,67edb75b0744561f1cf6ff9d,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,226876,0.0-5.0-0.3,gjc65qp2,,,,,,1325.0,3,67edb75b0744561f1cf6ff9d,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,228118,0.0-5.0-0.4,gjc65qp2,,,,,,1241.0,2,67edb75b0744561f1cf6ff9d,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,229072,0.0-5.0-0.5,gjc65qp2,,,,,,954.0,3,67edb75b0744561f1cf6ff9d,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,229837,0.0-5.0-0.6,gjc65qp2,,,,,,763.0,1,67edb75b0744561f1cf6ff9d,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,230517,0.0-5.0-0.7,gjc65qp2,,,,,,679.0,2,67edb75b0744561f1cf6ff9d,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,231093,0.0-5.0-0.8,gjc65qp2,,,,,,575.0,3,67edb75b0744561f1cf6ff9d,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,231769,0.0-5.0-0.9,gjc65qp2,,,,,,675.0,2,67edb75b0744561f1cf6ff9d,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,232299,0.0-5.0-0.10,gjc65qp2,,,,,,529.0,1,67edb75b0744561f1cf6ff9d,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,232836,0.0-5.0-0.11,gjc65qp2,,,,,,537.0,3,67edb75b0744561f1cf6ff9d,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,328714,0.0-6.0-0.0,gjc65qp2,,,,,,95878.0,,67edb75b0744561f1cf6ff9d,"[{""page_index"":0,""viewing_time"":2961},{""page_index"":1,""viewing_time"":396},{""page_index"":2,""viewing_time"":19575},{""page_index"":1,""viewing_time"":5119},{""page_index"":2,""viewing_time"":64188},{""page_index"":3,""viewing_time"":3639}]",,,,,,,,,,,,,,,,,
introduction,19,364796,0.0-8.0-0.0,gjc65qp2,,,,,,,,67edb75b0744561f1cf6ff9d,,img/Red_circle.png,1434.0,calibration,,,,,,,,,,,,,,
introduction,20,368052,0.0-8.0-1.0-0.0,gjc65qp2,,,,,,3251.0,333,67edb75b0744561f1cf6ff9d,,333,,calibration,,,,,,,,,,,,,,
introduction,21,368054,0.0-8.0-2.0,gjc65qp2,,,,,,,,67edb75b0744561f1cf6ff9d,,,,,,,,,,,,,,,,,,
introduction,22,369492,0.0-8.0-0.1,gjc65qp2,,,,,,,,67edb75b0744561f1cf6ff9d,,img/Red_circle.png,2706.0,calibration,,,,,,,,,,,,,,
introduction,23,375792,0.0-8.0-1.1-0.1,gjc65qp2,,,,,,6297.0,3113,67edb75b0744561f1cf6ff9d,,3113,,calibration,,,,,,,,,,,,,,
introduction,24,377794,0.0-8.0-2.1,gjc65qp2,,,,,,,,67edb75b0744561f1cf6ff9d,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,25,380512,0.0-8.0-0.2,gjc65qp2,,,,,,,,67edb75b0744561f1cf6ff9d,,img/Red_circle.png,1939.0,calibration,,,,,,,,,,,,,,
introduction,26,383734,0.0-8.0-1.2-0.2,gjc65qp2,,,,,,3219.0,2233,67edb75b0744561f1cf6ff9d,,2233,,calibration,,,,,,,,,,,,,,
introduction,27,383735,0.0-8.0-2.2,gjc65qp2,,,,,,,,67edb75b0744561f1cf6ff9d,,,,,,,,,,,,,,,,,,
introduction,28,385689,0.0-8.0-0.3,gjc65qp2,,,,,,,,67edb75b0744561f1cf6ff9d,,img/Red_circle.png,1189.0,calibration,,,,,,,,,,,,,,
introduction,29,389366,0.0-8.0-1.3-0.3,gjc65qp2,,,,,,3673.0,2331,67edb75b0744561f1cf6ff9d,,2331,,calibration,,,,,,,,,,,,,,
introduction,30,391379,0.0-8.0-2.3,gjc65qp2,,,,,,,,67edb75b0744561f1cf6ff9d,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,31,392582,0.0-8.0-0.4,gjc65qp2,,,,,,,,67edb75b0744561f1cf6ff9d,,img/Red_circle.png,1973.0,calibration,,,,,,,,,,,,,,
introduction,32,394479,0.0-8.0-1.4-0.4,gjc65qp2,,,,,,1895.0,21,67edb75b0744561f1cf6ff9d,,21,,calibration,,,,,,,,,,,,,,
