trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,37816,0.0-2.0,bd4daemr,,,,,,13716.0,67ef5d4cd8cc8b703fdf70f4,67ef5d4cd8cc8b703fdf70f4,,,,,,,,,,,,,,,,,,
introduction,3,46783,0.0-3.0,bd4daemr,,,,,,8964.0,67ef5d4cd8cc8b703fdf70f4,67ef5d4cd8cc8b703fdf70f4,,,,,,,,,,,,,,,,,,
introduction,4,69806,0.0-4.0-0.0,bd4daemr,,,,,,23022.0,,67ef5d4cd8cc8b703fdf70f4,"[{""page_index"":0,""viewing_time"":3558},{""page_index"":1,""viewing_time"":17832},{""page_index"":2,""viewing_time"":1632}]",,,,,,,,,,,,,,,,,
introduction,5,71650,0.0-5.0-0.0,bd4daemr,,,,,,1842.0,1,67ef5d4cd8cc8b703fdf70f4,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,73111,0.0-5.0-0.1,bd4daemr,,,,,,1459.0,2,67ef5d4cd8cc8b703fdf70f4,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,75029,0.0-5.0-0.2,bd4daemr,,,,,,1917.0,1,67ef5d4cd8cc8b703fdf70f4,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,76478,0.0-5.0-0.3,bd4daemr,,,,,,1448.0,3,67ef5d4cd8cc8b703fdf70f4,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,77561,0.0-5.0-0.4,bd4daemr,,,,,,1082.0,2,67ef5d4cd8cc8b703fdf70f4,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,78741,0.0-5.0-0.5,bd4daemr,,,,,,1179.0,3,67ef5d4cd8cc8b703fdf70f4,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,79700,0.0-5.0-0.6,bd4daemr,,,,,,958.0,1,67ef5d4cd8cc8b703fdf70f4,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,80590,0.0-5.0-0.7,bd4daemr,,,,,,889.0,2,67ef5d4cd8cc8b703fdf70f4,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,81186,0.0-5.0-0.8,bd4daemr,,,,,,595.0,3,67ef5d4cd8cc8b703fdf70f4,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,82040,0.0-5.0-0.9,bd4daemr,,,,,,852.0,2,67ef5d4cd8cc8b703fdf70f4,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,82841,0.0-5.0-0.10,bd4daemr,,,,,,800.0,1,67ef5d4cd8cc8b703fdf70f4,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,83843,0.0-5.0-0.11,bd4daemr,,,,,,1001.0,3,67ef5d4cd8cc8b703fdf70f4,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,125430,0.0-6.0-0.0,bd4daemr,,,,,,41586.0,,67ef5d4cd8cc8b703fdf70f4,"[{""page_index"":0,""viewing_time"":2738},{""page_index"":1,""viewing_time"":5512},{""page_index"":2,""viewing_time"":30712},{""page_index"":3,""viewing_time"":2624}]",,,,,,,,,,,,,,,,,
introduction,19,162677,0.0-8.0-0.0,bd4daemr,,,,,,,,67ef5d4cd8cc8b703fdf70f4,,img/Red_circle.png,1094.0,calibration,,,,,,,,,,,,,,
introduction,20,165263,0.0-8.0-1.0-0.0,bd4daemr,,,,,,2578.0,331,67ef5d4cd8cc8b703fdf70f4,,331,,calibration,,,,,,,,,,,,,,
introduction,21,165265,0.0-8.0-2.0,bd4daemr,,,,,,,,67ef5d4cd8cc8b703fdf70f4,,,,,,,,,,,,,,,,,,
introduction,22,166362,0.0-8.0-0.1,bd4daemr,,,,,,,,67ef5d4cd8cc8b703fdf70f4,,img/Red_circle.png,2414.0,calibration,,,,,,,,,,,,,,
introduction,23,168380,0.0-8.0-1.1-0.1,bd4daemr,,,,,,2012.0,31,67ef5d4cd8cc8b703fdf70f4,,31,,calibration,,,,,,,,,,,,,,
introduction,24,168381,0.0-8.0-2.1,bd4daemr,,,,,,,,67ef5d4cd8cc8b703fdf70f4,,,,,,,,,,,,,,,,,,
introduction,25,170381,0.0-8.0-0.2,bd4daemr,,,,,,,,67ef5d4cd8cc8b703fdf70f4,,<p>CAREFUL. That was too slow.</p>,3412.0,calibration,,,,,,,,,,,,,,
introduction,26,173925,0.0-8.0-1.2-0.2,bd4daemr,,,,,,3542.0,1311,67ef5d4cd8cc8b703fdf70f4,,1311,,calibration,,,,,,,,,,,,,,
introduction,27,175927,0.0-8.0-2.2,bd4daemr,,,,,,,,67ef5d4cd8cc8b703fdf70f4,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,28,179342,0.0-8.0-0.3,bd4daemr,,,,,,,,67ef5d4cd8cc8b703fdf70f4,,img/Red_circle.png,1112.0,calibration,,,,,,,,,,,,,,
introduction,29,180856,0.0-8.0-1.3-0.3,bd4daemr,,,,,,1509.0,21,67ef5d4cd8cc8b703fdf70f4,,21,,calibration,,,,,,,,,,,,,,
introduction,30,180857,0.0-8.0-2.3,bd4daemr,,,,,,,,67ef5d4cd8cc8b703fdf70f4,,,,,,,,,,,,,,,,,,
introduction,31,181971,0.0-8.0-0.4,bd4daemr,,,,,,,,67ef5d4cd8cc8b703fdf70f4,,img/Red_circle.png,3108.0,calibration,,,,,,,,,,,,,,
introduction,32,184133,0.0-8.0-1.4-0.4,bd4daemr,,,,,,2156.0,2323,67ef5d4cd8cc8b703fdf70f4,,2323,,calibration,,,,,,,,,,,,,,
introduction,33,184134,0.0-8.0-2.4,bd4daemr,,,,,,,,67ef5d4cd8cc8b703fdf70f4,,,,,,,,,,,,,,,,,,
introduction,34,186134,0.0-8.0-0.5,bd4daemr,,,,,,,,67ef5d4cd8cc8b703fdf70f4,,<p>CAREFUL. That was too slow.</p>,2792.0,calibration,,,,,,,,,,,,,,
introduction,35,188281,0.0-8.0-1.5-0.5,bd4daemr,,,,,,2141.0,3312,67ef5d4cd8cc8b703fdf70f4,,3312,,calibration,,,,,,,,,,,,,,
introduction,36,188282,0.0-8.0-2.5,bd4daemr,,,,,,,,67ef5d4cd8cc8b703fdf70f4,,,,,,,,,,,,,,,,,,
introduction,37,190282,0.0-8.0-0.6,bd4daemr,,,,,,,,67ef5d4cd8cc8b703fdf70f4,,<p>CAREFUL. That was too slow.</p>,1356.0,calibration,,,,,,,,,,,,,,
introduction,38,192106,0.0-8.0-1.6-0.6,bd4daemr,,,,,,1820.0,3312,67ef5d4cd8cc8b703fdf70f4,,3312,,calibration,,,,,,,,,,,,,,
