trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,218371,0.0-2.0,ybazmh5x,,,,,,23922.0,67efefb887fe06ac1e551c3c,67efefb887fe06ac1e551c3c,,,,,,,,,,,,,,,,,,
introduction,3,221555,0.0-3.0,ybazmh5x,,,,,,3181.0,67efefb887fe06ac1e551c3c,67efefb887fe06ac1e551c3c,,,,,,,,,,,,,,,,,,
introduction,4,297410,0.0-4.0-0.0,ybazmh5x,,,,,,75853.0,,67efefb887fe06ac1e551c3c,"[{""page_index"":0,""viewing_time"":1330},{""page_index"":1,""viewing_time"":70963},{""page_index"":2,""viewing_time"":3560}]",,,,,,,,,,,,,,,,,
introduction,5,298151,0.0-5.0-0.0,ybazmh5x,,,,,,740.0,1,67efefb887fe06ac1e551c3c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,298842,0.0-5.0-0.1,ybazmh5x,,,,,,691.0,2,67efefb887fe06ac1e551c3c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,299529,0.0-5.0-0.2,ybazmh5x,,,,,,686.0,1,67efefb887fe06ac1e551c3c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,300747,0.0-5.0-0.3,ybazmh5x,,,,,,1218.0,3,67efefb887fe06ac1e551c3c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,301446,0.0-5.0-0.4,ybazmh5x,,,,,,698.0,2,67efefb887fe06ac1e551c3c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,302094,0.0-5.0-0.5,ybazmh5x,,,,,,648.0,3,67efefb887fe06ac1e551c3c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,302816,0.0-5.0-0.6,ybazmh5x,,,,,,721.0,1,67efefb887fe06ac1e551c3c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,303428,0.0-5.0-0.7,ybazmh5x,,,,,,612.0,2,67efefb887fe06ac1e551c3c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,304025,0.0-5.0-0.8,ybazmh5x,,,,,,596.0,3,67efefb887fe06ac1e551c3c,,Press: 3,,,,,,,,,,,,,,,,
