trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,22543,0.0-2.0,bgwvtx2u,,,,,,10835.0,67f01887c5d3ec373eef1c01,67f01887c5d3ec373eef1c01,,,,,,,,,,,,,,,,,,
introduction,3,30988,0.0-3.0,bgwvtx2u,,,,,,8444.0,67f01887c5d3ec373eef1c01,67f01887c5d3ec373eef1c01,,,,,,,,,,,,,,,,,,
introduction,4,46391,0.0-4.0-0.0,bgwvtx2u,,,,,,15401.0,,67f01887c5d3ec373eef1c01,"[{""page_index"":0,""viewing_time"":1008},{""page_index"":1,""viewing_time"":13331},{""page_index"":2,""viewing_time"":1061}]",,,,,,,,,,,,,,,,,
introduction,5,47021,0.0-5.0-0.0,bgwvtx2u,,,,,,629.0,1,67f01887c5d3ec373eef1c01,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,47619,0.0-5.0-0.1,bgwvtx2u,,,,,,598.0,2,67f01887c5d3ec373eef1c01,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,48307,0.0-5.0-0.2,bgwvtx2u,,,,,,688.0,1,67f01887c5d3ec373eef1c01,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,48889,0.0-5.0-0.3,bgwvtx2u,,,,,,582.0,3,67f01887c5d3ec373eef1c01,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,49517,0.0-5.0-0.4,bgwvtx2u,,,,,,628.0,2,67f01887c5d3ec373eef1c01,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,50089,0.0-5.0-0.5,bgwvtx2u,,,,,,571.0,3,67f01887c5d3ec373eef1c01,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,50742,0.0-5.0-0.6,bgwvtx2u,,,,,,653.0,1,67f01887c5d3ec373eef1c01,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,51346,0.0-5.0-0.7,bgwvtx2u,,,,,,605.0,2,67f01887c5d3ec373eef1c01,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,51931,0.0-5.0-0.8,bgwvtx2u,,,,,,584.0,3,67f01887c5d3ec373eef1c01,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,52544,0.0-5.0-0.9,bgwvtx2u,,,,,,613.0,2,67f01887c5d3ec373eef1c01,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,53091,0.0-5.0-0.10,bgwvtx2u,,,,,,547.0,1,67f01887c5d3ec373eef1c01,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,53687,0.0-5.0-0.11,bgwvtx2u,,,,,,595.0,3,67f01887c5d3ec373eef1c01,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,113807,0.0-6.0-0.0,bgwvtx2u,,,,,,60120.0,,67f01887c5d3ec373eef1c01,"[{""page_index"":0,""viewing_time"":1902},{""page_index"":1,""viewing_time"":4106},{""page_index"":2,""viewing_time"":53049},{""page_index"":3,""viewing_time"":1062}]",,,,,,,,,,,,,,,,,
introduction,19,138755,0.0-8.0-0.0,bgwvtx2u,,,,,,,,67f01887c5d3ec373eef1c01,,img/Red_circle.png,2337.0,calibration,,,,,,,,,,,,,,
