trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,23144,0.0-2.0,88bhgukj,,,,,,11029.0,67f083fe2557073ca3e175a6,67f083fe2557073ca3e175a6,,,,,,,,,,,,,,,,,,
introduction,3,27985,0.0-3.0,88bhgukj,,,,,,4834.0,67f083fe2557073ca3e175a6,67f083fe2557073ca3e175a6,,,,,,,,,,,,,,,,,,
introduction,4,42503,0.0-4.0-0.0,88bhgukj,,,,,,14517.0,,67f083fe2557073ca3e175a6,"[{""page_index"":0,""viewing_time"":1773},{""page_index"":1,""viewing_time"":11296},{""page_index"":2,""viewing_time"":1448}]",,,,,,,,,,,,,,,,,
introduction,5,43781,0.0-5.0-0.0,88bhgukj,,,,,,1275.0,1,67f083fe2557073ca3e175a6,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,45051,0.0-5.0-0.1,88bhgukj,,,,,,1266.0,2,67f083fe2557073ca3e175a6,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,46422,0.0-5.0-0.2,88bhgukj,,,,,,1369.0,1,67f083fe2557073ca3e175a6,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,47925,0.0-5.0-0.3,88bhgukj,,,,,,1501.0,3,67f083fe2557073ca3e175a6,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,49455,0.0-5.0-0.4,88bhgukj,,,,,,1528.0,2,67f083fe2557073ca3e175a6,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,50746,0.0-5.0-0.5,88bhgukj,,,,,,1289.0,3,67f083fe2557073ca3e175a6,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,52259,0.0-5.0-0.6,88bhgukj,,,,,,1512.0,1,67f083fe2557073ca3e175a6,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,53016,0.0-5.0-0.7,88bhgukj,,,,,,755.0,2,67f083fe2557073ca3e175a6,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,53623,0.0-5.0-0.8,88bhgukj,,,,,,605.0,3,67f083fe2557073ca3e175a6,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,54488,0.0-5.0-0.9,88bhgukj,,,,,,863.0,2,67f083fe2557073ca3e175a6,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,55531,0.0-5.0-0.10,88bhgukj,,,,,,1041.0,1,67f083fe2557073ca3e175a6,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,56933,0.0-5.0-0.11,88bhgukj,,,,,,1400.0,3,67f083fe2557073ca3e175a6,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,97630,0.0-6.0-0.0,88bhgukj,,,,,,40696.0,,67f083fe2557073ca3e175a6,"[{""page_index"":0,""viewing_time"":1656},{""page_index"":1,""viewing_time"":6424},{""page_index"":2,""viewing_time"":31264},{""page_index"":3,""viewing_time"":1352}]",,,,,,,,,,,,,,,,,
introduction,19,118354,0.0-8.0-0.0,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,img/Red_circle.png,1022.0,calibration,,,,,,,,,,,,,,
introduction,20,122591,0.0-8.0-1.0-0.0,88bhgukj,,,,,,4224.0,331,67f083fe2557073ca3e175a6,,331,,calibration,,,,,,,,,,,,,,
introduction,21,124610,0.0-8.0-2.0,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,125643,0.0-8.0-0.1,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,img/Red_circle.png,1041.0,calibration,,,,,,,,,,,,,,
introduction,23,127914,0.0-8.0-1.1-0.1,88bhgukj,,,,,,2260.0,1322,67f083fe2557073ca3e175a6,,1322,,calibration,,,,,,,,,,,,,,
introduction,24,127915,0.0-8.0-2.1,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,,,,,,,,,,,,,,,,,
introduction,25,128965,0.0-8.0-0.2,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,img/Red_circle.png,1815.0,calibration,,,,,,,,,,,,,,
introduction,26,133132,0.0-8.0-1.2-0.2,88bhgukj,,,,,,4159.0,11,67f083fe2557073ca3e175a6,,11,,calibration,,,,,,,,,,,,,,
introduction,27,135135,0.0-8.0-2.2,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,28,136960,0.0-8.0-0.3,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,img/Red_circle.png,1793.0,calibration,,,,,,,,,,,,,,
introduction,29,139696,0.0-8.0-1.3-0.3,88bhgukj,,,,,,2726.0,3123,67f083fe2557073ca3e175a6,,3123,,calibration,,,,,,,,,,,,,,
introduction,30,139697,0.0-8.0-2.3,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,,,,,,,,,,,,,,,,,
introduction,31,141495,0.0-8.0-0.4,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,img/Red_circle.png,2943.0,calibration,,,,,,,,,,,,,,
introduction,32,143181,0.0-8.0-1.4-0.4,88bhgukj,,,,,,1682.0,122,67f083fe2557073ca3e175a6,,122,,calibration,,,,,,,,,,,,,,
introduction,33,143182,0.0-8.0-2.4,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,,,,,,,,,,,,,,,,,
introduction,34,145195,0.0-8.0-0.5,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,<p>CAREFUL. That was too slow.</p>,1664.0,calibration,,,,,,,,,,,,,,
introduction,35,150155,0.0-8.0-1.5-0.5,88bhgukj,,,,,,4956.0,1321,67f083fe2557073ca3e175a6,,1321,,calibration,,,,,,,,,,,,,,
introduction,36,152172,0.0-8.0-2.5,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,37,153855,0.0-8.0-0.6,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,img/Red_circle.png,1480.0,calibration,,,,,,,,,,,,,,
introduction,38,156077,0.0-8.0-1.6-0.6,88bhgukj,,,,,,2217.0,1233,67f083fe2557073ca3e175a6,,1233,,calibration,,,,,,,,,,,,,,
introduction,39,156078,0.0-8.0-2.6,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,,,,,,,,,,,,,,,,,
introduction,40,157565,0.0-8.0-0.7,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,img/Red_circle.png,1973.0,calibration,,,,,,,,,,,,,,
introduction,41,159464,0.0-8.0-1.7-0.7,88bhgukj,,,,,,1890.0,1222,67f083fe2557073ca3e175a6,,1222,,calibration,,,,,,,,,,,,,,
introduction,42,159465,0.0-8.0-2.7,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,,,,,,,,,,,,,,,,,
introduction,43,161456,0.0-8.0-0.8,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,img/Red_circle.png,1386.0,calibration,,,,,,,,,,,,,,
introduction,44,163824,0.0-8.0-1.8-0.8,88bhgukj,,,,,,2360.0,2111,67f083fe2557073ca3e175a6,,2111,,calibration,,,,,,,,,,,,,,
introduction,45,163825,0.0-8.0-2.8,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,,,,,,,,,,,,,,,,,
introduction,46,165223,0.0-8.0-0.9,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,img/Red_circle.png,1213.0,calibration,,,,,,,,,,,,,,
introduction,47,166940,0.0-8.0-1.9-0.9,88bhgukj,,,,,,1708.0,1233,67f083fe2557073ca3e175a6,,1233,,calibration,,,,,,,,,,,,,,
introduction,48,166942,0.0-8.0-2.9,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,,,,,,,,,,,,,,,,,
introduction,49,168168,0.0-8.0-0.10,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,img/Red_circle.png,1043.0,calibration,,,,,,,,,,,,,,
introduction,50,169319,0.0-8.0-1.10-0.10,88bhgukj,,,,,,1142.0,12,67f083fe2557073ca3e175a6,,12,,calibration,,,,,,,,,,,,,,
introduction,51,169320,0.0-8.0-2.10,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,,,,,,,,,,,,,,,,,
introduction,52,170374,0.0-8.0-0.11,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,img/Red_circle.png,1141.0,calibration,,,,,,,,,,,,,,
introduction,53,172657,0.0-8.0-1.11-0.11,88bhgukj,,,,,,2276.0,3122,67f083fe2557073ca3e175a6,,3122,,calibration,,,,,,,,,,,,,,
introduction,54,172658,0.0-8.0-2.11,88bhgukj,,,,,,,,67f083fe2557073ca3e175a6,,,,,,,,,,,,,,,,,,
