trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,27251,0.0-2.0,2hg07n99,,,,,,12153.0,67f195156ae8e9e3886a36dc,67f195156ae8e9e3886a36dc,,,,,,,,,,,,,,,,,,
introduction,3,33665,0.0-3.0,2hg07n99,,,,,,6410.0,67f195156ae8e9e3886a36dc,67f195156ae8e9e3886a36dc,,,,,,,,,,,,,,,,,,
introduction,4,79878,0.0-4.0-0.0,2hg07n99,,,,,,46212.0,,67f195156ae8e9e3886a36dc,"[{""page_index"":0,""viewing_time"":3288},{""page_index"":1,""viewing_time"":40867},{""page_index"":2,""viewing_time"":2056}]",,,,,,,,,,,,,,,,,
introduction,5,81315,0.0-5.0-0.0,2hg07n99,,,,,,1435.0,1,67f195156ae8e9e3886a36dc,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,82241,0.0-5.0-0.1,2hg07n99,,,,,,924.0,2,67f195156ae8e9e3886a36dc,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,83789,0.0-5.0-0.2,2hg07n99,,,,,,1548.0,1,67f195156ae8e9e3886a36dc,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,84925,0.0-5.0-0.3,2hg07n99,,,,,,1134.0,3,67f195156ae8e9e3886a36dc,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,85675,0.0-5.0-0.4,2hg07n99,,,,,,747.0,2,67f195156ae8e9e3886a36dc,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,86615,0.0-5.0-0.5,2hg07n99,,,,,,939.0,3,67f195156ae8e9e3886a36dc,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,87204,0.0-5.0-0.6,2hg07n99,,,,,,588.0,1,67f195156ae8e9e3886a36dc,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,88139,0.0-5.0-0.7,2hg07n99,,,,,,933.0,2,67f195156ae8e9e3886a36dc,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,88674,0.0-5.0-0.8,2hg07n99,,,,,,535.0,3,67f195156ae8e9e3886a36dc,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,89510,0.0-5.0-0.9,2hg07n99,,,,,,834.0,2,67f195156ae8e9e3886a36dc,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,90091,0.0-5.0-0.10,2hg07n99,,,,,,580.0,1,67f195156ae8e9e3886a36dc,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,90810,0.0-5.0-0.11,2hg07n99,,,,,,717.0,3,67f195156ae8e9e3886a36dc,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,163763,0.0-6.0-0.0,2hg07n99,,,,,,72952.0,,67f195156ae8e9e3886a36dc,"[{""page_index"":0,""viewing_time"":2746},{""page_index"":1,""viewing_time"":6197},{""page_index"":2,""viewing_time"":58863},{""page_index"":3,""viewing_time"":5146}]",,,,,,,,,,,,,,,,,
introduction,19,190585,0.0-8.0-0.0,2hg07n99,,,,,,,,67f195156ae8e9e3886a36dc,,img/Red_circle.png,2683.0,calibration,,,,,,,,,,,,,,
introduction,20,193755,0.0-8.0-1.0-0.0,2hg07n99,,,,,,3167.0,1211,67f195156ae8e9e3886a36dc,,1211,,calibration,,,,,,,,,,,,,,
introduction,21,193757,0.0-8.0-2.0,2hg07n99,,,,,,,,67f195156ae8e9e3886a36dc,,,,,,,,,,,,,,,,,,
introduction,22,195759,0.0-8.0-0.1,2hg07n99,,,,,,,,67f195156ae8e9e3886a36dc,,<p>CAREFUL. That was too slow.</p>,3405.0,calibration,,,,,,,,,,,,,,
introduction,23,199393,0.0-8.0-1.1-0.1,2hg07n99,,,,,,3631.0,3232,67f195156ae8e9e3886a36dc,,3232,,calibration,,,,,,,,,,,,,,
introduction,24,201397,0.0-8.0-2.1,2hg07n99,,,,,,,,67f195156ae8e9e3886a36dc,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,25,204819,0.0-8.0-0.2,2hg07n99,,,,,,,,67f195156ae8e9e3886a36dc,,img/Red_circle.png,2140.0,calibration,,,,,,,,,,,,,,
