trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,27243,0.0-2.0,zv3p5snu,,,,,,9969.0,67f1ed7b964c967774fbca74,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,3,35112,0.0-3.0,zv3p5snu,,,,,,7862.0,67f1ed7b964c967774fbca74,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,4,51055,0.0-4.0-0.0,zv3p5snu,,,,,,15941.0,,67f1ed7b964c967774fbca74,"[{""page_index"":0,""viewing_time"":3453},{""page_index"":1,""viewing_time"":11081},{""page_index"":2,""viewing_time"":1407}]",,,,,,,,,,,,,,,,,
introduction,5,52390,0.0-5.0-0.0,zv3p5snu,,,,,,1332.0,1,67f1ed7b964c967774fbca74,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,53227,0.0-5.0-0.1,zv3p5snu,,,,,,836.0,2,67f1ed7b964c967774fbca74,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,54245,0.0-5.0-0.2,zv3p5snu,,,,,,1017.0,1,67f1ed7b964c967774fbca74,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,55150,0.0-5.0-0.3,zv3p5snu,,,,,,904.0,3,67f1ed7b964c967774fbca74,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,56034,0.0-5.0-0.4,zv3p5snu,,,,,,883.0,2,67f1ed7b964c967774fbca74,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,56905,0.0-5.0-0.5,zv3p5snu,,,,,,870.0,3,67f1ed7b964c967774fbca74,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,57649,0.0-5.0-0.6,zv3p5snu,,,,,,743.0,1,67f1ed7b964c967774fbca74,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,58991,0.0-5.0-0.7,zv3p5snu,,,,,,1341.0,2,67f1ed7b964c967774fbca74,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,59610,0.0-5.0-0.8,zv3p5snu,,,,,,618.0,3,67f1ed7b964c967774fbca74,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,60402,0.0-5.0-0.9,zv3p5snu,,,,,,791.0,2,67f1ed7b964c967774fbca74,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,61095,0.0-5.0-0.10,zv3p5snu,,,,,,692.0,1,67f1ed7b964c967774fbca74,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,61695,0.0-5.0-0.11,zv3p5snu,,,,,,600.0,3,67f1ed7b964c967774fbca74,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,127025,0.0-6.0-0.0,zv3p5snu,,,,,,65329.0,,67f1ed7b964c967774fbca74,"[{""page_index"":0,""viewing_time"":1413},{""page_index"":1,""viewing_time"":3777},{""page_index"":2,""viewing_time"":57760},{""page_index"":3,""viewing_time"":2379}]",,,,,,,,,,,,,,,,,
introduction,19,174160,0.0-8.0-0.0,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,img/Red_circle.png,1055.0,calibration,,,,,,,,,,,,,,
introduction,20,184275,0.0-8.0-1.0-0.0,zv3p5snu,,,,,,10108.0,2113,67f1ed7b964c967774fbca74,,2112,,calibration,,,,,,,,,,,,,,
introduction,21,186827,0.0-8.0-1.1-0.1,zv3p5snu,,,,,,2547.0,,67f1ed7b964c967774fbca74,,2112,,calibration,,,,,,,,,,,,,,
introduction,22,199310,0.0-8.0-1.2-0.2,zv3p5snu,,,,,,12476.0,2112,67f1ed7b964c967774fbca74,,2112,,calibration,,,,,,,,,,,,,,
introduction,23,201315,0.0-8.0-2.0,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,24,202385,0.0-8.0-0.1,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,img/Red_circle.png,3431.0,calibration,,,,,,,,,,,,,,
introduction,25,205505,0.0-8.0-1.3-0.3,zv3p5snu,,,,,,3116.0,1133,67f1ed7b964c967774fbca74,,1133,,calibration,,,,,,,,,,,,,,
introduction,26,205506,0.0-8.0-2.1,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,27,207520,0.0-8.0-0.2,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,2868.0,calibration,,,,,,,,,,,,,,
introduction,28,210750,0.0-8.0-1.4-0.4,zv3p5snu,,,,,,3226.0,2231,67f1ed7b964c967774fbca74,,2231,,calibration,,,,,,,,,,,,,,
introduction,29,210751,0.0-8.0-2.2,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,30,212759,0.0-8.0-0.3,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,2276.0,calibration,,,,,,,,,,,,,,
introduction,31,216126,0.0-8.0-1.5-0.5,zv3p5snu,,,,,,3362.0,2223,67f1ed7b964c967774fbca74,,2223,,calibration,,,,,,,,,,,,,,
introduction,32,216127,0.0-8.0-2.3,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,33,218140,0.0-8.0-0.4,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,1961.0,calibration,,,,,,,,,,,,,,
introduction,34,221705,0.0-8.0-1.6-0.6,zv3p5snu,,,,,,3561.0,112,67f1ed7b964c967774fbca74,,1112,,calibration,,,,,,,,,,,,,,
introduction,35,226686,0.0-8.0-1.7-0.7,zv3p5snu,,,,,,4977.0,1112,67f1ed7b964c967774fbca74,,1112,,calibration,,,,,,,,,,,,,,
introduction,36,228700,0.0-8.0-2.4,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,37,230673,0.0-8.0-0.5,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,img/Red_circle.png,2595.0,calibration,,,,,,,,,,,,,,
introduction,38,234102,0.0-8.0-1.8-0.8,zv3p5snu,,,,,,3425.0,212,67f1ed7b964c967774fbca74,,212,,calibration,,,,,,,,,,,,,,
introduction,39,234103,0.0-8.0-2.5,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,40,236125,0.0-8.0-0.6,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,1088.0,calibration,,,,,,,,,,,,,,
introduction,41,240304,0.0-8.0-1.9-0.9,zv3p5snu,,,,,,4175.0,2313,67f1ed7b964c967774fbca74,,2313,,calibration,,,,,,,,,,,,,,
introduction,42,242313,0.0-8.0-2.6,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,43,243417,0.0-8.0-0.7,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,img/Red_circle.png,2111.0,calibration,,,,,,,,,,,,,,
introduction,44,253193,0.0-8.0-1.10-0.10,zv3p5snu,,,,,,9771.0,11,67f1ed7b964c967774fbca74,,11,,calibration,,,,,,,,,,,,,,
introduction,45,255209,0.0-8.0-2.7,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,46,257337,0.0-8.0-0.8,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,img/Red_circle.png,2862.0,calibration,,,,,,,,,,,,,,
introduction,47,260253,0.0-8.0-1.11-0.11,zv3p5snu,,,,,,2912.0,1331,67f1ed7b964c967774fbca74,,1331,,calibration,,,,,,,,,,,,,,
introduction,48,260254,0.0-8.0-2.8,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,49,262262,0.0-8.0-0.9,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,2286.0,calibration,,,,,,,,,,,,,,
introduction,50,264768,0.0-8.0-1.12-0.12,zv3p5snu,,,,,,2501.0,132,67f1ed7b964c967774fbca74,,132,,calibration,,,,,,,,,,,,,,
introduction,51,264769,0.0-8.0-2.9,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,52,266781,0.0-8.0-0.10,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,3368.0,calibration,,,,,,,,,,,,,,
introduction,53,268752,0.0-8.0-1.13-0.13,zv3p5snu,,,,,,1967.0,21,67f1ed7b964c967774fbca74,,21,,calibration,,,,,,,,,,,,,,
introduction,54,268753,0.0-8.0-2.10,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,55,270759,0.0-8.0-0.11,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,2293.0,calibration,,,,,,,,,,,,,,
introduction,56,273347,0.0-8.0-1.14-0.14,zv3p5snu,,,,,,2586.0,311,67f1ed7b964c967774fbca74,,311,,calibration,,,,,,,,,,,,,,
introduction,57,273348,0.0-8.0-2.11,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,58,275353,0.0-8.0-0.12,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,2887.0,calibration,,,,,,,,,,,,,,
introduction,59,278022,0.0-8.0-1.15-0.15,zv3p5snu,,,,,,2665.0,1121,67f1ed7b964c967774fbca74,,1121,,calibration,,,,,,,,,,,,,,
introduction,60,278023,0.0-8.0-2.12,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,61,280029,0.0-8.0-0.13,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,2680.0,calibration,,,,,,,,,,,,,,
introduction,62,282522,0.0-8.0-1.16-0.16,zv3p5snu,,,,,,2489.0,3322,67f1ed7b964c967774fbca74,,3322,,calibration,,,,,,,,,,,,,,
introduction,63,282524,0.0-8.0-2.13,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,64,284528,0.0-8.0-0.14,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,3125.0,calibration,,,,,,,,,,,,,,
introduction,65,287280,0.0-8.0-1.17-0.17,zv3p5snu,,,,,,2747.0,231,67f1ed7b964c967774fbca74,,231,,calibration,,,,,,,,,,,,,,
introduction,66,287282,0.0-8.0-2.14,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,67,289302,0.0-8.0-0.15,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,2539.0,calibration,,,,,,,,,,,,,,
introduction,68,291570,0.0-8.0-1.18-0.18,zv3p5snu,,,,,,2264.0,3322,67f1ed7b964c967774fbca74,,3322,,calibration,,,,,,,,,,,,,,
introduction,69,291571,0.0-8.0-2.15,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,70,293574,0.0-8.0-0.16,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,2663.0,calibration,,,,,,,,,,,,,,
introduction,71,297124,0.0-8.0-1.19-0.19,zv3p5snu,,,,,,3547.0,1213,67f1ed7b964c967774fbca74,,1213,,calibration,,,,,,,,,,,,,,
introduction,72,299132,0.0-8.0-2.16,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,73,301808,0.0-8.0-0.17,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,img/Red_circle.png,1997.0,calibration,,,,,,,,,,,,,,
introduction,74,304262,0.0-8.0-1.20-0.20,zv3p5snu,,,,,,2450.0,123,67f1ed7b964c967774fbca74,,123,,calibration,,,,,,,,,,,,,,
introduction,75,304263,0.0-8.0-2.17,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,76,306263,0.0-8.0-0.18,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,img/Red_circle.png,1266.0,calibration,,,,,,,,,,,,,,
introduction,77,309019,0.0-8.0-1.21-0.21,zv3p5snu,,,,,,2752.0,1333,67f1ed7b964c967774fbca74,,1333,,calibration,,,,,,,,,,,,,,
introduction,78,309021,0.0-8.0-2.18,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,,,,,,,,,,,,,,,,,
introduction,79,310304,0.0-8.0-0.19,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,img/Red_circle.png,1179.0,calibration,,,,,,,,,,,,,,
introduction,80,313944,0.0-8.0-1.22-0.22,zv3p5snu,,,,,,3636.0,331,67f1ed7b964c967774fbca74,,331,,calibration,,,,,,,,,,,,,,
introduction,81,315946,0.0-8.0-2.19,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,82,317141,0.0-8.0-0.20,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,img/Red_circle.png,1377.0,calibration,,,,,,,,,,,,,,
introduction,83,322309,0.0-8.0-1.23-0.23,zv3p5snu,,,,,,5164.0,1113,67f1ed7b964c967774fbca74,,1113,,calibration,,,,,,,,,,,,,,
introduction,84,324316,0.0-8.0-2.20,zv3p5snu,,,,,,,,67f1ed7b964c967774fbca74,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
