trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,54540,0.0-2.0,d1a3s04o,,,,,,19419.0,67f30214cb36ae0391baac33,67f30214cb36ae0391baac33,,,,,,,,,,,,,,,,,,
introduction,3,61653,0.0-3.0,d1a3s04o,,,,,,7111.0,67f30214cb36ae0391baac33,67f30214cb36ae0391baac33,,,,,,,,,,,,,,,,,,
introduction,4,128360,0.0-4.0-0.0,d1a3s04o,,,,,,66607.0,,67f30214cb36ae0391baac33,"[{""page_index"":0,""viewing_time"":1167},{""page_index"":1,""viewing_time"":55884},{""page_index"":2,""viewing_time"":9555}]",,,,,,,,,,,,,,,,,
introduction,5,147241,0.0-5.0-0.0,d1a3s04o,,,,,,18879.0,1,67f30214cb36ae0391baac33,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,148352,0.0-5.0-0.1,d1a3s04o,,,,,,1111.0,2,67f30214cb36ae0391baac33,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,149338,0.0-5.0-0.2,d1a3s04o,,,,,,985.0,1,67f30214cb36ae0391baac33,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,150359,0.0-5.0-0.3,d1a3s04o,,,,,,1021.0,3,67f30214cb36ae0391baac33,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,151241,0.0-5.0-0.4,d1a3s04o,,,,,,882.0,2,67f30214cb36ae0391baac33,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,152328,0.0-5.0-0.5,d1a3s04o,,,,,,1086.0,3,67f30214cb36ae0391baac33,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,153115,0.0-5.0-0.6,d1a3s04o,,,,,,787.0,1,67f30214cb36ae0391baac33,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,153833,0.0-5.0-0.7,d1a3s04o,,,,,,718.0,2,67f30214cb36ae0391baac33,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,154765,0.0-5.0-0.8,d1a3s04o,,,,,,932.0,3,67f30214cb36ae0391baac33,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,156514,0.0-5.0-0.9,d1a3s04o,,,,,,1749.0,2,67f30214cb36ae0391baac33,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,157346,0.0-5.0-0.10,d1a3s04o,,,,,,832.0,1,67f30214cb36ae0391baac33,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,158250,0.0-5.0-0.11,d1a3s04o,,,,,,904.0,3,67f30214cb36ae0391baac33,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,293390,0.0-6.0-0.0,d1a3s04o,,,,,,135138.0,,67f30214cb36ae0391baac33,"[{""page_index"":0,""viewing_time"":2606},{""page_index"":1,""viewing_time"":22944},{""page_index"":2,""viewing_time"":108223},{""page_index"":3,""viewing_time"":1365}]",,,,,,,,,,,,,,,,,
introduction,19,306808,0.0-8.0-0.0,d1a3s04o,,,,,,,,67f30214cb36ae0391baac33,,img/Red_circle.png,1006.0,calibration,,,,,,,,,,,,,,
introduction,20,308491,0.0-8.0-1.0-0.0,d1a3s04o,,,,,,1680.0,32,67f30214cb36ae0391baac33,,32,,calibration,,,,,,,,,,,,,,
introduction,21,308497,0.0-8.0-2.0,d1a3s04o,,,,,,,,67f30214cb36ae0391baac33,,,,,,,,,,,,,,,,,,
introduction,22,309506,0.0-8.0-0.1,d1a3s04o,,,,,,,,67f30214cb36ae0391baac33,,img/Red_circle.png,2684.0,calibration,,,,,,,,,,,,,,
introduction,23,311161,0.0-8.0-1.1-0.1,d1a3s04o,,,,,,1653.0,2111,67f30214cb36ae0391baac33,,2111,,calibration,,,,,,,,,,,,,,
