trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,36517,0.0-2.0,mn8bofmy,,,,,,18457.0,67f7aad3a7a0e1d89275016e,67f7aad3a7a0e1d89275016e,,,,,,,,,,,,,,,,,,
introduction,3,57388,0.0-3.0,mn8bofmy,,,,,,20867.0,67f7aad3a7a0e1d89275016e,67f7aad3a7a0e1d89275016e,,,,,,,,,,,,,,,,,,
introduction,4,86035,0.0-4.0-0.0,mn8bofmy,,,,,,28646.0,,67f7aad3a7a0e1d89275016e,"[{""page_index"":0,""viewing_time"":4302},{""page_index"":1,""viewing_time"":16208},{""page_index"":2,""viewing_time"":8136}]",,,,,,,,,,,,,,,,,
introduction,5,86943,0.0-5.0-0.0,mn8bofmy,,,,,,906.0,1,67f7aad3a7a0e1d89275016e,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,87601,0.0-5.0-0.1,mn8bofmy,,,,,,657.0,2,67f7aad3a7a0e1d89275016e,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,88948,0.0-5.0-0.2,mn8bofmy,,,,,,1346.0,1,67f7aad3a7a0e1d89275016e,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,89828,0.0-5.0-0.3,mn8bofmy,,,,,,879.0,3,67f7aad3a7a0e1d89275016e,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,90627,0.0-5.0-0.4,mn8bofmy,,,,,,797.0,2,67f7aad3a7a0e1d89275016e,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,91475,0.0-5.0-0.5,mn8bofmy,,,,,,848.0,3,67f7aad3a7a0e1d89275016e,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,92394,0.0-5.0-0.6,mn8bofmy,,,,,,918.0,1,67f7aad3a7a0e1d89275016e,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,93073,0.0-5.0-0.7,mn8bofmy,,,,,,678.0,2,67f7aad3a7a0e1d89275016e,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,93782,0.0-5.0-0.8,mn8bofmy,,,,,,708.0,3,67f7aad3a7a0e1d89275016e,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,94580,0.0-5.0-0.9,mn8bofmy,,,,,,798.0,2,67f7aad3a7a0e1d89275016e,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,95260,0.0-5.0-0.10,mn8bofmy,,,,,,679.0,1,67f7aad3a7a0e1d89275016e,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,96537,0.0-5.0-0.11,mn8bofmy,,,,,,1277.0,3,67f7aad3a7a0e1d89275016e,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,168162,0.0-6.0-0.0,mn8bofmy,,,,,,71624.0,,67f7aad3a7a0e1d89275016e,"[{""page_index"":0,""viewing_time"":1529},{""page_index"":1,""viewing_time"":20808},{""page_index"":2,""viewing_time"":47415},{""page_index"":3,""viewing_time"":1872}]",,,,,,,,,,,,,,,,,
introduction,19,194584,0.0-8.0-0.0,mn8bofmy,,,,,,,,67f7aad3a7a0e1d89275016e,,img/Red_circle.png,2587.0,calibration,,,,,,,,,,,,,,
