trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,89200,0.0-2.0,7tbcbacp,,,,,,65440.0,67f932e739a983495ff800f1,67f932e739a983495ff800f1,,,,,,,,,,,,,,,,,,
introduction,3,164591,0.0-3.0,7tbcbacp,,,,,,75383.0,67f932e739a983495ff800f1,67f932e739a983495ff800f1,,,,,,,,,,,,,,,,,,
introduction,4,192059,0.0-4.0-0.0,7tbcbacp,,,,,,27464.0,,67f932e739a983495ff800f1,"[{""page_index"":0,""viewing_time"":10180},{""page_index"":1,""viewing_time"":15715},{""page_index"":2,""viewing_time"":1568}]",,,,,,,,,,,,,,,,,
introduction,5,193523,0.0-5.0-0.0,7tbcbacp,,,,,,1458.0,1,67f932e739a983495ff800f1,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,194145,0.0-5.0-0.1,7tbcbacp,,,,,,620.0,2,67f932e739a983495ff800f1,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,194942,0.0-5.0-0.2,7tbcbacp,,,,,,795.0,1,67f932e739a983495ff800f1,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,195750,0.0-5.0-0.3,7tbcbacp,,,,,,806.0,3,67f932e739a983495ff800f1,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,196538,0.0-5.0-0.4,7tbcbacp,,,,,,786.0,2,67f932e739a983495ff800f1,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,197240,0.0-5.0-0.5,7tbcbacp,,,,,,700.0,3,67f932e739a983495ff800f1,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,198057,0.0-5.0-0.6,7tbcbacp,,,,,,815.0,1,67f932e739a983495ff800f1,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,198780,0.0-5.0-0.7,7tbcbacp,,,,,,721.0,2,67f932e739a983495ff800f1,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,199442,0.0-5.0-0.8,7tbcbacp,,,,,,661.0,3,67f932e739a983495ff800f1,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,200109,0.0-5.0-0.9,7tbcbacp,,,,,,665.0,2,67f932e739a983495ff800f1,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,200758,0.0-5.0-0.10,7tbcbacp,,,,,,647.0,1,67f932e739a983495ff800f1,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,201551,0.0-5.0-0.11,7tbcbacp,,,,,,792.0,3,67f932e739a983495ff800f1,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,278959,0.0-6.0-0.0,7tbcbacp,,,,,,77407.0,,67f932e739a983495ff800f1,"[{""page_index"":0,""viewing_time"":2865},{""page_index"":1,""viewing_time"":28947},{""page_index"":2,""viewing_time"":43093},{""page_index"":3,""viewing_time"":2502}]",,,,,,,,,,,,,,,,,
introduction,19,324978,0.0-8.0-0.0,7tbcbacp,,,,,,,,67f932e739a983495ff800f1,,img/Red_circle.png,3144.0,calibration,,,,,,,,,,,,,,
introduction,20,331978,0.0-8.0-1.0-0.0,7tbcbacp,,,,,,6996.0,321,67f932e739a983495ff800f1,,321,,calibration,,,,,,,,,,,,,,
