trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,113357,0.0-2.0,1rcmxjxt,,,,,,18181.0,67fcf53850ef90b53b702b88,67fcf53850ef90b53b702b88,,,,,,,,,,,,,,,,,,
introduction,3,121773,0.0-3.0,1rcmxjxt,,,,,,8412.0,67fcf53850ef90b53b702b88,67fcf53850ef90b53b702b88,,,,,,,,,,,,,,,,,,
introduction,4,150021,0.0-4.0-0.0,1rcmxjxt,,,,,,28247.0,,67fcf53850ef90b53b702b88,"[{""page_index"":0,""viewing_time"":3069},{""page_index"":1,""viewing_time"":19386},{""page_index"":2,""viewing_time"":5793}]",,,,,,,,,,,,,,,,,
introduction,5,151922,0.0-5.0-0.0,1rcmxjxt,,,,,,1900.0,1,67fcf53850ef90b53b702b88,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,153101,0.0-5.0-0.1,1rcmxjxt,,,,,,1178.0,2,67fcf53850ef90b53b702b88,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,155995,0.0-5.0-0.2,1rcmxjxt,,,,,,2892.0,1,67fcf53850ef90b53b702b88,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,157580,0.0-5.0-0.3,1rcmxjxt,,,,,,1584.0,3,67fcf53850ef90b53b702b88,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,158591,0.0-5.0-0.4,1rcmxjxt,,,,,,1011.0,2,67fcf53850ef90b53b702b88,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,159777,0.0-5.0-0.5,1rcmxjxt,,,,,,1185.0,3,67fcf53850ef90b53b702b88,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,160867,0.0-5.0-0.6,1rcmxjxt,,,,,,1090.0,1,67fcf53850ef90b53b702b88,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,161730,0.0-5.0-0.7,1rcmxjxt,,,,,,862.0,2,67fcf53850ef90b53b702b88,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,162509,0.0-5.0-0.8,1rcmxjxt,,,,,,778.0,3,67fcf53850ef90b53b702b88,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,163211,0.0-5.0-0.9,1rcmxjxt,,,,,,702.0,2,67fcf53850ef90b53b702b88,,Press: 2,,,,,,,,,,,,,,,,
