trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,12242,0.0-2.0,va9n2fxj,,,,,,7400.0,680efbd46f467dec59f77b68,680efbd46f467dec59f77b68,,,,,,,,,,,,,,,,,,
introduction,3,15365,0.0-3.0,va9n2fxj,,,,,,3120.0,680efbd46f467dec59f77b68,680efbd46f467dec59f77b68,,,,,,,,,,,,,,,,,,
introduction,4,33146,0.0-4.0-0.0,va9n2fxj,,,,,,17780.0,,680efbd46f467dec59f77b68,"[{""page_index"":0,""viewing_time"":1365},{""page_index"":1,""viewing_time"":14633},{""page_index"":2,""viewing_time"":1782}]",,,,,,,,,,,,,,,,,
introduction,5,33704,0.0-5.0-0.0,va9n2fxj,,,,,,557.0,1,680efbd46f467dec59f77b68,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,34320,0.0-5.0-0.1,va9n2fxj,,,,,,616.0,2,680efbd46f467dec59f77b68,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,35277,0.0-5.0-0.2,va9n2fxj,,,,,,956.0,1,680efbd46f467dec59f77b68,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,36086,0.0-5.0-0.3,va9n2fxj,,,,,,809.0,3,680efbd46f467dec59f77b68,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,36876,0.0-5.0-0.4,va9n2fxj,,,,,,790.0,2,680efbd46f467dec59f77b68,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,37607,0.0-5.0-0.5,va9n2fxj,,,,,,730.0,3,680efbd46f467dec59f77b68,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,38246,0.0-5.0-0.6,va9n2fxj,,,,,,639.0,1,680efbd46f467dec59f77b68,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,38832,0.0-5.0-0.7,va9n2fxj,,,,,,586.0,2,680efbd46f467dec59f77b68,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,39461,0.0-5.0-0.8,va9n2fxj,,,,,,628.0,3,680efbd46f467dec59f77b68,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,40089,0.0-5.0-0.9,va9n2fxj,,,,,,628.0,2,680efbd46f467dec59f77b68,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,40639,0.0-5.0-0.10,va9n2fxj,,,,,,549.0,1,680efbd46f467dec59f77b68,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,41443,0.0-5.0-0.11,va9n2fxj,,,,,,804.0,3,680efbd46f467dec59f77b68,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,89639,0.0-6.0-0.0,va9n2fxj,,,,,,48196.0,,680efbd46f467dec59f77b68,"[{""page_index"":0,""viewing_time"":1696},{""page_index"":1,""viewing_time"":6258},{""page_index"":2,""viewing_time"":38182},{""page_index"":3,""viewing_time"":2060}]",,,,,,,,,,,,,,,,,
introduction,19,110724,0.0-8.0-0.0,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,img/Red_circle.png,1724.0,calibration,,,,,,,,,,,,,,
introduction,20,113450,0.0-8.0-1.0-0.0,va9n2fxj,,,,,,2723.0,3322,680efbd46f467dec59f77b68,,3322,,calibration,,,,,,,,,,,,,,
introduction,21,113451,0.0-8.0-2.0,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,,,,,,,,,,,,,,,,,
introduction,22,115181,0.0-8.0-0.1,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,img/Red_circle.png,1040.0,calibration,,,,,,,,,,,,,,
introduction,23,117147,0.0-8.0-1.1-0.1,va9n2fxj,,,,,,1964.0,3332,680efbd46f467dec59f77b68,,3332,,calibration,,,,,,,,,,,,,,
introduction,24,117147,0.0-8.0-2.1,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,,,,,,,,,,,,,,,,,
introduction,25,118190,0.0-8.0-0.2,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,img/Red_circle.png,1135.0,calibration,,,,,,,,,,,,,,
introduction,26,120470,0.0-8.0-1.2-0.2,va9n2fxj,,,,,,2278.0,1313,680efbd46f467dec59f77b68,,1313,,calibration,,,,,,,,,,,,,,
introduction,27,120471,0.0-8.0-2.2,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,,,,,,,,,,,,,,,,,
introduction,28,121615,0.0-8.0-0.3,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,img/Red_circle.png,1044.0,calibration,,,,,,,,,,,,,,
introduction,29,123447,0.0-8.0-1.3-0.3,va9n2fxj,,,,,,1830.0,2322,680efbd46f467dec59f77b68,,2322,,calibration,,,,,,,,,,,,,,
introduction,30,123447,0.0-8.0-2.3,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,,,,,,,,,,,,,,,,,
introduction,31,124507,0.0-8.0-0.4,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,img/Red_circle.png,2416.0,calibration,,,,,,,,,,,,,,
introduction,32,126670,0.0-8.0-1.4-0.4,va9n2fxj,,,,,,2160.0,2123,680efbd46f467dec59f77b68,,2123,,calibration,,,,,,,,,,,,,,
introduction,33,126671,0.0-8.0-2.4,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,,,,,,,,,,,,,,,,,
introduction,34,128684,0.0-8.0-0.5,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,<p>CAREFUL. That was too slow.</p>,1792.0,calibration,,,,,,,,,,,,,,
introduction,35,131732,0.0-8.0-1.5-0.5,va9n2fxj,,,,,,3046.0,212,680efbd46f467dec59f77b68,,212,,calibration,,,,,,,,,,,,,,
introduction,36,131733,0.0-8.0-2.5,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,,,,,,,,,,,,,,,,,
introduction,37,133539,0.0-8.0-0.6,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,img/Red_circle.png,2074.0,calibration,,,,,,,,,,,,,,
introduction,38,135270,0.0-8.0-1.6-0.6,va9n2fxj,,,,,,1730.0,1322,680efbd46f467dec59f77b68,,1322,,calibration,,,,,,,,,,,,,,
introduction,39,135271,0.0-8.0-2.6,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,,,,,,,,,,,,,,,,,
introduction,40,137285,0.0-8.0-0.7,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,<p>CAREFUL. That was too slow.</p>,2868.0,calibration,,,,,,,,,,,,,,
introduction,41,139251,0.0-8.0-1.7-0.7,va9n2fxj,,,,,,1963.0,2222,680efbd46f467dec59f77b68,,2222,,calibration,,,,,,,,,,,,,,
introduction,42,139252,0.0-8.0-2.7,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,,,,,,,,,,,,,,,,,
introduction,43,141261,0.0-8.0-0.8,va9n2fxj,,,,,,,,680efbd46f467dec59f77b68,,<p>CAREFUL. That was too slow.</p>,1989.0,calibration,,,,,,,,,,,,,,
