trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,52052,0.0-2.0,u5djvvq3,,,,,,21414.0,681b921571bbe8c5b81b858d,681b921571bbe8c5b81b858d,,,,,,,,,,,,,,,,,,
introduction,3,59779,0.0-3.0,u5djvvq3,,,,,,7721.0,681b921571bbe8c5b81b858d,681b921571bbe8c5b81b858d,,,,,,,,,,,,,,,,,,
introduction,4,78383,0.0-4.0-0.0,u5djvvq3,,,,,,18603.0,,681b921571bbe8c5b81b858d,"[{""page_index"":0,""viewing_time"":2988},{""page_index"":1,""viewing_time"":13593},{""page_index"":2,""viewing_time"":2021}]",,,,,,,,,,,,,,,,,
introduction,5,79979,0.0-5.0-0.0,u5djvvq3,,,,,,1593.0,1,681b921571bbe8c5b81b858d,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,80955,0.0-5.0-0.1,u5djvvq3,,,,,,973.0,2,681b921571bbe8c5b81b858d,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,82557,0.0-5.0-0.2,u5djvvq3,,,,,,1600.0,1,681b921571bbe8c5b81b858d,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,84085,0.0-5.0-0.3,u5djvvq3,,,,,,1525.0,3,681b921571bbe8c5b81b858d,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,85071,0.0-5.0-0.4,u5djvvq3,,,,,,984.0,2,681b921571bbe8c5b81b858d,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,85877,0.0-5.0-0.5,u5djvvq3,,,,,,805.0,3,681b921571bbe8c5b81b858d,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,86800,0.0-5.0-0.6,u5djvvq3,,,,,,922.0,1,681b921571bbe8c5b81b858d,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,87731,0.0-5.0-0.7,u5djvvq3,,,,,,929.0,2,681b921571bbe8c5b81b858d,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,88483,0.0-5.0-0.8,u5djvvq3,,,,,,751.0,3,681b921571bbe8c5b81b858d,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,89324,0.0-5.0-0.9,u5djvvq3,,,,,,838.0,2,681b921571bbe8c5b81b858d,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,90016,0.0-5.0-0.10,u5djvvq3,,,,,,691.0,1,681b921571bbe8c5b81b858d,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,90903,0.0-5.0-0.11,u5djvvq3,,,,,,886.0,3,681b921571bbe8c5b81b858d,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,225511,0.0-6.0-0.0,u5djvvq3,,,,,,134607.0,,681b921571bbe8c5b81b858d,"[{""page_index"":0,""viewing_time"":2323},{""page_index"":1,""viewing_time"":47232},{""page_index"":2,""viewing_time"":71380},{""page_index"":3,""viewing_time"":13672}]",,,,,,,,,,,,,,,,,
introduction,19,277211,0.0-8.0-0.0,u5djvvq3,,,,,,,,681b921571bbe8c5b81b858d,,img/Red_circle.png,2734.0,calibration,,,,,,,,,,,,,,
introduction,20,280563,0.0-8.0-1.0-0.0,u5djvvq3,,,,,,3346.0,333,681b921571bbe8c5b81b858d,,333,,calibration,,,,,,,,,,,,,,
introduction,21,280565,0.0-8.0-2.0,u5djvvq3,,,,,,,,681b921571bbe8c5b81b858d,,,,,,,,,,,,,,,,,,
introduction,22,282573,0.0-8.0-0.1,u5djvvq3,,,,,,,,681b921571bbe8c5b81b858d,,<p>CAREFUL. That was too slow.</p>,3071.0,calibration,,,,,,,,,,,,,,
introduction,23,285021,0.0-8.0-1.1-0.1,u5djvvq3,,,,,,2440.0,3211,681b921571bbe8c5b81b858d,,3211,,calibration,,,,,,,,,,,,,,
introduction,24,285022,0.0-8.0-2.1,u5djvvq3,,,,,,,,681b921571bbe8c5b81b858d,,,,,,,,,,,,,,,,,,
