trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,68412,0.0-2.0,nj75u945,,,,,,45054.0,6827ba6e0560bc0160cd172c,6827ba6e0560bc0160cd172c,,,,,,,,,,,,,,,,,,
introduction,3,74242,0.0-3.0,nj75u945,,,,,,5805.0,6827ba6e0560bc0160cd172c,6827ba6e0560bc0160cd172c,,,,,,,,,,,,,,,,,,
introduction,4,331803,0.0-4.0-0.0,nj75u945,,,,,,257558.0,,6827ba6e0560bc0160cd172c,"[{""page_index"":0,""viewing_time"":3922},{""page_index"":1,""viewing_time"":251689},{""page_index"":2,""viewing_time"":1947}]",,,,,,,,,,,,,,,,,
introduction,5,333116,0.0-5.0-0.0,nj75u945,,,,,,1310.0,1,6827ba6e0560bc0160cd172c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,334378,0.0-5.0-0.1,nj75u945,,,,,,1262.0,2,6827ba6e0560bc0160cd172c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,335683,0.0-5.0-0.2,nj75u945,,,,,,1304.0,1,6827ba6e0560bc0160cd172c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,336774,0.0-5.0-0.3,nj75u945,,,,,,1090.0,3,6827ba6e0560bc0160cd172c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,337798,0.0-5.0-0.4,nj75u945,,,,,,1023.0,2,6827ba6e0560bc0160cd172c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,338856,0.0-5.0-0.5,nj75u945,,,,,,1058.0,3,6827ba6e0560bc0160cd172c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,339763,0.0-5.0-0.6,nj75u945,,,,,,905.0,1,6827ba6e0560bc0160cd172c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,340623,0.0-5.0-0.7,nj75u945,,,,,,859.0,2,6827ba6e0560bc0160cd172c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,341540,0.0-5.0-0.8,nj75u945,,,,,,916.0,3,6827ba6e0560bc0160cd172c,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,342522,0.0-5.0-0.9,nj75u945,,,,,,982.0,2,6827ba6e0560bc0160cd172c,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,343449,0.0-5.0-0.10,nj75u945,,,,,,926.0,1,6827ba6e0560bc0160cd172c,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,344367,0.0-5.0-0.11,nj75u945,,,,,,917.0,3,6827ba6e0560bc0160cd172c,,Press: 3,,,,,,,,,,,,,,,,
