trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,21306,0.0-2.0,5ec0noxf,,,,,,7024.0,68293616d33902ce5a607c0f,68293616d33902ce5a607c0f,,,,,,,,,,,,,,,,,,
introduction,3,27594,0.0-3.0,5ec0noxf,,,,,,6285.0,68293616d33902ce5a607c0f,68293616d33902ce5a607c0f,,,,,,,,,,,,,,,,,,
introduction,4,35273,0.0-4.0-0.0,5ec0noxf,,,,,,7678.0,,68293616d33902ce5a607c0f,"[{""page_index"":0,""viewing_time"":1687},{""page_index"":1,""viewing_time"":3087},{""page_index"":2,""viewing_time"":2904}]",,,,,,,,,,,,,,,,,
introduction,5,39132,0.0-5.0-0.0,5ec0noxf,,,,,,3858.0,1,68293616d33902ce5a607c0f,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,40775,0.0-5.0-0.1,5ec0noxf,,,,,,1642.0,2,68293616d33902ce5a607c0f,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,41995,0.0-5.0-0.2,5ec0noxf,,,,,,1219.0,1,68293616d33902ce5a607c0f,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,43246,0.0-5.0-0.3,5ec0noxf,,,,,,1250.0,3,68293616d33902ce5a607c0f,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,44356,0.0-5.0-0.4,5ec0noxf,,,,,,1108.0,2,68293616d33902ce5a607c0f,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,45514,0.0-5.0-0.5,5ec0noxf,,,,,,1158.0,3,68293616d33902ce5a607c0f,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,46453,0.0-5.0-0.6,5ec0noxf,,,,,,938.0,1,68293616d33902ce5a607c0f,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,47573,0.0-5.0-0.7,5ec0noxf,,,,,,1119.0,2,68293616d33902ce5a607c0f,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,48501,0.0-5.0-0.8,5ec0noxf,,,,,,927.0,3,68293616d33902ce5a607c0f,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,49521,0.0-5.0-0.9,5ec0noxf,,,,,,1018.0,2,68293616d33902ce5a607c0f,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,50359,0.0-5.0-0.10,5ec0noxf,,,,,,838.0,1,68293616d33902ce5a607c0f,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,51245,0.0-5.0-0.11,5ec0noxf,,,,,,885.0,3,68293616d33902ce5a607c0f,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,73105,0.0-6.0-0.0,5ec0noxf,,,,,,21859.0,,68293616d33902ce5a607c0f,"[{""page_index"":0,""viewing_time"":2347},{""page_index"":1,""viewing_time"":3200},{""page_index"":2,""viewing_time"":13320},{""page_index"":3,""viewing_time"":2992}]",,,,,,,,,,,,,,,,,
introduction,19,97706,0.0-8.0-0.0,5ec0noxf,,,,,,,,68293616d33902ce5a607c0f,,img/Red_circle.png,3071.0,calibration,,,,,,,,,,,,,,
