trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,46781,0.0-2.0,20sq92g9,,,,,,34210.0,682ce8402db638d0f3f409e8,682ce8402db638d0f3f409e8,,,,,,,,,,,,,,,,,,
introduction,3,49671,0.0-3.0,20sq92g9,,,,,,2884.0,682ce8402db638d0f3f409e8,682ce8402db638d0f3f409e8,,,,,,,,,,,,,,,,,,
introduction,4,57366,0.0-4.0-0.0,20sq92g9,,,,,,7691.0,,682ce8402db638d0f3f409e8,"[{""page_index"":0,""viewing_time"":1656},{""page_index"":1,""viewing_time"":5031},{""page_index"":2,""viewing_time"":1003}]",,,,,,,,,,,,,,,,,
introduction,5,58674,0.0-5.0-0.0,20sq92g9,,,,,,1306.0,1,682ce8402db638d0f3f409e8,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,59481,0.0-5.0-0.1,20sq92g9,,,,,,805.0,2,682ce8402db638d0f3f409e8,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,61128,0.0-5.0-0.2,20sq92g9,,,,,,1646.0,1,682ce8402db638d0f3f409e8,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,62094,0.0-5.0-0.3,20sq92g9,,,,,,965.0,3,682ce8402db638d0f3f409e8,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,63035,0.0-5.0-0.4,20sq92g9,,,,,,940.0,2,682ce8402db638d0f3f409e8,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,64077,0.0-5.0-0.5,20sq92g9,,,,,,1040.0,3,682ce8402db638d0f3f409e8,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,65002,0.0-5.0-0.6,20sq92g9,,,,,,925.0,1,682ce8402db638d0f3f409e8,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,65839,0.0-5.0-0.7,20sq92g9,,,,,,836.0,2,682ce8402db638d0f3f409e8,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,66856,0.0-5.0-0.8,20sq92g9,,,,,,1016.0,3,682ce8402db638d0f3f409e8,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,67683,0.0-5.0-0.9,20sq92g9,,,,,,825.0,2,682ce8402db638d0f3f409e8,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,68406,0.0-5.0-0.10,20sq92g9,,,,,,723.0,1,682ce8402db638d0f3f409e8,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,69401,0.0-5.0-0.11,20sq92g9,,,,,,994.0,3,682ce8402db638d0f3f409e8,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,74965,0.0-6.0-0.0,20sq92g9,,,,,,5563.0,,682ce8402db638d0f3f409e8,"[{""page_index"":0,""viewing_time"":1234},{""page_index"":1,""viewing_time"":1253},{""page_index"":2,""viewing_time"":2050},{""page_index"":3,""viewing_time"":1026}]",,,,,,,,,,,,,,,,,
introduction,19,94964,0.0-8.0-0.0,20sq92g9,,,,,,,,682ce8402db638d0f3f409e8,,img/Red_circle.png,2129.0,calibration,,,,,,,,,,,,,,
introduction,20,98686,0.0-8.0-1.0-0.0,20sq92g9,,,,,,3714.0,3331,682ce8402db638d0f3f409e8,,3331,,calibration,,,,,,,,,,,,,,
introduction,21,100691,0.0-8.0-2.0,20sq92g9,,,,,,,,682ce8402db638d0f3f409e8,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,102825,0.0-8.0-0.1,20sq92g9,,,,,,,,682ce8402db638d0f3f409e8,,img/Red_circle.png,2738.0,calibration,,,,,,,,,,,,,,
introduction,23,105112,0.0-8.0-1.1-0.1,20sq92g9,,,,,,2283.0,31,682ce8402db638d0f3f409e8,,31,,calibration,,,,,,,,,,,,,,
introduction,24,105115,0.0-8.0-2.1,20sq92g9,,,,,,,,682ce8402db638d0f3f409e8,,,,,,,,,,,,,,,,,,
introduction,25,107116,0.0-8.0-0.2,20sq92g9,,,,,,,,682ce8402db638d0f3f409e8,,<p>CAREFUL. That was too slow.</p>,2505.0,calibration,,,,,,,,,,,,,,
introduction,26,110407,0.0-8.0-1.2-0.2,20sq92g9,,,,,,3287.0,3112,682ce8402db638d0f3f409e8,,3112,,calibration,,,,,,,,,,,,,,
introduction,27,110410,0.0-8.0-2.2,20sq92g9,,,,,,,,682ce8402db638d0f3f409e8,,,,,,,,,,,,,,,,,,
introduction,28,112410,0.0-8.0-0.3,20sq92g9,,,,,,,,682ce8402db638d0f3f409e8,,<p>CAREFUL. That was too slow.</p>,1132.0,calibration,,,,,,,,,,,,,,
introduction,29,115317,0.0-8.0-1.3-0.3,20sq92g9,,,,,,2902.0,2311,682ce8402db638d0f3f409e8,,2311,,calibration,,,,,,,,,,,,,,
introduction,30,115320,0.0-8.0-2.3,20sq92g9,,,,,,,,682ce8402db638d0f3f409e8,,,,,,,,,,,,,,,,,,
introduction,31,116457,0.0-8.0-0.4,20sq92g9,,,,,,,,682ce8402db638d0f3f409e8,,img/Red_circle.png,2239.0,calibration,,,,,,,,,,,,,,
introduction,32,119088,0.0-8.0-1.4-0.4,20sq92g9,,,,,,2627.0,2111,682ce8402db638d0f3f409e8,,2111,,calibration,,,,,,,,,,,,,,
introduction,33,119091,0.0-8.0-2.4,20sq92g9,,,,,,,,682ce8402db638d0f3f409e8,,,,,,,,,,,,,,,,,,
