trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,37702,0.0-2.0,fsjqyyy5,,,,,,18750.0,682e528d1bb4dc5bcdd31011,682e528d1bb4dc5bcdd31011,,,,,,,,,,,,,,,,,,
introduction,3,46802,0.0-3.0,fsjqyyy5,,,,,,9096.0,682e528d1bb4dc5bcdd31011,682e528d1bb4dc5bcdd31011,,,,,,,,,,,,,,,,,,
introduction,4,58035,0.0-4.0-0.0,fsjqyyy5,,,,,,11231.0,,682e528d1bb4dc5bcdd31011,"[{""page_index"":0,""viewing_time"":1665},{""page_index"":1,""viewing_time"":6763},{""page_index"":2,""viewing_time"":2803}]",,,,,,,,,,,,,,,,,
introduction,5,58965,0.0-5.0-0.0,fsjqyyy5,,,,,,928.0,1,682e528d1bb4dc5bcdd31011,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,59907,0.0-5.0-0.1,fsjqyyy5,,,,,,940.0,2,682e528d1bb4dc5bcdd31011,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,61289,0.0-5.0-0.2,fsjqyyy5,,,,,,1380.0,1,682e528d1bb4dc5bcdd31011,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,62307,0.0-5.0-0.3,fsjqyyy5,,,,,,1017.0,3,682e528d1bb4dc5bcdd31011,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,63248,0.0-5.0-0.4,fsjqyyy5,,,,,,939.0,2,682e528d1bb4dc5bcdd31011,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,64212,0.0-5.0-0.5,fsjqyyy5,,,,,,963.0,3,682e528d1bb4dc5bcdd31011,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,65035,0.0-5.0-0.6,fsjqyyy5,,,,,,822.0,1,682e528d1bb4dc5bcdd31011,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,65949,0.0-5.0-0.7,fsjqyyy5,,,,,,913.0,2,682e528d1bb4dc5bcdd31011,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,66983,0.0-5.0-0.8,fsjqyyy5,,,,,,1033.0,3,682e528d1bb4dc5bcdd31011,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,67750,0.0-5.0-0.9,fsjqyyy5,,,,,,766.0,2,682e528d1bb4dc5bcdd31011,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,68512,0.0-5.0-0.10,fsjqyyy5,,,,,,761.0,1,682e528d1bb4dc5bcdd31011,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,69233,0.0-5.0-0.11,fsjqyyy5,,,,,,720.0,3,682e528d1bb4dc5bcdd31011,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,126303,0.0-6.0-0.0,fsjqyyy5,,,,,,57068.0,,682e528d1bb4dc5bcdd31011,"[{""page_index"":0,""viewing_time"":1552},{""page_index"":1,""viewing_time"":4799},{""page_index"":2,""viewing_time"":49036},{""page_index"":3,""viewing_time"":1682}]",,,,,,,,,,,,,,,,,
introduction,19,164014,0.0-8.0-0.0,fsjqyyy5,,,,,,,,682e528d1bb4dc5bcdd31011,,img/Red_circle.png,2478.0,calibration,,,,,,,,,,,,,,
introduction,20,166339,0.0-8.0-1.0-0.0,fsjqyyy5,,,,,,2320.0,311,682e528d1bb4dc5bcdd31011,,311,,calibration,,,,,,,,,,,,,,
introduction,21,166341,0.0-8.0-2.0,fsjqyyy5,,,,,,,,682e528d1bb4dc5bcdd31011,,,,,,,,,,,,,,,,,,
introduction,22,168344,0.0-8.0-0.1,fsjqyyy5,,,,,,,,682e528d1bb4dc5bcdd31011,,<p>CAREFUL. That was too slow.</p>,3389.0,calibration,,,,,,,,,,,,,,
introduction,23,173165,0.0-8.0-1.1-0.1,fsjqyyy5,,,,,,4815.0,2231,682e528d1bb4dc5bcdd31011,,2231,,calibration,,,,,,,,,,,,,,
