trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,20070,0.0-2.0,es5u5ws0,,,,,,4313.0,682f82fa178e2c617ad65628,682f82fa178e2c617ad65628,,,,,,,,,,,,,,,,,,
introduction,3,23518,0.0-3.0,es5u5ws0,,,,,,3443.0,682f82fa178e2c617ad65628,682f82fa178e2c617ad65628,,,,,,,,,,,,,,,,,,
introduction,4,31961,0.0-4.0-0.0,es5u5ws0,,,,,,8442.0,,682f82fa178e2c617ad65628,"[{""page_index"":0,""viewing_time"":1379},{""page_index"":1,""viewing_time"":5630},{""page_index"":2,""viewing_time"":1433}]",,,,,,,,,,,,,,,,,
introduction,5,33261,0.0-5.0-0.0,es5u5ws0,,,,,,1296.0,1,682f82fa178e2c617ad65628,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,34177,0.0-5.0-0.1,es5u5ws0,,,,,,915.0,2,682f82fa178e2c617ad65628,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,35656,0.0-5.0-0.2,es5u5ws0,,,,,,1478.0,1,682f82fa178e2c617ad65628,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,36876,0.0-5.0-0.3,es5u5ws0,,,,,,1219.0,3,682f82fa178e2c617ad65628,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,37960,0.0-5.0-0.4,es5u5ws0,,,,,,1084.0,2,682f82fa178e2c617ad65628,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,38732,0.0-5.0-0.5,es5u5ws0,,,,,,771.0,3,682f82fa178e2c617ad65628,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,39599,0.0-5.0-0.6,es5u5ws0,,,,,,867.0,1,682f82fa178e2c617ad65628,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,40502,0.0-5.0-0.7,es5u5ws0,,,,,,901.0,2,682f82fa178e2c617ad65628,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,41381,0.0-5.0-0.8,es5u5ws0,,,,,,878.0,3,682f82fa178e2c617ad65628,,Press: 3,,,,,,,,,,,,,,,,
