trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,28137,0.0-2.0,e8l4wc0e,,,,,,7088.0,68337aedd4a04db086c76927,68337aedd4a04db086c76927,,,,,,,,,,,,,,,,,,
introduction,3,32684,0.0-3.0,e8l4wc0e,,,,,,4543.0,68337aedd4a04db086c76927,68337aedd4a04db086c76927,,,,,,,,,,,,,,,,,,
introduction,4,41537,0.0-4.0-0.0,e8l4wc0e,,,,,,8852.0,,68337aedd4a04db086c76927,"[{""page_index"":0,""viewing_time"":1926},{""page_index"":1,""viewing_time"":5923},{""page_index"":2,""viewing_time"":1003}]",,,,,,,,,,,,,,,,,
introduction,5,43612,0.0-5.0-0.0,e8l4wc0e,,,,,,2072.0,1,68337aedd4a04db086c76927,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,44488,0.0-5.0-0.1,e8l4wc0e,,,,,,873.0,2,68337aedd4a04db086c76927,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,45798,0.0-5.0-0.2,e8l4wc0e,,,,,,1308.0,1,68337aedd4a04db086c76927,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,46867,0.0-5.0-0.3,e8l4wc0e,,,,,,1067.0,3,68337aedd4a04db086c76927,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,48906,0.0-5.0-0.4,e8l4wc0e,,,,,,2038.0,2,68337aedd4a04db086c76927,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,49507,0.0-5.0-0.5,e8l4wc0e,,,,,,599.0,3,68337aedd4a04db086c76927,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,50140,0.0-5.0-0.6,e8l4wc0e,,,,,,632.0,1,68337aedd4a04db086c76927,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,50903,0.0-5.0-0.7,e8l4wc0e,,,,,,761.0,2,68337aedd4a04db086c76927,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,51554,0.0-5.0-0.8,e8l4wc0e,,,,,,650.0,3,68337aedd4a04db086c76927,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,52202,0.0-5.0-0.9,e8l4wc0e,,,,,,646.0,2,68337aedd4a04db086c76927,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,52976,0.0-5.0-0.10,e8l4wc0e,,,,,,773.0,1,68337aedd4a04db086c76927,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,53574,0.0-5.0-0.11,e8l4wc0e,,,,,,597.0,3,68337aedd4a04db086c76927,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,83783,0.0-6.0-0.0,e8l4wc0e,,,,,,30208.0,,68337aedd4a04db086c76927,"[{""page_index"":0,""viewing_time"":1371},{""page_index"":1,""viewing_time"":2310},{""page_index"":2,""viewing_time"":25355},{""page_index"":3,""viewing_time"":1171}]",,,,,,,,,,,,,,,,,
