trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,36616,0.0-2.0,tcnn3q5d,,,,,,12853.0,6833c0226796331f4757056c,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,3,58384,0.0-3.0,tcnn3q5d,,,,,,21764.0,6833c0226796331f4757056c,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,4,71879,0.0-4.0-0.0,tcnn3q5d,,,,,,13494.0,,6833c0226796331f4757056c,"[{""page_index"":0,""viewing_time"":2454},{""page_index"":1,""viewing_time"":9847},{""page_index"":2,""viewing_time"":1192}]",,,,,,,,,,,,,,,,,
introduction,5,74704,0.0-5.0-0.0,tcnn3q5d,,,,,,2823.0,1,6833c0226796331f4757056c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,75720,0.0-5.0-0.1,tcnn3q5d,,,,,,1015.0,2,6833c0226796331f4757056c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,77388,0.0-5.0-0.2,tcnn3q5d,,,,,,1666.0,1,6833c0226796331f4757056c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,78604,0.0-5.0-0.3,tcnn3q5d,,,,,,1215.0,3,6833c0226796331f4757056c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,79722,0.0-5.0-0.4,tcnn3q5d,,,,,,1116.0,2,6833c0226796331f4757056c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,81103,0.0-5.0-0.5,tcnn3q5d,,,,,,1379.0,3,6833c0226796331f4757056c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,82229,0.0-5.0-0.6,tcnn3q5d,,,,,,1125.0,1,6833c0226796331f4757056c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,83081,0.0-5.0-0.7,tcnn3q5d,,,,,,850.0,2,6833c0226796331f4757056c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,85429,0.0-5.0-0.8,tcnn3q5d,,,,,,2348.0,3,6833c0226796331f4757056c,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,86508,0.0-5.0-0.9,tcnn3q5d,,,,,,1077.0,2,6833c0226796331f4757056c,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,90361,0.0-5.0-0.10,tcnn3q5d,,,,,,3852.0,1,6833c0226796331f4757056c,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,91084,0.0-5.0-0.11,tcnn3q5d,,,,,,722.0,3,6833c0226796331f4757056c,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,123184,0.0-6.0-0.0,tcnn3q5d,,,,,,32098.0,,6833c0226796331f4757056c,"[{""page_index"":0,""viewing_time"":3354},{""page_index"":1,""viewing_time"":3265},{""page_index"":2,""viewing_time"":23392},{""page_index"":3,""viewing_time"":2088}]",,,,,,,,,,,,,,,,,
introduction,19,147614,0.0-8.0-0.0,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,img/Red_circle.png,1732.0,calibration,,,,,,,,,,,,,,
introduction,20,151320,0.0-8.0-1.0-0.0,tcnn3q5d,,,,,,3701.0,321,6833c0226796331f4757056c,,213,,calibration,,,,,,,,,,,,,,
introduction,21,158433,0.0-8.0-1.1-0.1,tcnn3q5d,,,,,,7106.0,312,6833c0226796331f4757056c,,213,,calibration,,,,,,,,,,,,,,
introduction,22,166929,0.0-8.0-1.2-0.2,tcnn3q5d,,,,,,8491.0,3,6833c0226796331f4757056c,,213,,calibration,,,,,,,,,,,,,,
introduction,23,172180,0.0-8.0-1.3-0.3,tcnn3q5d,,,,,,5246.0,213,6833c0226796331f4757056c,,213,,calibration,,,,,,,,,,,,,,
introduction,24,174183,0.0-8.0-2.0,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,25,175925,0.0-8.0-0.1,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,img/Red_circle.png,2644.0,calibration,,,,,,,,,,,,,,
introduction,26,177886,0.0-8.0-1.4-0.4,tcnn3q5d,,,,,,1956.0,33,6833c0226796331f4757056c,,33,,calibration,,,,,,,,,,,,,,
introduction,27,177888,0.0-8.0-2.1,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,28,179903,0.0-8.0-0.2,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,1286.0,calibration,,,,,,,,,,,,,,
introduction,29,182632,0.0-8.0-1.5-0.5,tcnn3q5d,,,,,,2721.0,3313,6833c0226796331f4757056c,,3313,,calibration,,,,,,,,,,,,,,
introduction,30,182633,0.0-8.0-2.2,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,31,183934,0.0-8.0-0.3,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,img/Red_circle.png,2183.0,calibration,,,,,,,,,,,,,,
introduction,32,185931,0.0-8.0-1.6-0.6,tcnn3q5d,,,,,,1993.0,1211,6833c0226796331f4757056c,,1211,,calibration,,,,,,,,,,,,,,
introduction,33,185932,0.0-8.0-2.3,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,34,187945,0.0-8.0-0.4,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,2543.0,calibration,,,,,,,,,,,,,,
introduction,35,189727,0.0-8.0-1.7-0.7,tcnn3q5d,,,,,,1774.0,132,6833c0226796331f4757056c,,132,,calibration,,,,,,,,,,,,,,
introduction,36,189728,0.0-8.0-2.4,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,37,191741,0.0-8.0-0.5,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,1067.0,calibration,,,,,,,,,,,,,,
introduction,38,194046,0.0-8.0-1.8-0.8,tcnn3q5d,,,,,,2301.0,2111,6833c0226796331f4757056c,,2111,,calibration,,,,,,,,,,,,,,
introduction,39,194047,0.0-8.0-2.5,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,40,195123,0.0-8.0-0.6,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,img/Red_circle.png,1137.0,calibration,,,,,,,,,,,,,,
introduction,41,198832,0.0-8.0-1.9-0.9,tcnn3q5d,,,,,,3701.0,23333,6833c0226796331f4757056c,,2333,,calibration,,,,,,,,,,,,,,
introduction,42,201134,0.0-8.0-1.10-0.10,tcnn3q5d,,,,,,2297.0,2333,6833c0226796331f4757056c,,2333,,calibration,,,,,,,,,,,,,,
introduction,43,203148,0.0-8.0-2.6,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,44,204297,0.0-8.0-0.7,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,img/Red_circle.png,2465.0,calibration,,,,,,,,,,,,,,
introduction,45,207322,0.0-8.0-1.11-0.11,tcnn3q5d,,,,,,3018.0,3121,6833c0226796331f4757056c,,3121,,calibration,,,,,,,,,,,,,,
introduction,46,207323,0.0-8.0-2.7,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,47,209324,0.0-8.0-0.8,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,2550.0,calibration,,,,,,,,,,,,,,
introduction,48,212651,0.0-8.0-1.12-0.12,tcnn3q5d,,,,,,3320.0,2131,6833c0226796331f4757056c,,2131,,calibration,,,,,,,,,,,,,,
introduction,49,212652,0.0-8.0-2.8,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,50,214654,0.0-8.0-0.9,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,2320.0,calibration,,,,,,,,,,,,,,
introduction,51,216868,0.0-8.0-1.13-0.13,tcnn3q5d,,,,,,2210.0,1123,6833c0226796331f4757056c,,1123,,calibration,,,,,,,,,,,,,,
introduction,52,216869,0.0-8.0-2.9,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,53,218876,0.0-8.0-0.10,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,1396.0,calibration,,,,,,,,,,,,,,
introduction,54,221010,0.0-8.0-1.14-0.14,tcnn3q5d,,,,,,2127.0,2133,6833c0226796331f4757056c,,2133,,calibration,,,,,,,,,,,,,,
introduction,55,221011,0.0-8.0-2.10,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,56,222418,0.0-8.0-0.11,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,img/Red_circle.png,2619.0,calibration,,,,,,,,,,,,,,
introduction,57,224666,0.0-8.0-1.15-0.15,tcnn3q5d,,,,,,2240.0,233,6833c0226796331f4757056c,,233,,calibration,,,,,,,,,,,,,,
introduction,58,224667,0.0-8.0-2.11,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,59,226673,0.0-8.0-0.12,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,1495.0,calibration,,,,,,,,,,,,,,
introduction,60,230350,0.0-8.0-1.16-0.16,tcnn3q5d,,,,,,3673.0,312,6833c0226796331f4757056c,,312,,calibration,,,,,,,,,,,,,,
introduction,61,232354,0.0-8.0-2.12,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,62,233856,0.0-8.0-0.13,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,img/Red_circle.png,2502.0,calibration,,,,,,,,,,,,,,
introduction,63,236331,0.0-8.0-1.17-0.17,tcnn3q5d,,,,,,2465.0,1112,6833c0226796331f4757056c,,1112,,calibration,,,,,,,,,,,,,,
introduction,64,236332,0.0-8.0-2.13,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,65,238336,0.0-8.0-0.14,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,1022.0,calibration,,,,,,,,,,,,,,
introduction,66,240849,0.0-8.0-1.18-0.18,tcnn3q5d,,,,,,2505.0,2321,6833c0226796331f4757056c,,2321,,calibration,,,,,,,,,,,,,,
introduction,67,240850,0.0-8.0-2.14,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,68,241881,0.0-8.0-0.15,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,img/Red_circle.png,1626.0,calibration,,,,,,,,,,,,,,
introduction,69,244718,0.0-8.0-1.19-0.19,tcnn3q5d,,,,,,2831.0,323,6833c0226796331f4757056c,,323,,calibration,,,,,,,,,,,,,,
introduction,70,244719,0.0-8.0-2.15,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,71,246355,0.0-8.0-0.16,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,img/Red_circle.png,2663.0,calibration,,,,,,,,,,,,,,
introduction,72,248740,0.0-8.0-1.20-0.20,tcnn3q5d,,,,,,2375.0,1221,6833c0226796331f4757056c,,1221,,calibration,,,,,,,,,,,,,,
introduction,73,248741,0.0-8.0-2.16,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,74,250751,0.0-8.0-0.17,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,2618.0,calibration,,,,,,,,,,,,,,
introduction,75,253311,0.0-8.0-1.21-0.21,tcnn3q5d,,,,,,2551.0,2313,6833c0226796331f4757056c,,2313,,calibration,,,,,,,,,,,,,,
introduction,76,253312,0.0-8.0-2.17,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,77,255326,0.0-8.0-0.18,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,2497.0,calibration,,,,,,,,,,,,,,
introduction,78,258884,0.0-8.0-1.22-0.22,tcnn3q5d,,,,,,3547.0,3122,6833c0226796331f4757056c,,3122,,calibration,,,,,,,,,,,,,,
introduction,79,260896,0.0-8.0-2.18,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,80,263402,0.0-8.0-0.19,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,img/Red_circle.png,2359.0,calibration,,,,,,,,,,,,,,
introduction,81,265253,0.0-8.0-1.23-0.23,tcnn3q5d,,,,,,1848.0,2222,6833c0226796331f4757056c,,2222,,calibration,,,,,,,,,,,,,,
introduction,82,265254,0.0-8.0-2.19,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,83,267256,0.0-8.0-0.20,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,2539.0,calibration,,,,,,,,,,,,,,
introduction,84,269058,0.0-8.0-1.24-0.24,tcnn3q5d,,,,,,1795.0,212,6833c0226796331f4757056c,,212,,calibration,,,,,,,,,,,,,,
introduction,85,269060,0.0-8.0-2.20,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,86,271069,0.0-8.0-0.21,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,2568.0,calibration,,,,,,,,,,,,,,
introduction,87,273049,0.0-8.0-1.25-0.25,tcnn3q5d,,,,,,1971.0,321,6833c0226796331f4757056c,,3321,,calibration,,,,,,,,,,,,,,
introduction,88,274675,0.0-8.0-1.26-0.26,tcnn3q5d,,,,,,1622.0,3321,6833c0226796331f4757056c,,3321,,calibration,,,,,,,,,,,,,,
introduction,89,276677,0.0-8.0-2.21,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,90,279262,0.0-8.0-0.22,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,img/Red_circle.png,2851.0,calibration,,,,,,,,,,,,,,
introduction,91,282531,0.0-8.0-1.27-0.27,tcnn3q5d,,,,,,3261.0,2311,6833c0226796331f4757056c,,2311,,calibration,,,,,,,,,,,,,,
introduction,92,282531,0.0-8.0-2.22,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,93,284541,0.0-8.0-0.23,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,2833.0,calibration,,,,,,,,,,,,,,
introduction,94,286877,0.0-8.0-1.28-0.28,tcnn3q5d,,,,,,2330.0,112,6833c0226796331f4757056c,,1112,,calibration,,,,,,,,,,,,,,
introduction,95,288960,0.0-8.0-1.29-0.29,tcnn3q5d,,,,,,2079.0,1112,6833c0226796331f4757056c,,1112,,calibration,,,,,,,,,,,,,,
introduction,96,290965,0.0-8.0-2.23,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,97,293803,0.0-8.0-0.24,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,img/Red_circle.png,1191.0,calibration,,,,,,,,,,,,,,
introduction,98,296603,0.0-8.0-1.30-0.30,tcnn3q5d,,,,,,2797.0,3312,6833c0226796331f4757056c,,3312,,calibration,,,,,,,,,,,,,,
introduction,99,296604,0.0-8.0-2.24,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,100,297813,0.0-8.0-0.25,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,img/Red_circle.png,2311.0,calibration,,,,,,,,,,,,,,
introduction,101,300714,0.0-8.0-1.31-0.31,tcnn3q5d,,,,,,2894.0,1311,6833c0226796331f4757056c,,1311,,calibration,,,,,,,,,,,,,,
introduction,102,300715,0.0-8.0-2.25,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,103,302718,0.0-8.0-0.26,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,2163.0,calibration,,,,,,,,,,,,,,
introduction,104,305709,0.0-8.0-1.32-0.32,tcnn3q5d,,,,,,2984.0,2313,6833c0226796331f4757056c,,2313,,calibration,,,,,,,,,,,,,,
introduction,105,305710,0.0-8.0-2.26,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,,,,,,,,,,,,,,,,,
introduction,106,307717,0.0-8.0-0.27,tcnn3q5d,,,,,,,,6833c0226796331f4757056c,,<p>CAREFUL. That was too slow.</p>,1705.0,calibration,,,,,,,,,,,,,,
