trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,53608,0.0-2.0,uuxlmc9v,,,,,,31923.0,68350d1e1dc6def5216c15f5,68350d1e1dc6def5216c15f5,,,,,,,,,,,,,,,,,,
introduction,3,58776,0.0-3.0,uuxlmc9v,,,,,,5166.0,68350d1e1dc6def5216c15f5,68350d1e1dc6def5216c15f5,,,,,,,,,,,,,,,,,,
introduction,4,77280,0.0-4.0-0.0,uuxlmc9v,,,,,,18504.0,,68350d1e1dc6def5216c15f5,"[{""page_index"":0,""viewing_time"":3041},{""page_index"":1,""viewing_time"":13886},{""page_index"":2,""viewing_time"":1576}]",,,,,,,,,,,,,,,,,
introduction,5,78847,0.0-5.0-0.0,uuxlmc9v,,,,,,1565.0,1,68350d1e1dc6def5216c15f5,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,79936,0.0-5.0-0.1,uuxlmc9v,,,,,,1087.0,2,68350d1e1dc6def5216c15f5,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,81532,0.0-5.0-0.2,uuxlmc9v,,,,,,1594.0,1,68350d1e1dc6def5216c15f5,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,82411,0.0-5.0-0.3,uuxlmc9v,,,,,,878.0,3,68350d1e1dc6def5216c15f5,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,83382,0.0-5.0-0.4,uuxlmc9v,,,,,,970.0,2,68350d1e1dc6def5216c15f5,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,84352,0.0-5.0-0.5,uuxlmc9v,,,,,,969.0,3,68350d1e1dc6def5216c15f5,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,85241,0.0-5.0-0.6,uuxlmc9v,,,,,,887.0,1,68350d1e1dc6def5216c15f5,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,85988,0.0-5.0-0.7,uuxlmc9v,,,,,,747.0,2,68350d1e1dc6def5216c15f5,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,86746,0.0-5.0-0.8,uuxlmc9v,,,,,,757.0,3,68350d1e1dc6def5216c15f5,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,87746,0.0-5.0-0.9,uuxlmc9v,,,,,,999.0,2,68350d1e1dc6def5216c15f5,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,88635,0.0-5.0-0.10,uuxlmc9v,,,,,,888.0,1,68350d1e1dc6def5216c15f5,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,89475,0.0-5.0-0.11,uuxlmc9v,,,,,,838.0,3,68350d1e1dc6def5216c15f5,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,152919,0.0-6.0-0.0,uuxlmc9v,,,,,,63444.0,,68350d1e1dc6def5216c15f5,"[{""page_index"":0,""viewing_time"":2436},{""page_index"":1,""viewing_time"":5880},{""page_index"":2,""viewing_time"":52728},{""page_index"":3,""viewing_time"":2400}]",,,,,,,,,,,,,,,,,
introduction,19,217999,0.0-8.0-0.0,uuxlmc9v,,,,,,,,68350d1e1dc6def5216c15f5,,img/Red_circle.png,2519.0,calibration,,,,,,,,,,,,,,
introduction,20,226128,0.0-8.0-1.0-0.0,uuxlmc9v,,,,,,8122.0,2133,68350d1e1dc6def5216c15f5,,2133,,calibration,,,,,,,,,,,,,,
introduction,21,228130,0.0-8.0-2.0,uuxlmc9v,,,,,,,,68350d1e1dc6def5216c15f5,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,230665,0.0-8.0-0.1,uuxlmc9v,,,,,,,,68350d1e1dc6def5216c15f5,,img/Red_circle.png,2355.0,calibration,,,,,,,,,,,,,,
introduction,23,236103,0.0-8.0-1.1-0.1,uuxlmc9v,,,,,,5433.0,3233,68350d1e1dc6def5216c15f5,,3233,,calibration,,,,,,,,,,,,,,
introduction,24,238113,0.0-8.0-2.1,uuxlmc9v,,,,,,,,68350d1e1dc6def5216c15f5,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,25,240484,0.0-8.0-0.2,uuxlmc9v,,,,,,,,68350d1e1dc6def5216c15f5,,img/Red_circle.png,3061.0,calibration,,,,,,,,,,,,,,
introduction,26,242014,0.0-8.0-1.2-0.2,uuxlmc9v,,,,,,1526.0,33,68350d1e1dc6def5216c15f5,,33,,calibration,,,,,,,,,,,,,,
introduction,27,242015,0.0-8.0-2.2,uuxlmc9v,,,,,,,,68350d1e1dc6def5216c15f5,,,,,,,,,,,,,,,,,,
introduction,28,244016,0.0-8.0-0.3,uuxlmc9v,,,,,,,,68350d1e1dc6def5216c15f5,,<p>CAREFUL. That was too slow.</p>,3104.0,calibration,,,,,,,,,,,,,,
introduction,29,246136,0.0-8.0-1.3-0.3,uuxlmc9v,,,,,,2115.0,22222,68350d1e1dc6def5216c15f5,,2222,,calibration,,,,,,,,,,,,,,
introduction,30,251209,0.0-8.0-1.4-0.4,uuxlmc9v,,,,,,5070.0,2222,68350d1e1dc6def5216c15f5,,2222,,calibration,,,,,,,,,,,,,,
