trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,28372,0.0-2.0,fgj35tka,,,,,,15713.0,683636c308a8433875296d1e,683636c308a8433875296d1e,,,,,,,,,,,,,,,,,,
introduction,3,33844,0.0-3.0,fgj35tka,,,,,,5470.0,683636c308a8433875296d1e,683636c308a8433875296d1e,,,,,,,,,,,,,,,,,,
introduction,4,48779,0.0-4.0-0.0,fgj35tka,,,,,,14934.0,,683636c308a8433875296d1e,"[{""page_index"":0,""viewing_time"":2462},{""page_index"":1,""viewing_time"":11168},{""page_index"":2,""viewing_time"":1304}]",,,,,,,,,,,,,,,,,
introduction,5,49858,0.0-5.0-0.0,fgj35tka,,,,,,1078.0,1,683636c308a8433875296d1e,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,52259,0.0-5.0-0.1,fgj35tka,,,,,,2400.0,2,683636c308a8433875296d1e,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,53362,0.0-5.0-0.2,fgj35tka,,,,,,1102.0,1,683636c308a8433875296d1e,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,54258,0.0-5.0-0.3,fgj35tka,,,,,,896.0,3,683636c308a8433875296d1e,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,55199,0.0-5.0-0.4,fgj35tka,,,,,,940.0,2,683636c308a8433875296d1e,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,56537,0.0-5.0-0.5,fgj35tka,,,,,,1338.0,3,683636c308a8433875296d1e,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,57386,0.0-5.0-0.6,fgj35tka,,,,,,849.0,1,683636c308a8433875296d1e,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,58034,0.0-5.0-0.7,fgj35tka,,,,,,648.0,2,683636c308a8433875296d1e,,Press: 2,,,,,,,,,,,,,,,,
